Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,-967.607,2920.36,709.148,-1037.37,2897.99,694.888,-1151.99,2856.32,654.597,-1118.16,2786.91,271.02,-1116.79,2708.08,-120.314,-861.287,2697.96,787.564,-921.382,2722.36,750.625,-1016.22,2759.07,672.168,-954.049,2627.26,309.047,-1095.98,2544.3,-54.7274,-1037.51,2861.46,-106.425,-1071.29,2879.54,-42.8863,-1069.03,2879.66,-57.7468,-1067.01,2879.34,-72.638,-1063.42,2877.82,-102.449,-1046.56,2885.63,-21.7492,-1046.17,2884.53,-37.2103,-1046.72,2880.32,-64.0089,-1049.01,2872,-97.8121,-1025.33,2888.21,-13.369,-1025.35,2887.21,-29.3271,-1027.8,2881.04,-56.5107,-1034.22,2867.11,-90.8128,-1003.45,2879.09,-19.9423,-1004.99,2878.44,-36.3508,-1009.88,2873.08,-60.0009,-1020.8,2858.83,-92.4777,-1025.34,2840.69,-58.2975,-1021.9,2827.43,-85.377,-1027.32,2818.42,-113.843,-1029.55,2824.62,-151.936,-1047.61,2836.47,-170.381,-1152.34,2745.42,-374.977,-1137.95,2587.41,-600.462,-1110.01,2475.83,-587.819,-936.792,2440.99,37.4105,-971.403,2449.02,98.4966,-961.602,2439.47,92.2709,-955.514,2431.21,81.2869,-952.818,2420.04,53.5056,-930.567,2450.88,123.891,-928.155,2443.51,110.465,-930.603,2435.36,84.6981,-942.012,2432.03,51.8993,-895.768,2454.93,125.458,-900.958,2451.37,110.758,-912.28,2447.2,85.5105,-930.308,2444.44,52.6574,-883.583,2470.78,111.288,-891.305,2467.18,97.1642,-903.3,2462.19,76.1109,-921.9,2455.31,44.746,-909.002,2516.9,41.2694,-926.815,2498.86,25.1144,-942.879,2483.35,4.99332,-948.658,2453.98,-19.0053,-961.13,2429.61,-26.5848,-1077.22,2329.93,-220.76,-1096.1,2308.25,-494.971,-1100.1,2403.33,-560.827,-1113.27,2376.72,-841.96,-1108.94,2409.87,-682.947,-1125.92,2425.39,-605.051,-1165.87,2444.27,-539.406,-1165.06,2491.88,-411.85,-1152.33,2525.65,-327.353,-1138.29,2554.65,-257.336,-1157.32,2590.36,-160.814,-1123.37,2614.25,-111.952,
20,-967.673,2916.81,711.164,-1037.65,2895.51,696.301,-1152.52,2855.68,654.903,-1119.33,2786.85,271.167,-1113.97,2708.26,-120.182,-860.068,2698.8,786.831,-920.498,2722.96,750.292,-1016.01,2759.2,672.434,-953.927,2627.36,309.31,-1094.36,2544.17,-54.9948,-1036.81,2861.8,-106.707,-1073.96,2878.5,-44.6885,-1070.41,2879.87,-59.2318,-1067.45,2880.12,-73.9661,-1062.71,2878.36,-103.602,-1050.11,2882.95,-22.4266,-1048.17,2883.83,-37.7847,-1047.02,2881.19,-64.7643,-1048.46,2872.52,-98.525,-1026.86,2885.06,-12.8058,-1026.18,2885.25,-28.7802,-1027.87,2880.51,-56.3068,-1033.89,2867.62,-91.0879,-1003.58,2877.67,-19.1025,-1005.01,2877.27,-35.528,-1009.76,2872.46,-59.3268,-1020.48,2859.24,-92.3037,-1026.03,2841.67,-58.2746,-1021.38,2827.76,-84.8408,-1026.69,2818.68,-113.305,-1027.92,2824.33,-151.529,-1045.43,2836.04,-170.579,-1152.31,2746.22,-374.598,-1136.23,2587.73,-599.638,-1109.19,2475.83,-587.878,-937.674,2441.42,37.1158,-974.73,2451.07,98.1697,-965.506,2441.59,91.0242,-959.314,2433.31,80.1151,-954.353,2420.94,53.1634,-935.424,2454.78,122.711,-931.955,2446.53,110.055,-932.978,2437.05,84.6503,-943.263,2432.68,51.603,-898.652,2458.46,125.456,-903.199,2454.02,110.783,-913.784,2448.67,85.4399,-931.293,2444.83,52.4145,-883.575,2472.22,110.367,-891.437,2468.34,96.3977,-903.64,2462.93,75.5682,-922.551,2455.45,44.5288,-908.498,2517.01,40.3755,-926.76,2498.74,25.0002,-942.604,2483.67,4.37463,-948.584,2454.26,-19.5249,-961.51,2430.13,-27.0839,-1078.26,2331.06,-221.178,-1097.26,2307.92,-495.261,-1099.9,2403.3,-560.748,-1113.38,2376.57,-841.907,-1108.68,2409.77,-682.914,-1125.5,2425.47,-605.021,-1165.34,2444.82,-539.439,-1164.21,2492.64,-411.97,-1151.2,2526.38,-327.5,-1136.89,2555.24,-257.479,-1155.5,2590.96,-160.878,-1121.27,2614.46,-112.018,
40,-967.746,2913.63,712.901,-1037.9,2893.39,697.429,-1152.99,2855.36,654.949,-1120.46,2786.05,271.243,-1110.39,2708.82,-120.284,-859.142,2699.09,786.426,-919.935,2723.25,750.488,-1016.15,2759.27,673.405,-954.236,2627.68,310.163,-1092.58,2544.58,-54.9605,-1036.19,2861.55,-107.223,-1077.12,2873.91,-47.0713,-1072.25,2877.46,-60.8408,-1068.32,2878.9,-75.2783,-1062.55,2877.49,-104.749,-1054.69,2876.84,-23.9856,-1051.06,2880.6,-38.5811,-1047.9,2880.58,-65.5301,-1048.25,2872.04,-99.3524,-1029.86,2879.24,-12.5176,-1028.21,2881.39,-28.276,-1028.66,2878.96,-56.148,-1033.71,2867.57,-91.5981,-1004.37,2874.62,-18.2933,-1005.56,2875.02,-34.7381,-1009.93,2871.31,-58.8041,-1020.08,2859.51,-92.4891,-1025.54,2841.78,-58.63,-1019.55,2827.63,-84.7966,-1024.8,2818.6,-113.287,-1025.51,2823.98,-151.563,-1042.93,2835.11,-171.038,-1152.54,2746.52,-374.151,-1133.28,2587.94,-598.871,-1107.67,2475.65,-587.672,-938.087,2441.86,37.1796,-975.697,2450.78,99.3946,-967.245,2441.89,90.701,-961.142,2433.98,79.4673,-954.333,2421.03,53.2056,-938.021,2457.33,121.739,-933.608,2448.57,109.733,-933.544,2438.14,84.6847,-943.316,2432.83,51.6189,-899.628,2461.69,124.979,-903.505,2456.32,110.423,-913.627,2449.77,85.1711,-931.365,2445,52.3911,-881.732,2473.79,108.711,-889.995,2469.61,95.0627,-902.858,2463.81,74.743,-922.838,2455.8,44.5143,-909.762,2517.83,40.9334,-928.468,2499.18,26.586,-944.212,2484.78,5.41525,-950.334,2455.76,-18.9361,-963.361,2431.74,-26.6631,-1079.7,2332.36,-220.846,-1099.82,2307.76,-494.721,-1099.55,2403.02,-560.425,-1113.2,2376.41,-841.662,-1108.07,2409.55,-682.672,-1124.71,2425.52,-604.796,-1164.4,2445.56,-539.332,-1162.86,2493.54,-411.922,-1149.53,2527.18,-327.467,-1134.93,2555.93,-257.459,-1153.18,2591.95,-160.899,-1118.72,2615.12,-112.048,
60,-967.756,2910.13,714.684,-1038.09,2891.1,698.516,-1153.41,2855.12,654.87,-1121.03,2785.44,271.218,-1107.04,2709.35,-120.412,-858.743,2698.52,786.451,-919.789,2722.96,751.139,-1016.51,2759.14,674.77,-954.449,2627.88,311.435,-1091.05,2545.19,-54.4369,-1035.86,2860.89,-106.954,-1079.22,2868.05,-48.8377,-1073.2,2874.24,-61.1459,-1068.46,2877.34,-75.0714,-1062.12,2876.98,-104.457,-1058.21,2868.13,-25.6519,-1053.08,2875.13,-38.4963,-1048.13,2878.69,-64.9369,-1047.89,2871.4,-99.0519,-1032.58,2869.87,-11.99,-1029.84,2874.56,-27.0291,-1029.04,2875.47,-54.9846,-1033.4,2866.78,-91.2811,-1004.9,2867.15,-16.8728,-1005.78,2869.13,-33.223,-1009.85,2867.6,-57.5765,-1019.82,2858.65,-92.1827,-1024.68,2839.69,-58.4674,-1018.53,2825.8,-84.7352,-1024.51,2817.58,-113.328,-1025.28,2823.55,-151.514,-1042.56,2834.92,-170.97,-1151.83,2747.45,-374.752,-1129.31,2588.1,-598.625,-1105.98,2475.35,-587.021,-938.839,2443.25,37.2148,-977.53,2453.04,99.3905,-969.927,2444.49,89.6422,-963.869,2436.6,78.3737,-955.118,2422.49,53.3085,-942.677,2462.61,120.254,-937.304,2453.21,109.151,-935.723,2441.36,84.7932,-944.04,2434.23,51.6731,-903.643,2467.65,124.793,-906.183,2460.94,110.502,-914.933,2452.59,85.2713,-932.012,2446.33,52.3915,-882.116,2477.68,107.715,-890.318,2472.85,94.2477,-903.225,2466.19,74.2211,-923.465,2457.08,44.4791,-911.263,2519.35,40.927,-930.141,2500.27,27.3955,-945.372,2486.32,5.55518,-951.322,2457.29,-18.8136,-964.536,2433.35,-26.4948,-1081.12,2333.15,-220.104,-1102.3,2307.56,-493.81,-1099.17,2402.59,-559.776,-1112.73,2376.42,-841.132,-1107.27,2409.37,-682.11,-1123.8,2425.53,-604.252,-1163.39,2446.19,-538.922,-1161.57,2494.08,-411.485,-1147.98,2527.57,-327.009,-1133.15,2556.27,-257.03,-1151.07,2592.79,-160.596,-1116.38,2615.78,-111.815,
80,-966.913,2907.44,715.846,-1037.41,2889.45,699.175,-1152.96,2855.25,654.736,-1120.64,2784.81,271.218,-1104.16,2709.65,-120.495,-857.86,2697.78,786.449,-919.119,2722.63,751.793,-1016.3,2759.07,676.13,-954.091,2628.28,312.65,-1090.36,2545.75,-53.3802,-1035.07,2860.75,-106.973,-1079.77,2862.57,-51.0678,-1073.03,2871.05,-61.4875,-1067.74,2875.84,-74.7173,-1061.17,2877.04,-104.029,-1060.08,2859.79,-28.5275,-1053.93,2869.44,-38.9925,-1047.58,2876.62,-64.3766,-1046.9,2871.32,-98.8511,-1034.55,2860.47,-12.8779,-1030.87,2867.54,-26.7374,-1028.83,2871.97,-54.2912,-1032.35,2866.54,-91.3064,-1005.19,2858.85,-16.5033,-1005.68,2862.66,-32.542,-1009.31,2863.74,-56.9893,-1018.85,2858.3,-92.438,-1022.02,2837.07,-58.4665,-1016.72,2823.84,-85.2573,-1023.88,2816.65,-113.857,-1025.42,2823.55,-151.863,-1042.88,2835.17,-171.018,-1151.46,2748.28,-375.414,-1124.41,2588.26,-598.302,-1104.3,2474.92,-586.354,-940.324,2445.2,37.4952,-980.528,2458.65,98.1425,-973.708,2449.85,88.0404,-967.705,2441.41,77.1451,-957.409,2425.36,53.9063,-949.188,2470.91,118.023,-943.143,2460.65,108.089,-939.972,2446.79,84.9801,-945.998,2436.75,52.1192,-910.812,2476.4,124.319,-911.574,2467.95,110.77,-918.192,2457.06,85.8542,-933.667,2448.54,52.6903,-885.376,2483.72,107.566,-892.983,2477.81,94.1806,-905.204,2469.73,74.2439,-924.71,2458.84,44.6149,-912.506,2520.91,39.9991,-931.408,2501.58,26.8496,-945.822,2487.6,4.48401,-951.513,2457.89,-19.1243,-965.23,2434.09,-26.3291,-1081.91,2333.43,-219.642,-1104.57,2307.16,-493.164,-1099.02,2401.97,-559.293,-1113.31,2376.62,-840.771,-1106.97,2409.2,-681.707,-1123.14,2425.54,-603.808,-1162.4,2446.79,-538.468,-1159.92,2494.29,-410.897,-1146.04,2527.49,-326.357,-1131.06,2556.15,-256.389,-1149.16,2593.31,-160.237,-1114.56,2616.24,-111.371,
100,-966.395,2905.16,716.77,-1037.03,2888.06,699.749,-1152.81,2855.36,654.797,-1119.96,2784.43,271.414,-1101.91,2709.72,-120.316,-857.488,2696.76,786.444,-918.87,2722.05,752.336,-1016.35,2758.8,677.213,-953.672,2628.82,313.526,-1090.79,2546.06,-52.1347,-1033.63,2860.87,-107.812,-1079.9,2859.58,-54.5386,-1072.56,2869.26,-63.3977,-1066.69,2875.13,-75.9276,-1059.41,2877.67,-104.985,-1061.72,2854.42,-32.6516,-1054.77,2865.47,-41.0182,-1046.95,2875.16,-65.1249,-1045.2,2871.79,-99.8038,-1037.16,2853.75,-15.3312,-1032.5,2862.33,-27.9951,-1028.86,2869.39,-54.8269,-1030.68,2866.89,-92.2759,-1007.27,2851.8,-17.185,-1006.93,2857.15,-32.7837,-1009.39,2860.53,-57.1669,-1017.34,2858.39,-93.3503,-1018.75,2834.49,-58.3026,-1014.99,2821.87,-85.6409,-1023.02,2815.34,-114.164,-1024.97,2822.67,-152.069,-1042.37,2834.24,-171.312,-1151.69,2748.62,-375.844,-1119.33,2588.63,-598.052,-1102.74,2474.78,-585.606,-941.747,2446.69,38.0805,-982.006,2462.85,97.8139,-975.868,2453.82,87.4744,-970.05,2444.94,76.8352,-959.063,2427.47,54.9777,-954.058,2477.83,116.18,-947.75,2467.07,106.975,-943.525,2451.65,85.0529,-947.533,2438.69,52.9121,-917.496,2484.81,122.952,-916.645,2474.87,110.459,-921.23,2461.52,86.2984,-935.082,2450.37,53.1947,-889.664,2490.65,107.203,-896.438,2483.42,94.0149,-907.655,2473.58,74.2839,-926.006,2460.35,44.8671,-915.16,2522.33,39.83,-933.675,2502.8,26.4339,-947.452,2488.38,3.94263,-952.708,2457.99,-18.878,-966.656,2434.15,-25.4765,-1081.78,2333.28,-219.62,-1106.58,2306.81,-492.936,-1098.81,2401.66,-558.783,-1113.44,2376.87,-840.324,-1106.5,2409.28,-681.252,-1122.43,2425.82,-603.345,-1161.48,2447.49,-538.021,-1158.63,2494.5,-410.276,-1144.62,2527.38,-325.631,-1129.63,2555.94,-255.629,-1148.04,2593.74,-159.782,-1113.58,2616.51,-110.744,
120,-966.544,2904.41,717.07,-1037.23,2887.61,699.953,-1153.16,2855.47,654.98,-1119.36,2784.43,271.698,-1100.57,2709.25,-119.907,-857.462,2695.6,786.171,-918.934,2721.33,752.55,-1016.67,2758.37,677.899,-953.467,2629.97,313.739,-1092.1,2545.73,-51.0139,-1033.76,2860.49,-108.277,-1081.86,2854.49,-57.5009,-1074.29,2864.94,-65.2054,-1067.98,2871.95,-76.9119,-1059.54,2877.26,-105.275,-1065.15,2846.74,-36.4093,-1057.87,2858.74,-42.9982,-1048.86,2871.07,-65.4288,-1045.36,2871.29,-100.137,-1042,2844.35,-18.2173,-1036.69,2854.31,-29.5399,-1031.46,2864.4,-55.1134,-1030.86,2866.28,-92.6375,-1013.11,2841.56,-18.5513,-1011.68,2848.87,-33.266,-1012.34,2855.34,-57.1359,-1017.52,2857.79,-93.7999,-1016.73,2828.92,-58.3311,-1014.86,2818.65,-86.8246,-1023.06,2813.72,-115.622,-1024.96,2823,-153.1,-1042.28,2834.88,-172.219,-1151.75,2748.75,-376.466,-1116.05,2588.86,-598.227,-1101.36,2474.84,-584.977,-942.409,2447.88,38.3328,-981.337,2463.26,98.9042,-975.727,2454.49,88.0632,-970.139,2445.72,77.2027,-959.008,2428.22,55.4431,-956.62,2480.71,115.773,-950.343,2470.11,106.35,-945.494,2454.37,84.7888,-947.753,2439.69,53.2256,-922.805,2490.31,121.752,-920.721,2479.75,109.93,-923.495,2464.94,86.3457,-935.544,2451.62,53.3414,-894.895,2497.13,106.982,-900.544,2488.78,93.9313,-910.31,2477.32,74.2986,-926.832,2461.83,44.9016,-919.409,2523.89,41.874,-936.901,2504.41,27.1074,-950.259,2489.69,4.55963,-954.651,2459.23,-18.3544,-968.222,2435.13,-24.8217,-1081.33,2332.47,-219.203,-1108.31,2307.02,-492.411,-1098.53,2401.55,-558.45,-1112.93,2377.09,-840.001,-1105.78,2409.51,-680.939,-1121.67,2426.24,-603.064,-1160.7,2448.13,-537.801,-1157.86,2494.55,-409.842,-1143.92,2527.06,-325.042,-1129.03,2555.45,-254.947,-1147.79,2593.7,-159.348,-1113.49,2616.23,-110.089,
140,-966.686,2904.96,716.666,-1037.36,2888,699.671,-1153.36,2855.63,655.032,-1118.09,2784.94,271.819,-1100.33,2709.23,-119.733,-856.746,2695.67,785.755,-918.466,2721.36,752.56,-1016.68,2757.88,678.28,-952.717,2630.65,313.844,-1093.4,2545.98,-50.0247,-1032.98,2860.59,-108.839,-1082.42,2854.96,-58.9483,-1074.39,2864.89,-66.8665,-1067.61,2871.88,-78.316,-1057.93,2878.59,-105.977,-1067.22,2844.78,-38.5609,-1059.32,2856.56,-44.8157,-1049.13,2869.49,-66.3892,-1044.03,2872.03,-100.805,-1045.41,2840.2,-20.687,-1039.34,2850.36,-31.4363,-1032.58,2861.68,-56.1174,-1029.75,2866.43,-93.2851,-1019.23,2834.5,-20.7368,-1016.35,2842.94,-34.6061,-1014.83,2851.45,-57.788,-1016.83,2857.3,-94.3775,-1014.92,2823.81,-57.792,-1016.42,2815.8,-87.0215,-1024.76,2811.92,-115.94,-1026.13,2822.15,-153.196,-1042.94,2834.58,-172.415,-1152.26,2748.35,-376.694,-1113.82,2589.13,-598.478,-1100.52,2475.01,-584.584,-942.856,2448.35,37.9929,-980.196,2462.34,99.7964,-975.074,2453.89,88.468,-969.826,2445.39,77.2387,-959.077,2428.27,54.9821,-958.281,2481.32,115.76,-952.462,2471.1,105.662,-947.422,2455.56,83.9973,-947.984,2439.91,52.8227,-927.762,2493.3,120.885,-925.073,2482.63,109.287,-926.333,2467.12,86.0302,-935.924,2452,52.995,-901.794,2501.92,107.079,-905.997,2492.69,94.0734,-913.728,2479.9,74.3547,-927.405,2462.42,44.6175,-922.669,2523.88,44.657,-938.933,2505.23,27.5912,-951.973,2490.47,4.88419,-955.672,2460.24,-18.4561,-968.989,2436.06,-25.1199,-1080.68,2331.34,-219.23,-1109.53,2307.19,-492.363,-1098.29,2401.61,-558.332,-1113.38,2377.04,-839.794,-1105.61,2409.72,-680.813,-1121.25,2426.65,-602.932,-1160.12,2448.59,-537.585,-1157.09,2494.5,-409.447,-1143.19,2526.77,-324.548,-1128.45,2555.12,-254.407,-1147.82,2593.76,-159.086,-1113.85,2616.32,-109.614,
160,-967.465,2906.54,715.757,-1038.08,2889.02,699.104,-1154.1,2855.77,655.163,-1117.22,2785.35,272.051,-1101.44,2709.71,-119.598,-856.127,2696.74,785.084,-918.181,2722.15,752.303,-1016.9,2757.66,678.204,-951.995,2630.59,313.876,-1094.95,2546.7,-49.2847,-1033.09,2860.24,-109.093,-1083.23,2852.59,-59.3383,-1075.37,2862.13,-67.8908,-1068.6,2869.35,-79.2047,-1058.04,2878.19,-105.929,-1068.97,2840.42,-39.7153,-1061.13,2852.14,-46.1619,-1050.69,2865.96,-67.048,-1044.15,2871.53,-100.86,-1048.19,2834.36,-22.9507,-1042.02,2844.88,-33.301,-1034.54,2857.69,-57.0243,-1029.9,2865.78,-93.4238,-1025.52,2826.72,-24.0473,-1021.58,2836.41,-36.7951,-1018.15,2847.12,-58.8292,-1016.97,2856.67,-94.6688,-1012.85,2817.59,-58.5583,-1017.67,2813.24,-88.2003,-1025.31,2810.61,-117.449,-1026.18,2822.66,-154.171,-1042.95,2835.47,-173.176,-1152.58,2747.92,-376.725,-1112.3,2589.44,-598.711,-1099.81,2475.29,-584.31,-943.626,2448.87,38.1194,-979.414,2463.02,100.867,-974.782,2454.62,89.2919,-969.979,2446.14,77.8453,-960.029,2429.04,55.2146,-959.708,2483.06,115.891,-954.6,2473.02,105.236,-949.717,2457.4,83.5914,-948.908,2440.64,53.0099,-932.614,2497.11,120.036,-929.906,2486.34,108.54,-930.064,2470.06,85.7808,-936.845,2452.72,53.1403,-910.392,2507.47,106.542,-912.928,2497.25,93.8445,-918.192,2482.92,74.379,-928.236,2463.03,44.7086,-925.1,2523.17,46.4892,-939.937,2505.57,27.1577,-952.627,2490.47,4.47873,-955.86,2460,-18.6142,-969.12,2435.73,-25.0828,-1079.57,2329.78,-219.233,-1109.92,2307.43,-492.358,-1097.81,2401.83,-558.196,-1113.52,2376.5,-839.493,-1105.29,2409.8,-680.666,-1120.74,2427.03,-602.812,-1159.52,2448.94,-537.406,-1156.46,2494.61,-409.178,-1142.74,2526.8,-324.221,-1128.28,2555.2,-254.047,-1148.46,2594.05,-158.98,-1114.95,2616.82,-109.287,
180,-968.237,2908.71,714.269,-1038.81,2890.49,698.2,-1154.91,2856.11,655.361,-1117.05,2785.43,272.395,-1102.38,2710.11,-119.361,-856.186,2697.19,784.694,-918.405,2722.55,752.189,-1017.33,2757.46,678.082,-951.244,2630.64,313.88,-1096.43,2547.31,-48.5227,-1033.32,2859.75,-109.186,-1083.48,2851.72,-58.6774,-1076,2860.54,-68.2792,-1069.39,2867.57,-79.8041,-1058.35,2877.57,-105.918,-1069.87,2838.19,-39.3953,-1062.26,2849.54,-46.7211,-1051.92,2863.42,-67.6206,-1044.46,2870.9,-100.868,-1049.89,2831.1,-23.9439,-1043.83,2841.54,-34.4353,-1036.07,2854.94,-57.7401,-1030.21,2865.11,-93.4366,-1030.98,2821.43,-27.0077,-1026.22,2831.82,-38.9028,-1021.21,2843.92,-59.8922,-1017.25,2856.06,-94.7328,-1011.33,2812.68,-59.5434,-1019.33,2811.54,-88.793,-1025.85,2809.51,-118.359,-1026.07,2822.74,-154.681,-1042.8,2835.72,-173.606,-1152.95,2747.6,-376.632,-1111.44,2589.75,-598.847,-1099.12,2475.64,-584.044,-944.426,2449.2,38.3842,-978.471,2463.47,102.216,-974.362,2455.13,90.3983,-970.096,2446.72,78.6922,-961.252,2429.75,55.5081,-960.399,2484,116.469,-956.003,2474.16,105.323,-951.521,2458.61,83.5441,-950.035,2441.26,53.3135,-936.535,2499.81,119.605,-934.138,2489.1,107.977,-933.629,2472.38,85.5434,-937.919,2453.29,53.463,-919.445,2512.08,105.458,-920.235,2501.03,93.2426,-922.901,2485.37,74.2751,-929.099,2463.4,45.0179,-927.016,2521.79,48.2055,-940.251,2505.45,26.7258,-952.562,2490.12,3.98569,-955.506,2459.37,-18.7657,-968.756,2435.04,-25.0574,-1078.42,2328.47,-219.308,-1110.35,2307.75,-492.382,-1097.27,2402.12,-558.074,-1113.69,2376.22,-839.229,-1104.98,2410.01,-680.53,-1120.22,2427.46,-602.686,-1158.89,2449.32,-537.194,-1155.74,2494.73,-408.877,-1142.17,2526.84,-323.865,-1127.97,2555.29,-253.654,-1148.97,2594.31,-158.837,-1115.93,2617.25,-108.907,
