Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.334005,0.412619,0.322893,0.410557,0.304139,0.404743,0.297084,0.350999,0.28388,0.292147,0.353459,0.39706,0.343544,0.396747,0.326807,0.393795,0.326443,0.337756,0.292902,0.287719,0.29511,0.305132,0.291394,0.316513,0.291194,0.314385,0.290961,0.31221,0.290425,0.307763,0.296408,0.319395,0.295894,0.317131,0.294825,0.313012,0.293246,0.307557,0.300362,0.320264,0.299765,0.317955,0.298399,0.313664,0.296193,0.307758,0.304039,0.317993,0.303166,0.315691,0.301509,0.312029,0.298609,0.306473,0.299449,0.309805,0.299233,0.304785,0.29736,0.300134,0.295382,0.295292,0.291276,0.294074,0.266148,0.258897,0.262806,0.212491,0.271035,0.206797,0.322507,0.288628,0.319032,0.297725,0.320438,0.296015,0.321112,0.293883,0.320774,0.289477,0.32603,0.300196,0.326057,0.297905,0.324974,0.294101,0.322251,0.289929,0.331327,0.299962,0.33013,0.297958,0.327681,0.294699,0.323942,0.290696,0.332628,0.299117,0.331058,0.297227,0.328632,0.294436,0.324881,0.290313,0.32617,0.294212,0.323068,0.291139,0.320091,0.287708,0.318748,0.282538,0.316847,0.280039,0.293555,0.249692,0.28077,0.210216,0.275493,0.206266,0.262003,0.161023,0.26878,0.188095,0.268779,0.201376,0.264269,0.213291,0.268613,0.235365,0.273458,0.249718,0.278001,0.261509,0.277907,0.278133,0.284978,0.285976,0.28853,0.178399,0.283722,0.174153,0.281697,0.175351,0.272835,0.177612,0.266566,0.181198,0.323921,0.400025,0.326742,0.404027,0.302876,0.41542,0.306241,0.411958,0.341394,0.398439,0.344331,0.402349,0.321489,0.416338,0.324605,0.41286,0.351611,0.397247,0.354613,0.401101,0.33264,0.416742,0.335607,0.413256,0.28077,0.210216,0.293555,0.249692,0.316847,0.280039,0.262806,0.212491,0.266148,0.258897,0.291276,0.294074,0.292902,0.287719,0.326443,0.337756,0.326807,0.393795,0.343544,0.396747,0.28388,0.292147,0.297084,0.350999,0.304139,0.404743,0.322893,0.410557,
20,0.334084,0.412488,0.322921,0.410473,0.304075,0.404728,0.2969,0.35104,0.284361,0.292115,0.353615,0.397028,0.343663,0.396746,0.326846,0.393833,0.326469,0.337794,0.293157,0.287638,0.295215,0.305104,0.290878,0.316234,0.29089,0.314229,0.290816,0.312102,0.290493,0.307629,0.295814,0.319148,0.295536,0.317038,0.294728,0.31299,0.293305,0.307487,0.300172,0.320096,0.299674,0.317876,0.298403,0.313647,0.296232,0.307756,0.304071,0.317986,0.303212,0.315702,0.301567,0.312066,0.298665,0.306526,0.299313,0.309911,0.299336,0.304876,0.297484,0.300217,0.295688,0.295287,0.291659,0.293958,0.266151,0.259014,0.263142,0.212607,0.271173,0.206772,0.322358,0.288639,0.31849,0.297908,0.31978,0.296098,0.320473,0.29397,0.320519,0.289532,0.325217,0.300446,0.325437,0.298161,0.324594,0.29427,0.322043,0.289965,0.330859,0.300289,0.329767,0.298208,0.327436,0.294831,0.32378,0.290715,0.33259,0.29911,0.331005,0.29722,0.328557,0.29443,0.324772,0.290309,0.326219,0.294094,0.323074,0.291114,0.32011,0.287645,0.31874,0.282489,0.316766,0.280019,0.293357,0.249731,0.280576,0.210175,0.275532,0.206272,0.26199,0.161026,0.268828,0.18809,0.268849,0.201377,0.264344,0.21331,0.268734,0.235382,0.273625,0.249725,0.278217,0.261502,0.278196,0.27813,0.285318,0.285937,0.288543,0.178353,0.283737,0.174117,0.281698,0.175315,0.272881,0.177603,0.266573,0.181189,0.324042,0.400115,0.326844,0.404069,0.302854,0.415404,0.306089,0.411908,0.341553,0.398474,0.344473,0.402337,0.321573,0.41626,0.324555,0.412751,0.351795,0.397246,0.35478,0.401054,0.332782,0.41662,0.335614,0.413104,0.280576,0.210175,0.293357,0.249731,0.316766,0.280019,0.263142,0.212607,0.266151,0.259014,0.291659,0.293958,0.293157,0.287638,0.326469,0.337794,0.326846,0.393833,0.343663,0.396746,0.284361,0.292115,0.2969,0.35104,0.304075,0.404728,0.322921,0.410473,
40,0.33415,0.412364,0.322939,0.410394,0.304007,0.404713,0.296732,0.351004,0.284953,0.292064,0.353738,0.396989,0.343749,0.396781,0.326852,0.393952,0.326445,0.337932,0.293438,0.287635,0.295308,0.304995,0.290322,0.315568,0.290553,0.313833,0.290635,0.311831,0.290493,0.307385,0.29507,0.318496,0.295061,0.31671,0.294555,0.312851,0.293317,0.307323,0.299764,0.319688,0.299409,0.317652,0.298299,0.313551,0.296243,0.307675,0.304014,0.317846,0.303183,0.315626,0.301576,0.312043,0.298722,0.306514,0.299382,0.309859,0.299656,0.304827,0.297814,0.300167,0.296112,0.295195,0.292096,0.293753,0.266121,0.259111,0.263695,0.212681,0.271449,0.206763,0.322292,0.288689,0.318384,0.298061,0.3195,0.296117,0.320166,0.293977,0.320522,0.289543,0.324767,0.300572,0.325156,0.298308,0.324498,0.294367,0.322034,0.289979,0.33067,0.300493,0.329689,0.298342,0.327442,0.294876,0.323766,0.290726,0.332809,0.29898,0.331175,0.297116,0.328644,0.294374,0.324724,0.290339,0.326032,0.294256,0.322854,0.291389,0.319881,0.287897,0.31847,0.282713,0.316474,0.280228,0.293121,0.24989,0.280183,0.210292,0.27561,0.206297,0.262037,0.161054,0.26895,0.188103,0.268992,0.2014,0.264491,0.213355,0.268944,0.235422,0.273891,0.249751,0.278531,0.261514,0.27856,0.278152,0.285729,0.285927,0.288639,0.178309,0.283812,0.174089,0.281794,0.175288,0.272951,0.17761,0.266701,0.181201,0.324148,0.400319,0.326957,0.404193,0.302821,0.415389,0.305925,0.411876,0.341682,0.398569,0.34461,0.402353,0.321643,0.416181,0.324492,0.412658,0.351945,0.397258,0.354939,0.400987,0.332909,0.416498,0.335606,0.412969,0.280183,0.210292,0.293121,0.24989,0.316474,0.280228,0.263695,0.212681,0.266121,0.259111,0.292096,0.293753,0.293438,0.287635,0.326445,0.337932,0.326852,0.393952,0.343749,0.396781,0.284953,0.292064,0.296732,0.351004,0.304007,0.404713,0.322939,0.410394,
60,0.33423,0.412211,0.322967,0.41029,0.303943,0.404691,0.296647,0.35096,0.285505,0.292012,0.353799,0.396929,0.343791,0.396822,0.32684,0.394103,0.32645,0.33811,0.293694,0.287718,0.295387,0.304967,0.29,0.314851,0.290437,0.313527,0.290648,0.311724,0.290588,0.307371,0.294554,0.317573,0.294814,0.316283,0.294573,0.312772,0.293405,0.307301,0.299473,0.31899,0.29929,0.317255,0.298339,0.313414,0.296324,0.307643,0.304094,0.317391,0.303298,0.31532,0.301698,0.311885,0.298795,0.306475,0.299572,0.309678,0.299864,0.304653,0.29788,0.300068,0.296161,0.29516,0.292167,0.293738,0.266199,0.259075,0.264407,0.21265,0.271774,0.206812,0.322163,0.288811,0.318077,0.29827,0.319028,0.296234,0.319687,0.29409,0.32039,0.28968,0.32396,0.300884,0.32453,0.298662,0.324138,0.294666,0.321911,0.290104,0.330002,0.301006,0.329244,0.298756,0.327219,0.295126,0.323654,0.290838,0.33269,0.299157,0.331074,0.297263,0.32855,0.294493,0.324614,0.290443,0.325783,0.294403,0.322607,0.291611,0.319687,0.288055,0.318303,0.282861,0.316278,0.280392,0.29291,0.250071,0.279819,0.210458,0.275709,0.206362,0.262141,0.161133,0.269116,0.188166,0.26917,0.201466,0.264664,0.213436,0.269168,0.235496,0.274161,0.249812,0.278838,0.261561,0.278906,0.278212,0.286111,0.285959,0.288778,0.178332,0.283939,0.174118,0.281931,0.175329,0.27308,0.177654,0.266863,0.18128,0.324227,0.400592,0.327082,0.404349,0.302799,0.415368,0.305754,0.411837,0.341752,0.398696,0.344726,0.402364,0.321733,0.416079,0.32443,0.412541,0.352019,0.397271,0.35506,0.400883,0.333058,0.416347,0.3356,0.412805,0.279819,0.210458,0.29291,0.250071,0.316278,0.280392,0.264407,0.21265,0.266199,0.259075,0.292167,0.293738,0.293694,0.287718,0.32645,0.33811,0.32684,0.394103,0.343791,0.396822,0.285505,0.292012,0.296647,0.35096,0.303943,0.404691,0.322967,0.41029,
80,0.334416,0.412048,0.323112,0.410181,0.304007,0.404677,0.296721,0.350892,0.285984,0.291959,0.35393,0.396839,0.34391,0.396846,0.326915,0.394245,0.326538,0.338284,0.293834,0.287888,0.295527,0.304933,0.28992,0.314067,0.290514,0.313192,0.290817,0.311624,0.290772,0.307414,0.294271,0.316477,0.29475,0.315727,0.294728,0.312653,0.293587,0.307298,0.29926,0.318078,0.299245,0.316696,0.298463,0.313196,0.296511,0.307593,0.30419,0.316714,0.303444,0.31484,0.301876,0.311614,0.29896,0.306385,0.300073,0.309387,0.300188,0.304369,0.297985,0.299899,0.296123,0.295114,0.292105,0.29376,0.266213,0.259031,0.265288,0.212611,0.2721,0.206855,0.321923,0.289022,0.317515,0.298599,0.318339,0.296513,0.319008,0.294374,0.320027,0.290014,0.322812,0.301372,0.323532,0.299213,0.32344,0.295184,0.321598,0.290388,0.328818,0.301764,0.328367,0.299432,0.326697,0.295604,0.323386,0.291075,0.332138,0.299665,0.330622,0.297685,0.328215,0.294803,0.324409,0.290617,0.325545,0.294428,0.322379,0.291666,0.319568,0.28802,0.318256,0.282868,0.316167,0.280481,0.292797,0.250168,0.27948,0.210571,0.275769,0.206394,0.262052,0.161212,0.269188,0.188213,0.269302,0.201522,0.264837,0.213523,0.269466,0.235563,0.274516,0.24986,0.279216,0.261599,0.279226,0.27826,0.286421,0.286015,0.288791,0.178272,0.283917,0.17408,0.281938,0.175309,0.27306,0.177669,0.266925,0.18135,0.324395,0.400882,0.327315,0.404493,0.302912,0.415357,0.305738,0.411819,0.341896,0.398826,0.344933,0.402349,0.321937,0.41597,0.324501,0.412428,0.352161,0.39727,0.355264,0.400738,0.333306,0.416182,0.335716,0.412639,0.27948,0.210571,0.292797,0.250168,0.316167,0.280481,0.265288,0.212611,0.266213,0.259031,0.292105,0.29376,0.293834,0.287888,0.326538,0.338284,0.326915,0.394245,0.34391,0.396846,0.285984,0.291959,0.296721,0.350892,0.304007,0.404677,0.323112,0.410181,
100,0.334542,0.411909,0.323204,0.410095,0.30403,0.404691,0.296847,0.350866,0.286371,0.291938,0.353987,0.396735,0.343964,0.396846,0.326942,0.394343,0.326625,0.338427,0.293804,0.288087,0.295744,0.304789,0.289819,0.313319,0.290554,0.312754,0.290967,0.311364,0.291031,0.30729,0.293926,0.315468,0.294598,0.315113,0.294836,0.312403,0.293837,0.307162,0.298832,0.317207,0.299003,0.3161,0.298481,0.312893,0.296757,0.307446,0.30392,0.316048,0.303309,0.314351,0.30191,0.31131,0.299185,0.306228,0.300685,0.309106,0.300505,0.304105,0.298143,0.299724,0.296209,0.295,0.292201,0.293627,0.266145,0.258997,0.266193,0.212572,0.272404,0.206931,0.321707,0.289237,0.31723,0.298907,0.317945,0.296786,0.3186,0.294647,0.319785,0.290341,0.321937,0.301771,0.322727,0.299656,0.32285,0.295631,0.321367,0.290664,0.327679,0.302375,0.32752,0.300025,0.326204,0.296058,0.323166,0.291304,0.331413,0.300237,0.330039,0.298162,0.327805,0.295149,0.324203,0.290789,0.325111,0.294571,0.322,0.291753,0.319288,0.288043,0.318077,0.282933,0.315973,0.280626,0.292822,0.250159,0.279169,0.21062,0.275832,0.206448,0.262041,0.161299,0.269287,0.18828,0.269436,0.201596,0.264996,0.213617,0.269704,0.235642,0.274786,0.249927,0.279491,0.261661,0.279422,0.278331,0.286603,0.286101,0.288844,0.178264,0.283951,0.174088,0.281983,0.175328,0.273106,0.177716,0.267005,0.181427,0.324504,0.401137,0.327495,0.404591,0.302987,0.415373,0.305705,0.411831,0.34197,0.398939,0.345076,0.402305,0.322082,0.415883,0.324538,0.41234,0.352224,0.397262,0.355395,0.400574,0.333485,0.416041,0.335785,0.412498,0.279169,0.21062,0.292822,0.250159,0.315973,0.280626,0.266193,0.212572,0.266145,0.258997,0.292201,0.293627,0.293804,0.288087,0.326625,0.338427,0.326942,0.394343,0.343964,0.396846,0.286371,0.291938,0.296847,0.350866,0.30403,0.404691,0.323204,0.410095,
120,0.334534,0.41187,0.323184,0.410078,0.303981,0.404732,0.296955,0.350887,0.286623,0.291926,0.353988,0.396598,0.343965,0.396803,0.326919,0.394387,0.326652,0.338545,0.29364,0.28824,0.29571,0.304693,0.289459,0.312503,0.290266,0.312159,0.290763,0.310976,0.291004,0.307216,0.293329,0.314352,0.294108,0.314316,0.294566,0.312046,0.293806,0.307075,0.298053,0.316096,0.298362,0.315278,0.298106,0.312477,0.296722,0.307345,0.303033,0.3151,0.302609,0.313671,0.301487,0.310931,0.299147,0.306116,0.301124,0.308571,0.300536,0.30366,0.298108,0.299382,0.296165,0.29488,0.292167,0.293548,0.266103,0.258915,0.266763,0.212493,0.272666,0.207004,0.321601,0.289371,0.317363,0.299062,0.317978,0.296907,0.318589,0.294754,0.3198,0.290454,0.321501,0.301994,0.322279,0.299863,0.322512,0.295844,0.321333,0.290783,0.326779,0.302759,0.326835,0.300415,0.325826,0.296369,0.323087,0.291426,0.33055,0.300815,0.32936,0.298644,0.327363,0.295489,0.324062,0.290921,0.324497,0.295046,0.321501,0.29203,0.318855,0.28828,0.317777,0.283132,0.315739,0.280815,0.292921,0.250152,0.278903,0.210742,0.275894,0.206486,0.262139,0.161354,0.269418,0.188329,0.269569,0.20165,0.265123,0.213675,0.269851,0.235694,0.274934,0.249975,0.279628,0.261709,0.279482,0.278383,0.286649,0.286166,0.288958,0.178289,0.284062,0.174119,0.282094,0.175359,0.273227,0.177761,0.267124,0.181476,0.324557,0.401323,0.327612,0.40463,0.302969,0.415415,0.305652,0.411867,0.341988,0.398999,0.345157,0.40222,0.322087,0.415867,0.324506,0.412319,0.35223,0.397213,0.355463,0.400379,0.333496,0.416003,0.335759,0.412456,0.278903,0.210742,0.292921,0.250152,0.315739,0.280815,0.266763,0.212493,0.266103,0.258915,0.292167,0.293548,0.29364,0.28824,0.326652,0.338545,0.326919,0.394387,0.343965,0.396803,0.286623,0.291926,0.296955,0.350887,0.303981,0.404732,0.323184,0.410078,
140,0.334496,0.411884,0.323151,0.410089,0.303949,0.404759,0.297157,0.350917,0.286672,0.291943,0.354081,0.396542,0.344034,0.396796,0.326934,0.394384,0.326765,0.338599,0.293462,0.28842,0.295822,0.304603,0.289294,0.312355,0.290183,0.311924,0.290773,0.310763,0.291233,0.307193,0.292924,0.31393,0.293826,0.313906,0.29451,0.311778,0.293999,0.307012,0.297446,0.315472,0.297901,0.314731,0.297921,0.312124,0.296887,0.30724,0.302019,0.314328,0.301852,0.31308,0.301098,0.31056,0.299252,0.305975,0.301538,0.308162,0.300307,0.303427,0.297835,0.299225,0.295973,0.294822,0.29205,0.29351,0.266011,0.25886,0.267142,0.212425,0.272824,0.207059,0.321516,0.289372,0.317577,0.299081,0.318098,0.2969,0.318642,0.294727,0.319774,0.290401,0.321239,0.302075,0.321923,0.299896,0.32218,0.295873,0.321283,0.290753,0.325963,0.302985,0.326121,0.300646,0.32536,0.296553,0.323014,0.291417,0.329451,0.301341,0.328491,0.299076,0.326815,0.295763,0.323959,0.29094,0.324076,0.295476,0.32119,0.292198,0.318589,0.288417,0.317603,0.283215,0.3156,0.280859,0.293042,0.250061,0.278701,0.210782,0.275937,0.206503,0.26207,0.161394,0.269446,0.188358,0.269635,0.201687,0.265219,0.213725,0.269999,0.235733,0.275083,0.25001,0.279754,0.261749,0.279487,0.278424,0.286606,0.286247,0.288929,0.178248,0.284038,0.1741,0.28204,0.17533,0.27326,0.177796,0.267075,0.181484,0.324654,0.401455,0.327719,0.404625,0.302951,0.415442,0.305657,0.411885,0.342092,0.399089,0.345272,0.402175,0.322053,0.415881,0.324495,0.412323,0.35235,0.397239,0.355594,0.400272,0.333449,0.416021,0.335736,0.412464,0.278701,0.210782,0.293042,0.250061,0.3156,0.280859,0.267142,0.212425,0.266011,0.25886,0.29205,0.29351,0.293462,0.28842,0.326765,0.338599,0.326934,0.394384,0.344034,0.396796,0.286672,0.291943,0.297157,0.350917,0.303949,0.404759,0.323151,0.410089,
160,0.334335,0.411961,0.323009,0.410147,0.303835,0.404807,0.2973,0.350963,0.28648,0.292026,0.35415,0.396552,0.344065,0.396834,0.3269,0.39436,0.326878,0.338581,0.293227,0.288608,0.295798,0.30454,0.289186,0.312111,0.290024,0.311561,0.290614,0.310437,0.291222,0.307168,0.292657,0.31343,0.293541,0.313373,0.294279,0.311411,0.293984,0.306964,0.296985,0.314715,0.297463,0.314055,0.297616,0.311694,0.296869,0.307167,0.300949,0.313344,0.300982,0.312332,0.300558,0.310118,0.299227,0.305883,0.301965,0.307469,0.300092,0.303073,0.297704,0.298914,0.295918,0.294727,0.292001,0.293476,0.265963,0.25883,0.267392,0.212378,0.272951,0.207105,0.321396,0.289443,0.317723,0.299251,0.318161,0.297053,0.318629,0.294864,0.319628,0.290507,0.321005,0.302255,0.321561,0.300034,0.321796,0.296008,0.321139,0.29085,0.325155,0.303275,0.325321,0.300938,0.324752,0.296822,0.32287,0.291509,0.328061,0.301883,0.327375,0.299543,0.3261,0.296088,0.323827,0.291014,0.323761,0.295711,0.321016,0.29219,0.318473,0.288378,0.317572,0.28318,0.315584,0.280843,0.293242,0.249935,0.278634,0.210804,0.27602,0.206527,0.262074,0.161417,0.269507,0.188379,0.269719,0.201719,0.265321,0.213763,0.270115,0.235766,0.275172,0.25005,0.279795,0.261802,0.279378,0.278476,0.286426,0.286355,0.288939,0.178217,0.284068,0.174094,0.282025,0.175296,0.27336,0.177849,0.267047,0.181457,0.324694,0.401566,0.32774,0.404602,0.302837,0.41549,0.305617,0.411924,0.342161,0.399223,0.345325,0.402178,0.32189,0.415943,0.324408,0.412375,0.352456,0.39733,0.355686,0.400233,0.333257,0.416104,0.335619,0.412536,0.278634,0.210804,0.293242,0.249935,0.315584,0.280843,0.267392,0.212378,0.265963,0.25883,0.292001,0.293476,0.293227,0.288608,0.326878,0.338581,0.3269,0.39436,0.344065,0.396834,0.28648,0.292026,0.2973,0.350963,0.303835,0.404807,0.323009,0.410147,
180,0.334154,0.412032,0.322852,0.410212,0.303709,0.404885,0.29734,0.351009,0.286321,0.292114,0.35413,0.396553,0.344026,0.396865,0.326832,0.394338,0.326993,0.338568,0.293005,0.288789,0.295764,0.304489,0.289184,0.312134,0.28993,0.311381,0.290487,0.310215,0.291181,0.307123,0.292557,0.3133,0.293372,0.313093,0.294088,0.311138,0.293942,0.306915,0.296713,0.314332,0.297166,0.313649,0.297372,0.31139,0.296825,0.307114,0.299993,0.312608,0.300184,0.311752,0.300043,0.309764,0.299187,0.305828,0.302268,0.306874,0.299813,0.302884,0.297595,0.298705,0.295916,0.294658,0.292005,0.293431,0.265911,0.258827,0.267531,0.21236,0.273073,0.207153,0.321278,0.289518,0.317906,0.299436,0.318255,0.297223,0.318632,0.295017,0.319442,0.290622,0.320907,0.302415,0.321337,0.300161,0.321506,0.296131,0.320969,0.290958,0.324512,0.303512,0.324626,0.301168,0.324174,0.297042,0.322709,0.291615,0.326589,0.302296,0.326195,0.299911,0.325348,0.296361,0.3237,0.2911,0.323531,0.295868,0.320955,0.292131,0.318472,0.288287,0.317629,0.283107,0.31565,0.280789,0.293442,0.249816,0.278556,0.210828,0.276108,0.206553,0.262062,0.161448,0.269561,0.188406,0.269802,0.201754,0.265428,0.213806,0.270247,0.235804,0.275282,0.250092,0.279861,0.261858,0.279293,0.278527,0.28627,0.286463,0.288953,0.178182,0.284085,0.174086,0.282025,0.175263,0.273413,0.177902,0.267053,0.18144,0.324669,0.401663,0.327722,0.404578,0.302725,0.415569,0.3056,0.411995,0.342141,0.39934,0.345312,0.402175,0.321712,0.416013,0.324327,0.412436,0.352457,0.397403,0.355694,0.400187,0.333039,0.416181,0.3355,0.412603,0.278556,0.210828,0.293442,0.249816,0.31565,0.280789,0.267531,0.21236,0.265911,0.258827,0.292005,0.293431,0.293005,0.288789,0.326993,0.338568,0.326832,0.394338,0.344026,0.396865,0.286321,0.292114,0.29734,0.351009,0.303709,0.404885,0.322852,0.410212,
