Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,1469.59,3606.9,302.492,1437.49,3662.76,258.544,1382.24,3746.27,169.163,1298.04,3634.95,-198.605,1239.02,3614.61,-613.624,1084.23,3788.9,230.194,1116.23,3848.79,191.827,1170.7,3940.73,110.61,1093.81,3740.58,-219.184,1069.08,3606.91,-616.245,1484.35,3516.39,-543.488,1455.04,3543.93,-522.412,1460.58,3542.22,-508.073,1475.97,3540.66,-507.708,1488.85,3541.66,-535.813,1451.8,3529.32,-510.518,1456.41,3527.54,-495.478,1483.9,3525.09,-497.811,1489.02,3527.74,-532.962,1445.32,3513.25,-492.989,1456.66,3510.81,-481.678,1483.61,3509.45,-490.402,1490.07,3513.52,-527.704,1447.94,3500.45,-484.71,1463.78,3498.54,-480.186,1484.29,3497.69,-494.231,1487.89,3500.37,-531.273,1477.08,3505.2,-500.149,1465.07,3497.41,-526.908,1453.01,3496.58,-554.743,1455.56,3500.83,-593.153,1460.48,3524.33,-608.655,1390.57,3567.95,-839.22,1305.88,3422.97,-1061.75,1203.54,3398.6,-1083.41,922.993,3548.69,-531.362,940.316,3605.98,-502.731,929.036,3595.53,-501.076,918.906,3585.07,-506.283,905.045,3568.35,-528.31,953.679,3600.98,-488.728,942.591,3591.57,-482.48,924.121,3572.98,-491.485,914.037,3558.92,-522.619,965.032,3592.55,-474.303,953.226,3582.32,-470.012,934.528,3564.09,-481.051,922.921,3549.76,-514.363,970.168,3578.75,-468.211,957.904,3567.61,-468.925,943.06,3552.83,-482.348,932.202,3539.63,-515.512,962.628,3541.45,-488.905,963.021,3540.81,-519.086,962.441,3541.24,-549.267,946.795,3532.52,-583.414,925.921,3541.45,-600.779,914.875,3527,-844.948,1022.8,3384.16,-1058.63,1127.1,3394.2,-1082.22,1191.26,3200.59,-1246.01,1173.17,3327.91,-1151.61,1164.69,3397.55,-1113.71,1161.51,3464.86,-1075.04,1160.49,3515.93,-951.516,1159.73,3542.62,-865.351,1158.57,3562.54,-792.359,1154.97,3622.45,-708.954,1154.35,3614.65,-646.274,
20,1471.21,3606.32,302.596,1438.56,3662.05,258.882,1382.56,3745.4,169.819,1299.49,3635.99,-198.777,1238.62,3615.29,-613.511,1083.69,3788.54,230.096,1115.8,3848.41,191.779,1170.43,3940.26,110.591,1093.57,3740.09,-219.193,1068.75,3606.16,-616.162,1485.45,3525.84,-543.38,1455.73,3555.02,-522.21,1462.51,3554.7,-508.31,1477.9,3553.29,-508.815,1489.52,3551.65,-537.437,1452.99,3540.14,-509.727,1458.55,3539.41,-494.925,1485.98,3537.46,-498.342,1490.1,3537.94,-533.719,1447.84,3523.56,-491.955,1459.44,3521.78,-480.783,1486.22,3520.94,-490.05,1491.64,3524.11,-527.604,1450.73,3510.31,-482.984,1466.69,3508.9,-478.709,1486.95,3508.43,-493.136,1489.69,3510.72,-530.278,1479.33,3515.85,-499.002,1466.89,3506.48,-525.052,1454.23,3504.28,-552.545,1455.82,3506.48,-591.178,1459.76,3529.06,-608.258,1389.67,3570.78,-839.117,1307.17,3423.39,-1060.88,1205,3398.19,-1082.36,921.271,3548.97,-531.926,936.15,3608.09,-503.676,925.263,3597.16,-502.567,915.728,3586.21,-507.897,902.812,3568.24,-529.505,950.405,3602.91,-489.448,939.404,3593.21,-483.49,921.545,3574.09,-492.602,911.991,3559.19,-523.511,962.627,3593.97,-475.066,950.965,3583.59,-470.755,932.509,3565.07,-481.723,921.034,3550.47,-514.961,968.233,3580.37,-469.333,956.095,3569.07,-469.569,941.298,3553.96,-482.662,930.574,3540.54,-515.784,960.91,3543.28,-488.951,961.366,3542.21,-519.118,961.015,3541.97,-549.305,945.889,3532.1,-583.374,924.939,3540.07,-601.114,913.346,3523.62,-845.131,1024.19,3382.23,-1058.28,1128.63,3392.9,-1080.98,1205.38,3201.23,-1244.32,1178.3,3327.23,-1150.29,1166.1,3396.45,-1112.64,1162.19,3464.01,-1074.49,1160.8,3516.17,-951.426,1159.89,3543.26,-865.388,1158.59,3563.31,-792.435,1154.5,3622.86,-708.8,1153.96,3614.77,-646.158,
40,1473.63,3607.21,301.955,1440.1,3662.72,258.622,1382.88,3745.79,170.085,1300.59,3638.75,-199.384,1237.8,3616.85,-613.769,1084.86,3789.78,230.128,1116.7,3849.54,191.415,1170.77,3941.31,109.763,1092.69,3740.25,-219.187,1068,3606.45,-616.21,1485.21,3537.82,-542.444,1454.19,3568.01,-521.147,1462.13,3568.91,-507.908,1477.5,3567.79,-509.204,1488.34,3564.04,-537.932,1451.91,3552.78,-508.192,1458.4,3553.02,-493.752,1485.74,3551.9,-498.094,1489.48,3550.58,-533.492,1448.35,3535.45,-490.81,1459.99,3534.35,-479.596,1486.74,3534.46,-488.997,1491.59,3537.17,-526.663,1451.56,3521.84,-481.296,1467.55,3521.09,-476.955,1487.78,3521.37,-491.425,1490.12,3523.59,-528.598,1479.11,3528.32,-497.103,1467.02,3517.41,-522.715,1454.44,3514.15,-550.135,1455.93,3514.83,-588.828,1458.87,3536.59,-607.131,1388.54,3574.97,-838.497,1308.94,3424.45,-1059.21,1207.43,3396.18,-1080.05,919.33,3549.4,-532.882,931.061,3610.46,-505.601,920.704,3599,-504.867,911.882,3587.48,-510.217,900.21,3568.11,-531.32,946.166,3605.49,-490.996,935.349,3595.47,-485.231,918.32,3575.6,-494.319,909.617,3559.58,-524.922,959.233,3596.46,-476.573,947.81,3585.87,-472.128,929.832,3566.76,-482.89,918.848,3551.47,-515.982,965.446,3583.17,-471.134,953.552,3571.62,-470.729,938.994,3555.88,-483.349,928.724,3541.85,-516.362,958.87,3546.15,-489.267,959.337,3544.47,-519.407,959.418,3543.16,-549.568,945.091,3531.63,-583.457,924.092,3538.27,-601.679,910.203,3519.63,-845.419,1026.21,3381.25,-1057.8,1131.11,3390.13,-1079.06,1223.87,3201.57,-1241.12,1185.55,3325.17,-1147.83,1168.76,3393.68,-1110.65,1163.92,3461.67,-1073.37,1161.24,3515.52,-951.054,1159.71,3543.45,-865.294,1158.09,3564.02,-792.492,1153.51,3623.69,-708.967,1153.1,3615.67,-646.315,
60,1476,3608.46,301.741,1441.44,3663.58,258.722,1382.84,3746.14,170.608,1301.77,3641.05,-199.689,1237.14,3618.3,-613.746,1084.31,3791.04,229.968,1116.59,3850.4,190.994,1171.3,3941.71,109.254,1091.33,3741.23,-219.605,1067.48,3605.82,-616.129,1483.97,3551.07,-541.228,1451.45,3582.19,-519.976,1460.51,3584.14,-507.595,1475.81,3583.22,-509.644,1486.23,3577.6,-538.222,1449.48,3566.97,-506.433,1456.89,3568.22,-492.501,1484.09,3567.68,-497.75,1487.82,3564.46,-533.027,1447.52,3549.28,-489.72,1459.06,3548.92,-478.355,1485.82,3549.73,-487.694,1490.38,3551.54,-525.451,1450.94,3535.69,-479.657,1466.87,3535.58,-475.047,1487.19,3536.28,-489.389,1489.37,3537.83,-526.606,1476.79,3542.22,-494.789,1465.51,3529.6,-519.983,1453.42,3525.36,-547.495,1455.46,3524.51,-586.16,1457.66,3545.28,-605.678,1387.58,3579.39,-837.787,1310.92,3425.98,-1057.56,1210.53,3393.32,-1077.38,917.185,3549.64,-534.123,926.574,3612.08,-508.05,916.572,3600.29,-507.458,908.268,3588.37,-512.756,897.668,3567.98,-533.465,942.148,3607.35,-492.965,931.407,3597.2,-487.286,914.982,3576.8,-496.303,907.146,3559.87,-526.649,955.647,3598.44,-478.406,944.344,3587.79,-473.783,926.738,3568.23,-484.332,916.401,3552.25,-517.31,962.268,3585.38,-473.147,950.513,3573.73,-472.121,936.146,3557.47,-484.297,926.475,3542.83,-517.224,956.435,3548.66,-489.862,956.83,3546.42,-519.966,957.57,3543.86,-550.038,944.078,3530.75,-583.694,923.232,3536.35,-602.434,906.589,3515.39,-845.813,1028.86,3380.49,-1056.91,1134.3,3386.21,-1076.54,1243.5,3203.08,-1238.27,1193.63,3322.62,-1145.14,1172,3389.91,-1108.22,1166.08,3458.28,-1071.81,1162.23,3513.9,-950.325,1160.12,3542.74,-864.878,1158.12,3563.9,-792.255,1152.77,3623.82,-708.951,1152.47,3615.98,-646.275,
80,1478.38,3610.35,301.185,1442.81,3665.08,258.485,1382.88,3747.13,170.792,1301.93,3643.49,-199.936,1236.38,3620.19,-613.818,1083.32,3793.05,229.823,1116.12,3851.78,190.36,1171.64,3942.31,108.277,1090.18,3741.49,-220.007,1066.89,3605.59,-616.4,1482.44,3565.2,-540.012,1448.13,3596.17,-518.055,1458.25,3598.87,-506.673,1473.43,3598.35,-509.551,1483.55,3591.9,-538.062,1446.69,3581.1,-504.13,1455.08,3583.19,-490.868,1482.05,3583.49,-497.221,1485.74,3579.06,-532.37,1446.61,3563.25,-488.524,1458.07,3563.67,-477.081,1484.76,3565.46,-486.482,1488.91,3566.56,-524.314,1450.45,3549.94,-478.206,1466.3,3550.64,-473.379,1486.62,3551.94,-487.669,1488.5,3552.79,-524.925,1473.89,3556.23,-492.513,1463.7,3542.15,-517.39,1452.21,3537.29,-545.055,1454.86,3535.67,-583.657,1456.04,3555.73,-603.987,1386.52,3584.01,-837.047,1313.08,3427.83,-1055.96,1214.24,3389.96,-1074.21,914.854,3548.37,-535.221,920.95,3611.37,-509.265,911.504,3599.13,-508.694,903.849,3586.8,-514.032,894.56,3565.87,-534.824,936.883,3607.06,-493.909,926.536,3596.48,-488.278,911.078,3575.39,-497.429,904.32,3558.2,-527.886,950.823,3598.59,-479.415,939.954,3587.54,-474.703,923.19,3567.27,-485.292,913.814,3551.03,-518.429,958.12,3585.83,-474.467,946.825,3573.77,-473.081,933.076,3556.9,-485.123,924.283,3542.06,-518.209,954.258,3549.99,-490.833,954.27,3547.89,-520.948,955.598,3544.65,-550.935,942.956,3530.41,-584.465,922.049,3535.02,-603.407,903.286,3510.98,-846.347,1032.18,3379.86,-1055.88,1138.13,3381.57,-1073.41,1262.23,3204.84,-1234.9,1202,3319.55,-1141.83,1175.84,3385.4,-1105.25,1168.68,3454.25,-1069.97,1163.56,3512.08,-949.572,1160.81,3542.08,-864.543,1158.36,3564.01,-792.162,1152.09,3624.27,-709.171,1151.79,3616.69,-646.463,
100,1479.11,3610.11,301.242,1443.3,3664.81,258.717,1383.26,3746.98,171.214,1301.62,3644.82,-199.775,1235.55,3621.55,-613.576,1082.45,3793.7,229.945,1115.76,3851.9,190.116,1172.02,3941.88,107.942,1089.09,3741.91,-220.493,1066.26,3604.86,-616.514,1480.32,3579.19,-539.215,1444.73,3609.8,-516.189,1455.75,3612.98,-505.812,1470.77,3612.76,-509.494,1480.55,3605.95,-538.04,1443.77,3595.07,-501.985,1453.07,3597.79,-489.464,1479.72,3598.67,-496.971,1483.25,3593.36,-532.016,1445.26,3577.47,-487.579,1456.69,3578.58,-476.149,1483.25,3581.02,-485.757,1486.94,3581.22,-523.652,1449.47,3564.61,-477.206,1465.23,3565.97,-472.25,1485.5,3567.57,-486.583,1486.98,3567.43,-523.866,1470.42,3569.94,-490.72,1461.2,3554.71,-515.295,1450.12,3549.54,-543.073,1453.2,3547.51,-581.625,1453.44,3567,-602.53,1385.18,3588.39,-836.691,1315.13,3429.83,-1055.01,1218.22,3386.43,-1071.18,912.776,3546.26,-536.079,915.381,3609.44,-510.407,906.577,3596.75,-509.538,899.579,3583.99,-514.765,891.562,3562.62,-535.646,931.591,3605.76,-494.937,921.85,3594.72,-489.105,907.482,3572.83,-498.156,901.718,3555.48,-528.723,945.942,3598.1,-480.494,935.713,3586.53,-475.579,920.01,3565.38,-486.055,911.578,3548.8,-519.28,953.989,3585.76,-475.658,943.355,3573.14,-473.989,930.453,3555.53,-485.902,922.519,3540.41,-519.079,952.751,3551.34,-492.087,952.155,3549.26,-522.199,953.87,3545.38,-552.089,941.857,3530.02,-585.353,920.748,3533.55,-604.302,900.567,3505.96,-846.75,1035.95,3379.96,-1055.34,1142.19,3377.37,-1070.89,1277.5,3207.03,-1233.02,1209.63,3316.83,-1139.29,1180.12,3381.24,-1102.69,1172.06,3450.36,-1068.15,1165.44,3509.7,-948.555,1161.82,3540.55,-863.867,1158.77,3563.12,-791.705,1151.48,3623.91,-709.184,1151.1,3616.77,-646.425,
120,1480.19,3610.44,301.146,1443.94,3665.01,258.82,1383.45,3747.12,171.565,1300.33,3645.38,-199.211,1234.67,3622.29,-613.089,1080.89,3793.98,229.637,1114.64,3851.73,189.515,1171.63,3941.3,107.399,1088.76,3742.12,-221.528,1065.58,3603.95,-617.142,1477.3,3592.55,-538.227,1441,3623.25,-514.661,1452.6,3626.63,-505.008,1467.49,3626.46,-509.17,1477.2,3619.34,-537.665,1440.13,3608.95,-500.226,1450.02,3612.05,-488.262,1476.47,3612.97,-496.453,1480.08,3606.92,-531.368,1442.34,3591.93,-486.776,1453.66,3593.54,-475.298,1480.24,3596,-484.869,1483.96,3595.02,-522.748,1446.62,3579.5,-476.451,1462.27,3581.24,-471.222,1482.66,3582.63,-485.391,1484.18,3581.23,-522.647,1465.77,3583.31,-489.019,1457.35,3567.26,-513.361,1446.73,3561.93,-541.285,1450.38,3559.57,-579.768,1450.28,3578.58,-601.114,1383.91,3593.65,-836.309,1316.44,3432.61,-1053.62,1222.23,3383.19,-1068.38,911.055,3543.1,-536.661,910.038,3606.08,-511.143,901.987,3592.94,-509.827,895.68,3579.75,-514.875,888.848,3558.07,-535.862,926.54,3603.1,-495.763,917.596,3591.59,-489.586,904.43,3568.86,-498.405,899.484,3551.49,-529.105,941.356,3596.39,-481.378,931.949,3584.25,-476.232,917.464,3562.16,-486.537,909.813,3545.32,-519.819,950.219,3584.57,-476.512,940.418,3571.31,-474.713,928.513,3552.97,-486.568,921.266,3537.64,-519.806,951.787,3552.25,-493.473,950.61,3550.03,-523.558,952.401,3545.77,-553.393,940.775,3529.46,-586.338,919.357,3531.9,-605.109,898.573,3500.37,-847.024,1039.88,3380.1,-1055.06,1146.24,3373.8,-1068.62,1288.53,3207.8,-1231.21,1216.01,3314.07,-1136.9,1184.41,3377.51,-1100.34,1175.77,3446.95,-1066.59,1167.88,3507.83,-947.855,1163.41,3539.47,-863.498,1159.65,3562.55,-791.531,1151.25,3623.56,-709.28,1150.5,3616.6,-646.503,
140,1480.71,3610.12,301.229,1444.29,3664.74,259.114,1383.76,3747.09,172.115,1299.1,3645.9,-198.46,1233.47,3622.05,-612.297,1079.82,3793.78,229.707,1113.84,3851.15,189.284,1171.29,3940.42,107.161,1088.21,3742.09,-222.225,1064.51,3602.74,-617.396,1473.07,3605.66,-537.386,1435.1,3635.24,-513.95,1446.79,3639,-504.548,1461.67,3639.29,-508.752,1472.04,3632.43,-537.078,1434.49,3621.16,-499.471,1444.45,3624.7,-487.677,1470.86,3626.41,-495.839,1475.27,3620.18,-530.631,1437.28,3604.84,-486.691,1448.27,3607.11,-475.011,1474.95,3610.26,-484.09,1479.46,3608.5,-521.854,1441.85,3592.81,-476.599,1457.2,3595.23,-470.815,1477.94,3597.01,-484.444,1480.16,3594.73,-521.621,1460.05,3595.87,-488.01,1453.02,3579.17,-512.354,1443.22,3573.56,-540.526,1447.81,3571.39,-578.92,1447.3,3590.2,-600.445,1382.34,3598.64,-836.365,1317.65,3435.03,-1052.6,1225.98,3380.64,-1065.87,909.407,3538.45,-536.997,904.834,3600.89,-511.42,897.479,3587.38,-509.812,891.874,3573.85,-514.805,886.345,3552.06,-536.047,921.36,3598.49,-496.014,913.106,3586.59,-489.62,901.169,3563.18,-498.415,897.301,3545.96,-529.351,936.39,3592.61,-481.399,927.703,3579.95,-476.242,914.5,3557.12,-486.662,907.906,3540.19,-520.119,945.925,3581.25,-476.244,936.897,3567.42,-474.666,926.098,3548.57,-486.775,919.795,3533.19,-520.184,949.971,3551.5,-493.935,949.133,3548.98,-524.008,951.166,3544.7,-553.823,940.263,3527.78,-586.711,918.882,3529.41,-605.613,897.71,3494.63,-847.049,1043.66,3380.09,-1055.11,1150.03,3371,-1066.89,1296.73,3208.17,-1229.97,1221.45,3311.92,-1135.01,1188.55,3374.65,-1098.4,1179.3,3444.26,-1065.16,1169.87,3506.14,-947.061,1164.43,3538.26,-862.94,1159.96,3561.63,-791.109,1150.65,3622.73,-709.015,1149.54,3615.84,-646.236,
160,1479.96,3609.03,301.624,1443.86,3663.93,259.586,1384.04,3746.91,172.705,1297.47,3646.14,-197.546,1231.99,3621.97,-611.389,1079.14,3793.56,229.944,1113.2,3850.67,189.179,1170.72,3939.79,106.942,1087.79,3741.74,-222.655,1063.21,3601.38,-617.411,1468.55,3617.47,-536.593,1430.17,3647.26,-513.552,1441.92,3651.01,-504.222,1456.82,3651.23,-508.353,1467.58,3644.25,-536.5,1429.46,3633.37,-499.069,1439.39,3636.98,-487.279,1465.88,3638.54,-495.247,1470.73,3632.04,-529.93,1431.99,3617.68,-486.51,1442.8,3620.18,-474.704,1469.64,3623.05,-483.397,1474.81,3620.42,-521.027,1436.55,3605.8,-476.728,1451.69,3608.32,-470.448,1472.76,3609.78,-483.598,1475.47,3606.65,-520.681,1454.71,3607.83,-487.232,1448.12,3590.82,-511.488,1438.63,3585.09,-539.741,1443.58,3582.95,-578.091,1443.32,3601.59,-599.764,1380.51,3603.66,-836.408,1318.46,3437.77,-1051.67,1229.61,3378.58,-1063.43,908.237,3533.02,-536.951,900.72,3594.77,-511.257,893.944,3580.99,-509.416,888.934,3567.23,-514.388,884.519,3545.44,-535.896,917.241,3592.81,-495.923,909.559,3580.64,-489.327,898.658,3556.73,-498.097,895.698,3539.7,-529.243,932.453,3587.61,-481.012,924.363,3574.54,-475.9,912.235,3551.19,-486.455,906.486,3534.22,-520.051,942.571,3576.61,-475.492,934.19,3562.36,-474.233,924.307,3543.19,-486.631,918.708,3527.83,-520.169,948.156,3549.45,-493.751,948.351,3546.46,-523.791,950.321,3542.48,-553.652,940.07,3525.24,-586.584,918.821,3526.32,-605.673,897.467,3488.91,-846.7,1047.39,3379.34,-1054.61,1153.73,3368.48,-1065.14,1302.91,3207.77,-1228.71,1226.23,3309.95,-1133.18,1192.54,3372.21,-1096.47,1182.55,3441.92,-1063.66,1171.56,3504.61,-946.114,1165.17,3537.1,-862.205,1160.01,3560.71,-790.499,1149.72,3621.88,-708.574,1148.31,3615.07,-645.791,
180,1480.37,3608,301.117,1444.18,3663.09,259.432,1384.31,3746.66,173.137,1295.65,3646.83,-196.873,1230.49,3622.45,-610.754,1079.14,3793.47,230.472,1112.98,3850.41,189.286,1170.1,3939.54,106.779,1087.47,3741.1,-222.659,1062,3599.68,-616.981,1463.37,3628.56,-536.232,1424.77,3659.01,-514.322,1436.46,3662.9,-504.975,1451.41,3662.97,-508.94,1462.54,3655.34,-536.775,1424.04,3645.49,-499.661,1433.78,3649.33,-487.789,1460.38,3650.61,-495.427,1465.56,3643.27,-529.894,1426.14,3630.52,-486.708,1436.81,3633.37,-474.852,1463.78,3635.79,-483.253,1469.51,3631.84,-520.686,1430.72,3618.85,-477.001,1445.66,3621.52,-470.338,1467,3622.46,-483.086,1470.09,3618.08,-520.012,1449.46,3620.1,-486.855,1443.01,3602.47,-510.699,1433.59,3595.98,-538.811,1438.56,3593.2,-577.118,1438.58,3611.32,-599.223,1378.27,3608.68,-836.51,1318.96,3440.29,-1050.6,1232.81,3377.01,-1061.21,907.425,3527.27,-536.867,899.064,3588.76,-511.671,892.33,3575,-509.553,887.452,3561.16,-514.438,883.549,3539.4,-536.072,915.411,3586.86,-496.356,907.777,3574.79,-489.515,897.092,3550.72,-498.109,894.663,3533.69,-529.297,930.548,3581.92,-480.988,922.509,3568.81,-475.868,910.646,3545.32,-486.411,905.335,3528.17,-519.987,940.827,3570.97,-474.956,932.534,3556.65,-473.918,922.905,3537.44,-486.453,917.631,3521.92,-519.971,946.385,3545.7,-493.236,948.417,3541.79,-523.101,950.156,3538.03,-553.006,940.297,3520.67,-585.992,919.408,3521.82,-605.47,897.89,3483.39,-846.321,1050.66,3377.7,-1054.17,1157.04,3366.23,-1063.5,1307.65,3207.21,-1227.7,1230.29,3308.33,-1131.57,1196.09,3370.22,-1094.71,1185.2,3439.93,-1062.2,1172.65,3503.18,-945.113,1165.38,3535.95,-861.386,1159.64,3559.76,-789.79,1148.38,3621.03,-708.066,1146.95,3614.38,-645.267,
