Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.275154,0.33205,0.283838,0.324354,0.297459,0.309613,0.304337,0.251769,0.312637,0.185038,0.345462,0.318655,0.343223,0.312329,0.339133,0.299708,0.341834,0.249474,0.339526,0.184406,0.266641,0.19385,0.273337,0.197994,0.272315,0.200299,0.269691,0.200322,0.267651,0.195746,0.272885,0.199594,0.272007,0.202022,0.267319,0.201582,0.266661,0.195868,0.272862,0.202102,0.270824,0.203913,0.26628,0.202441,0.265497,0.196381,0.271557,0.203176,0.268802,0.203881,0.265343,0.201534,0.264936,0.195463,0.267063,0.200731,0.268509,0.196112,0.270452,0.191477,0.27032,0.185229,0.271119,0.183335,0.285414,0.147101,0.290189,0.103644,0.306059,0.098661,0.360572,0.196647,0.360183,0.202628,0.361562,0.20266,0.362763,0.201582,0.364319,0.197621,0.357822,0.20477,0.359209,0.205572,0.361414,0.203706,0.362465,0.19832,0.35563,0.206913,0.357095,0.207388,0.359347,0.205204,0.36063,0.199449,0.354197,0.207604,0.355699,0.207251,0.357474,0.204744,0.358678,0.19902,0.353776,0.203418,0.353683,0.198463,0.353797,0.193533,0.355976,0.187708,0.359785,0.185107,0.360979,0.144577,0.336144,0.102117,0.318848,0.0986245,0.295582,0.0577811,0.306989,0.082856,0.312625,0.0934337,0.317017,0.103595,0.320009,0.126571,0.321574,0.141851,0.322824,0.154519,0.326518,0.169997,0.326218,0.179803,0.299576,0.0897371,0.303383,0.0822951,0.29416,0.0833099,0.315755,0.0756793,0.29009,0.0785233,0.345449,0.307057,0.337131,0.309335,0.294747,0.316353,0.301691,0.319286,0.348472,0.315037,0.339936,0.317419,0.280716,0.326572,0.287793,0.329632,0.350389,0.319777,0.341714,0.322224,0.271799,0.332735,0.278959,0.335876,0.336144,0.102117,0.360979,0.144577,0.359785,0.185107,0.290189,0.103644,0.285414,0.147101,0.271119,0.183335,0.339526,0.184406,0.341834,0.249474,0.339133,0.299708,0.343223,0.312329,0.312637,0.185038,0.304337,0.251769,0.297459,0.309613,0.283838,0.324354,
20,0.274856,0.332075,0.283624,0.324415,0.297359,0.30972,0.304165,0.25175,0.312739,0.185074,0.345529,0.318643,0.343271,0.312324,0.339151,0.299708,0.341848,0.249468,0.339544,0.184399,0.267116,0.194108,0.273967,0.198293,0.272841,0.200552,0.270235,0.200437,0.268227,0.195727,0.273418,0.199979,0.272458,0.202386,0.267832,0.201782,0.267189,0.195997,0.273146,0.20251,0.271116,0.204308,0.266649,0.202764,0.265979,0.196659,0.271769,0.203686,0.269036,0.20436,0.265656,0.201966,0.265364,0.195887,0.267432,0.201171,0.268836,0.196645,0.270779,0.192043,0.270667,0.185714,0.271559,0.183534,0.28574,0.147226,0.289996,0.103813,0.305786,0.0988165,0.360865,0.196561,0.360941,0.202523,0.362238,0.202456,0.363324,0.201347,0.364677,0.197424,0.358431,0.204696,0.359793,0.205444,0.361879,0.203549,0.362809,0.198181,0.356079,0.20682,0.357515,0.207295,0.359717,0.205116,0.360968,0.199368,0.354581,0.207457,0.356057,0.207178,0.35781,0.204718,0.358984,0.198997,0.354138,0.203452,0.354016,0.198491,0.354063,0.193545,0.356106,0.187704,0.359886,0.185014,0.361086,0.144414,0.335806,0.102073,0.318514,0.0987644,0.293068,0.0581324,0.306053,0.0830444,0.31232,0.0935551,0.316855,0.103642,0.319969,0.126596,0.321582,0.14187,0.322861,0.154534,0.326615,0.170034,0.326288,0.179825,0.297182,0.0900481,0.300802,0.0825125,0.291926,0.0837275,0.313739,0.0756349,0.289018,0.0790559,0.345462,0.307057,0.337145,0.309337,0.294759,0.316515,0.301641,0.319417,0.348518,0.315032,0.339983,0.317416,0.280575,0.326667,0.287584,0.329697,0.350454,0.319765,0.34178,0.322214,0.271558,0.332785,0.278647,0.335897,0.335806,0.102073,0.361086,0.144414,0.359886,0.185014,0.289996,0.103813,0.28574,0.147226,0.271559,0.183534,0.339544,0.184399,0.341848,0.249468,0.339151,0.299708,0.343271,0.312324,0.312739,0.185074,0.304165,0.25175,0.297359,0.30972,0.283624,0.324415,
40,0.274525,0.33196,0.283421,0.324367,0.297332,0.309759,0.304146,0.251678,0.312956,0.185076,0.345403,0.318637,0.343186,0.312261,0.339148,0.299581,0.341993,0.249471,0.339678,0.1844,0.267983,0.194564,0.275082,0.198776,0.273851,0.200948,0.271279,0.200711,0.269263,0.195952,0.27444,0.200527,0.273399,0.202888,0.268861,0.202154,0.268161,0.196345,0.273864,0.20297,0.271881,0.204784,0.267501,0.203245,0.266893,0.197134,0.272417,0.204225,0.269734,0.204923,0.266423,0.202547,0.266191,0.196483,0.268329,0.201773,0.269568,0.1973,0.27142,0.192697,0.271221,0.186333,0.272216,0.183931,0.286187,0.147486,0.289766,0.104151,0.305248,0.0991017,0.361201,0.196416,0.361857,0.202267,0.363049,0.202127,0.363998,0.201002,0.365094,0.197126,0.359222,0.204503,0.360542,0.205213,0.362465,0.203305,0.363212,0.197961,0.356733,0.20663,0.358123,0.207121,0.360225,0.204964,0.361367,0.199225,0.355155,0.207225,0.35658,0.207044,0.358269,0.204649,0.359343,0.198934,0.354599,0.203465,0.354448,0.198498,0.354377,0.193533,0.356216,0.187677,0.359948,0.184872,0.361434,0.144209,0.33541,0.102103,0.317931,0.0989423,0.289744,0.0587348,0.304661,0.0833501,0.311703,0.09374,0.316434,0.103709,0.319862,0.126629,0.321622,0.141893,0.322981,0.154551,0.326815,0.170034,0.326471,0.179826,0.294112,0.0906017,0.297439,0.0829404,0.289069,0.0844215,0.31093,0.075663,0.287578,0.0798507,0.345427,0.306943,0.337101,0.309187,0.294896,0.316628,0.301676,0.319489,0.348421,0.314985,0.339876,0.317331,0.280479,0.326664,0.287378,0.329654,0.350322,0.319774,0.341639,0.322185,0.271317,0.332706,0.278288,0.335777,0.33541,0.102103,0.361434,0.144209,0.359948,0.184872,0.289766,0.104151,0.286187,0.147486,0.272216,0.183931,0.339678,0.1844,0.341993,0.249471,0.339148,0.299581,0.343186,0.312261,0.312956,0.185076,0.304146,0.251678,0.297332,0.309759,0.283421,0.324367,
60,0.274226,0.331909,0.283263,0.324373,0.297358,0.309837,0.304089,0.251649,0.31314,0.185119,0.345543,0.3186,0.34324,0.312191,0.339087,0.299505,0.342247,0.249415,0.339731,0.184395,0.269093,0.195094,0.276461,0.199301,0.275123,0.201349,0.272586,0.200996,0.270523,0.196236,0.275779,0.201142,0.274657,0.203434,0.270201,0.202569,0.269378,0.19676,0.274925,0.203462,0.273016,0.20531,0.2687,0.203803,0.268079,0.197681,0.273454,0.204804,0.270835,0.205557,0.267553,0.203222,0.267302,0.197159,0.269663,0.202473,0.270652,0.198046,0.27235,0.19342,0.271957,0.187039,0.272999,0.184413,0.28662,0.147769,0.289531,0.104511,0.304545,0.0994033,0.361561,0.196219,0.362643,0.201911,0.363767,0.201739,0.364618,0.200612,0.365502,0.196774,0.359946,0.204228,0.36125,0.204919,0.363055,0.20301,0.363626,0.197686,0.357396,0.206377,0.358765,0.206895,0.360789,0.204761,0.361799,0.199027,0.355765,0.206946,0.357164,0.206863,0.358801,0.204529,0.359753,0.198816,0.355108,0.203424,0.354945,0.198454,0.354711,0.193474,0.356344,0.187614,0.360007,0.184694,0.361849,0.143976,0.334915,0.102214,0.317162,0.0991602,0.286296,0.0593579,0.303093,0.0836664,0.310926,0.0939436,0.315881,0.103794,0.31961,0.126677,0.321517,0.141933,0.322969,0.154585,0.32694,0.17004,0.326589,0.179841,0.29059,0.0911797,0.293612,0.0834276,0.285917,0.0851017,0.307692,0.0758018,0.286156,0.0805592,0.345318,0.306872,0.336995,0.309106,0.295153,0.316804,0.301804,0.319595,0.34845,0.314919,0.33991,0.317257,0.280469,0.326734,0.287227,0.329655,0.350444,0.319738,0.341767,0.32214,0.271138,0.332706,0.277961,0.335709,0.334915,0.102214,0.361849,0.143976,0.360007,0.184694,0.289531,0.104511,0.28662,0.147769,0.272999,0.184413,0.339731,0.184395,0.342247,0.249415,0.339087,0.299505,0.34324,0.312191,0.31314,0.185119,0.304089,0.251649,0.297358,0.309837,0.283263,0.324373,
80,0.273969,0.331794,0.283139,0.324319,0.297408,0.309859,0.304203,0.251631,0.313366,0.185159,0.345782,0.31856,0.34337,0.312085,0.339064,0.299359,0.342438,0.249355,0.339815,0.184345,0.270302,0.195642,0.277909,0.199937,0.276455,0.201833,0.273974,0.201358,0.271914,0.196609,0.27716,0.20184,0.275938,0.204033,0.271596,0.203012,0.2707,0.19722,0.275999,0.20397,0.274162,0.20584,0.269942,0.204351,0.269343,0.198227,0.27449,0.205357,0.271948,0.20616,0.268719,0.203856,0.268471,0.197797,0.271088,0.203163,0.2718,0.198773,0.273355,0.194123,0.272811,0.187754,0.273965,0.184979,0.287082,0.148064,0.289285,0.104878,0.303706,0.099763,0.361889,0.196008,0.363517,0.2017,0.364536,0.201514,0.365268,0.200369,0.365921,0.196502,0.36078,0.204069,0.362005,0.204744,0.36363,0.202796,0.364018,0.197445,0.35818,0.206217,0.359464,0.206741,0.361326,0.204584,0.36217,0.198815,0.356455,0.206742,0.357764,0.206709,0.359277,0.204382,0.360079,0.198636,0.355522,0.203296,0.355427,0.198328,0.355068,0.193347,0.356514,0.187479,0.360144,0.184497,0.362207,0.143713,0.334313,0.102357,0.316239,0.0994434,0.283032,0.0600895,0.30144,0.0840596,0.310001,0.0941999,0.315217,0.103892,0.319291,0.12672,0.321368,0.141961,0.322935,0.154604,0.327072,0.170019,0.326734,0.179831,0.28705,0.0919209,0.289759,0.0841191,0.282837,0.0858821,0.304309,0.0761814,0.284855,0.081222,0.345261,0.306703,0.336947,0.308948,0.295433,0.316927,0.301952,0.319641,0.34856,0.314798,0.340032,0.317147,0.280494,0.326748,0.287107,0.329593,0.350665,0.319681,0.342003,0.322095,0.271001,0.332647,0.277672,0.335574,0.334313,0.102357,0.362207,0.143713,0.360144,0.184497,0.289285,0.104878,0.287082,0.148064,0.273965,0.184979,0.339815,0.184345,0.342438,0.249355,0.339064,0.299359,0.34337,0.312085,0.313366,0.185159,0.304203,0.251631,0.297408,0.309859,0.283139,0.324319,
100,0.273835,0.331806,0.283045,0.324358,0.297341,0.309925,0.304328,0.251668,0.313574,0.185234,0.345943,0.318572,0.34343,0.312048,0.338989,0.299311,0.342625,0.249283,0.339882,0.184307,0.271587,0.196114,0.279336,0.200552,0.277772,0.20229,0.275348,0.201694,0.27333,0.196951,0.278541,0.202503,0.277219,0.204581,0.272982,0.203391,0.272061,0.19762,0.277154,0.204439,0.275375,0.206315,0.271236,0.204812,0.270653,0.198683,0.275625,0.20584,0.273151,0.206676,0.269965,0.204381,0.269714,0.19832,0.272573,0.203762,0.273055,0.199413,0.274517,0.194755,0.273878,0.188405,0.275136,0.185527,0.287573,0.148286,0.289067,0.105142,0.302808,0.100091,0.362139,0.195816,0.364333,0.201472,0.365233,0.201323,0.365845,0.200186,0.366276,0.196289,0.361576,0.203876,0.362687,0.204572,0.364108,0.20262,0.364329,0.197242,0.358945,0.206033,0.360107,0.206578,0.361763,0.204419,0.362442,0.198623,0.35712,0.206548,0.358301,0.206548,0.359646,0.204225,0.360297,0.198455,0.355827,0.203122,0.355833,0.198157,0.355383,0.193177,0.356677,0.187322,0.360294,0.18431,0.362443,0.143446,0.333672,0.102456,0.315299,0.0996482,0.280427,0.0605816,0.299934,0.08434,0.30902,0.0944061,0.314429,0.103996,0.318851,0.126781,0.321122,0.142011,0.322822,0.154646,0.327151,0.170006,0.326849,0.17984,0.284116,0.0924027,0.286564,0.0845755,0.280328,0.0863886,0.301383,0.0764528,0.283777,0.0816614,0.345146,0.306653,0.336836,0.308899,0.295528,0.317111,0.301988,0.319718,0.348599,0.314758,0.340077,0.317109,0.280493,0.326872,0.287041,0.329609,0.350807,0.319685,0.342154,0.322102,0.270938,0.332733,0.277539,0.33555,0.333672,0.102456,0.362443,0.143446,0.360294,0.18431,0.289067,0.105142,0.287573,0.148286,0.275136,0.185527,0.339882,0.184307,0.342625,0.249283,0.338989,0.299311,0.34343,0.312048,0.313574,0.185234,0.304328,0.251668,0.297341,0.309925,0.283045,0.324358,
120,0.273683,0.331786,0.282956,0.324373,0.297319,0.309978,0.304565,0.251763,0.313754,0.185332,0.346193,0.318523,0.343592,0.311959,0.339022,0.299234,0.342687,0.249125,0.339949,0.184181,0.272967,0.196598,0.280795,0.201104,0.279155,0.202724,0.276763,0.202055,0.274748,0.197331,0.280021,0.203097,0.278632,0.205085,0.274448,0.203791,0.27347,0.198047,0.278567,0.204886,0.276845,0.206773,0.272722,0.205283,0.272057,0.199154,0.277066,0.206286,0.274647,0.207169,0.271438,0.204906,0.2711,0.198846,0.274217,0.204335,0.274518,0.200023,0.275893,0.195354,0.275142,0.18903,0.276413,0.186073,0.288106,0.148546,0.289026,0.105522,0.301921,0.100393,0.362288,0.195643,0.365054,0.201278,0.365818,0.20119,0.366303,0.200069,0.366533,0.196142,0.362278,0.203684,0.363244,0.204425,0.36444,0.20249,0.364529,0.197083,0.359612,0.205854,0.360619,0.206423,0.362042,0.204269,0.362584,0.198451,0.357678,0.206385,0.358699,0.206391,0.359853,0.204059,0.360384,0.198269,0.356024,0.202916,0.356119,0.197953,0.35564,0.192974,0.35683,0.187145,0.360452,0.184131,0.362535,0.143177,0.333005,0.102511,0.314396,0.099843,0.278489,0.0609622,0.298641,0.0845928,0.308061,0.0946002,0.313609,0.10408,0.318345,0.126813,0.320803,0.142028,0.322648,0.154654,0.32717,0.169979,0.326936,0.179822,0.281831,0.0928197,0.284101,0.0849989,0.278385,0.086782,0.299073,0.0767885,0.282869,0.0819347,0.345173,0.306559,0.336873,0.308829,0.295672,0.317266,0.302053,0.319782,0.348753,0.314655,0.340243,0.317029,0.280505,0.326959,0.286967,0.329604,0.351048,0.319616,0.342408,0.322057,0.270866,0.332775,0.277377,0.3355,0.333005,0.102511,0.362535,0.143177,0.360452,0.184131,0.289026,0.105522,0.288106,0.148546,0.276413,0.186073,0.339949,0.184181,0.342687,0.249125,0.339022,0.299234,0.343592,0.311959,0.313754,0.185332,0.304565,0.251763,0.297319,0.309978,0.282956,0.324373,
140,0.27358,0.331804,0.282885,0.324422,0.297269,0.310063,0.30479,0.251887,0.313934,0.185452,0.346349,0.318535,0.343685,0.311928,0.339032,0.299202,0.34277,0.249017,0.340063,0.184107,0.274513,0.197049,0.282496,0.201489,0.280869,0.203072,0.278517,0.202408,0.276423,0.197735,0.281703,0.203488,0.280336,0.205452,0.276221,0.204185,0.27511,0.198477,0.280216,0.205181,0.278594,0.207108,0.274514,0.205716,0.273673,0.199612,0.278704,0.206548,0.276385,0.207532,0.27316,0.205373,0.27265,0.199329,0.275967,0.204773,0.276008,0.200464,0.277228,0.195764,0.276342,0.18948,0.277654,0.186496,0.288667,0.148724,0.288979,0.105819,0.30112,0.100686,0.362362,0.195472,0.365681,0.201115,0.366321,0.201065,0.366682,0.199943,0.366696,0.195964,0.362922,0.203541,0.363764,0.20431,0.364736,0.202359,0.364656,0.196908,0.360254,0.205769,0.361126,0.206329,0.362314,0.204136,0.362681,0.198279,0.358231,0.206357,0.359105,0.206314,0.36006,0.203927,0.360436,0.1981,0.356288,0.202824,0.356315,0.197855,0.355795,0.192876,0.356841,0.187038,0.360424,0.183978,0.362434,0.142942,0.332355,0.102502,0.31358,0.0999886,0.277034,0.0612113,0.29755,0.0847928,0.307177,0.0947747,0.31286,0.10418,0.317924,0.126869,0.32057,0.142071,0.322549,0.154689,0.327224,0.169995,0.327051,0.179843,0.280131,0.0930819,0.282286,0.0852653,0.276913,0.0870333,0.297331,0.0770213,0.282053,0.0821379,0.345173,0.306521,0.336878,0.3088,0.295753,0.317459,0.302082,0.319875,0.34884,0.314617,0.340336,0.317003,0.280509,0.327087,0.286916,0.32963,0.351195,0.319616,0.342562,0.322069,0.270819,0.33286,0.277271,0.335484,0.332355,0.102502,0.362434,0.142942,0.360424,0.183978,0.288979,0.105819,0.288667,0.148724,0.277654,0.186496,0.340063,0.184107,0.34277,0.249017,0.339032,0.299202,0.343685,0.311928,0.313934,0.185452,0.30479,0.251887,0.297269,0.310063,0.282885,0.324422,
160,0.273628,0.331882,0.282901,0.324506,0.297217,0.310156,0.305062,0.252034,0.314166,0.185595,0.346444,0.318573,0.343761,0.311916,0.339088,0.299173,0.342819,0.248947,0.340207,0.184067,0.276011,0.197459,0.284034,0.201823,0.282401,0.203388,0.280049,0.202737,0.277894,0.198105,0.283278,0.203821,0.281921,0.205779,0.2778,0.204543,0.276607,0.198867,0.281883,0.205488,0.280311,0.207432,0.276199,0.206102,0.275201,0.200021,0.280394,0.206804,0.278122,0.207866,0.274833,0.205785,0.274193,0.199758,0.277607,0.205159,0.277564,0.200873,0.278724,0.196173,0.277783,0.189917,0.279034,0.186913,0.289272,0.148905,0.289019,0.106117,0.300369,0.100994,0.362325,0.195345,0.366097,0.201001,0.366635,0.200982,0.366891,0.199856,0.366725,0.195826,0.363352,0.20343,0.364093,0.204226,0.364879,0.202264,0.36466,0.196773,0.360679,0.205723,0.36144,0.206268,0.362434,0.204037,0.362663,0.198146,0.358576,0.206379,0.359329,0.206275,0.360123,0.20383,0.360385,0.197972,0.356495,0.202807,0.356332,0.197829,0.355836,0.192847,0.356761,0.186989,0.360301,0.183881,0.36223,0.14277,0.331675,0.102547,0.312796,0.100152,0.275888,0.0614117,0.296587,0.0849967,0.306343,0.0949702,0.312178,0.104312,0.317559,0.126958,0.320387,0.142145,0.322494,0.154755,0.32733,0.17004,0.32721,0.179893,0.278804,0.0932895,0.280901,0.0854765,0.275728,0.0872336,0.295994,0.0772345,0.281259,0.0823271,0.345232,0.306483,0.336937,0.308768,0.29576,0.317646,0.302096,0.319965,0.348916,0.314599,0.340413,0.316991,0.280551,0.327243,0.286964,0.329687,0.351287,0.319644,0.342656,0.322104,0.270882,0.333002,0.277341,0.335524,0.331675,0.102547,0.36223,0.14277,0.360301,0.183881,0.289019,0.106117,0.289272,0.148905,0.279034,0.186913,0.340207,0.184067,0.342819,0.248947,0.339088,0.299173,0.343761,0.311916,0.314166,0.185595,0.305062,0.252034,0.297217,0.310156,0.282901,0.324506,
180,0.273493,0.331815,0.2828,0.324491,0.29716,0.310225,0.305392,0.252147,0.314433,0.18571,0.346439,0.318655,0.343784,0.311934,0.339169,0.29915,0.342839,0.24894,0.340322,0.184089,0.277558,0.197779,0.285618,0.201963,0.284008,0.203528,0.281647,0.202902,0.279403,0.19832,0.284898,0.203992,0.283589,0.205961,0.279445,0.204775,0.278153,0.199133,0.283628,0.205732,0.282105,0.207685,0.277957,0.206396,0.276789,0.200338,0.282162,0.207036,0.279938,0.208159,0.276583,0.206139,0.275803,0.200129,0.279239,0.205485,0.279141,0.201267,0.28024,0.196587,0.27926,0.190341,0.280422,0.18726,0.289941,0.149075,0.289098,0.106427,0.299722,0.101289,0.362215,0.195215,0.366121,0.200796,0.366654,0.200821,0.366886,0.199705,0.366637,0.195647,0.363402,0.203227,0.364141,0.204066,0.364887,0.202125,0.36458,0.196617,0.360748,0.205603,0.361501,0.206149,0.362448,0.203913,0.362597,0.198011,0.358618,0.206344,0.359355,0.206203,0.360107,0.203729,0.360309,0.197862,0.356621,0.202806,0.356117,0.197829,0.355667,0.192839,0.356523,0.186962,0.360012,0.183787,0.361923,0.14261,0.331028,0.102535,0.312092,0.100311,0.27499,0.0615564,0.29577,0.0851798,0.305611,0.095161,0.311617,0.104454,0.317299,0.127059,0.320289,0.142234,0.322502,0.154836,0.327501,0.170094,0.327391,0.179957,0.277786,0.0934202,0.279859,0.0856027,0.274788,0.0873734,0.294987,0.0773776,0.280527,0.0825105,0.34532,0.306454,0.337021,0.308734,0.295759,0.31781,0.302062,0.320056,0.348944,0.314616,0.340436,0.317002,0.280485,0.327294,0.286862,0.329664,0.351283,0.319722,0.342648,0.322175,0.270778,0.332988,0.277199,0.335436,0.331028,0.102535,0.361923,0.14261,0.360012,0.183787,0.289098,0.106427,0.289941,0.149075,0.280422,0.18726,0.340322,0.184089,0.342839,0.24894,0.339169,0.29915,0.343784,0.311934,0.314433,0.18571,0.305392,0.252147,0.29716,0.310225,0.2828,0.324491,
