Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,299.075,2867.08,563.89,370.796,2830.3,567.499,491.702,2763.48,553.61,465.736,2624.78,200.52,404.584,2553.18,-171.792,407.05,3048.04,501.296,467.874,2995.49,508.307,567.377,2898.9,501.482,568.194,2781.43,139.839,505.174,2705.56,-231.312,235.064,2501.58,-119.025,277.869,2490.83,-65.0789,261.736,2492.88,-66.3574,247.56,2490.94,-74.1957,229.804,2480.03,-99.2981,279.435,2507.86,-70.4457,266.661,2514.55,-62.4596,239.525,2512.72,-72.0752,230.462,2495.12,-103.439,276.999,2526.21,-75.6513,266.331,2534.5,-65.9147,238.253,2532.93,-73.5765,230.393,2511.61,-105.443,272.836,2544.68,-77.142,257.611,2550.21,-72.579,236.017,2544.79,-84.4769,232.991,2522.98,-115.282,265.401,2553.13,-95.1512,270.58,2538.54,-122.407,274.708,2517.14,-144.936,261.704,2492.13,-173.265,254.747,2463.8,-176.864,306.38,2312.76,-383.331,359.063,2278.52,-670.858,456.717,2363.82,-735.582,476.036,2866.94,-257.217,517.411,2873.22,-203.381,505.884,2883.52,-208.578,497.802,2889.86,-221.254,493.606,2890.59,-253.602,504.355,2863.06,-190.809,492.363,2874.37,-190.814,478.191,2886.6,-212.76,481.539,2881.56,-249.352,489.229,2853.51,-180.363,477.067,2864.83,-181.506,463.861,2877.4,-204.249,468.417,2873.65,-242.943,472.72,2846.52,-176.137,462.094,2856.66,-184.358,454.357,2864.66,-207.016,459.163,2861.61,-244.453,462.437,2844.53,-203.554,472.531,2832.25,-230.276,484.316,2821.78,-257.072,487.82,2821.66,-296.616,504.59,2836.48,-315.677,581.169,2738.75,-545.227,555.129,2568.65,-783.99,502.107,2435.39,-763.229,493.38,2274.89,-1038.55,485.707,2348.6,-868.251,501.017,2374.01,-780.283,538.869,2381.57,-698.483,534.743,2439.9,-554.264,518.443,2486.28,-461.458,500.685,2527.33,-385.562,511.407,2564.41,-272.326,473.722,2607.71,-225.143,
20,299.134,2867.71,562.931,370.838,2830.91,566.65,491.621,2763.82,552.966,464.483,2624.93,200.039,405.163,2554.13,-172.722,407.099,3048.74,499.942,467.821,2996.1,507.13,567.262,2899.43,500.493,568.107,2780.36,139.374,507.485,2705.31,-232.343,235.731,2501.4,-118.284,278.009,2488.59,-63.7792,261.941,2490.96,-65.3026,247.832,2489.52,-73.3638,230.008,2479.69,-98.8606,280.35,2506.62,-68.9324,267.367,2513.27,-61.2522,240.345,2511.83,-71.2446,230.9,2494.82,-102.818,278.458,2526.47,-74.5899,267.446,2534.9,-65.3685,239.445,2533.21,-73.2797,231.064,2511.33,-104.628,274.368,2545.16,-76.5494,259.119,2550.91,-72.3461,237.5,2545.39,-84.152,233.9,2522.77,-114.309,268.052,2552.67,-93.6959,272.719,2537.57,-120.766,276.33,2516.42,-143.62,262.749,2492.23,-172.385,255.46,2464.03,-176.38,306.041,2312.68,-382.879,358.892,2279.67,-670.518,456.529,2364.47,-735.919,475.938,2867.11,-256.684,519.457,2875.54,-204.195,507.553,2885.47,-209.26,498.843,2891.3,-221.765,493.212,2891.09,-253.902,505.962,2864.23,-191.33,493.807,2875.36,-190.997,478.85,2887.26,-212.606,481.37,2881.97,-249.229,489.951,2853.4,-180.685,477.544,2864.49,-181.292,463.875,2877.22,-203.667,468.499,2874,-242.399,473.511,2845.77,-175.958,462.505,2855.94,-183.621,454.407,2864.29,-206.027,459.402,2861.79,-243.479,463.146,2844.46,-202.173,473.115,2832.15,-228.928,484.682,2821.61,-255.793,487.637,2821.21,-295.38,503.801,2835.88,-315.069,581.218,2739.33,-544.839,555.547,2568.96,-783.441,503.138,2435.35,-763.3,494.488,2273.8,-1038.5,486.165,2348.45,-868.638,501.157,2373.95,-780.642,538.968,2380.68,-698.75,535.822,2438.54,-554.318,519.963,2485.07,-461.511,502.439,2526.42,-385.723,512.758,2563.9,-272.583,475.135,2607.78,-225.883,
40,301.508,2868.35,564.704,372.927,2830.94,567.829,492.995,2762.72,553.459,462.16,2626.91,199.638,407.517,2554.23,-173.475,407.148,3047.02,501.096,468.365,2994.86,507.503,568.768,2899.29,499.612,566.637,2779.93,138.594,511.619,2703.91,-233.798,235.967,2500.87,-117.384,277.854,2487.86,-62.1111,261.805,2490.11,-63.9738,247.829,2488.69,-72.2654,230.235,2479.11,-98.0195,280.685,2506.8,-67.042,267.237,2513.13,-59.9143,240.432,2511.26,-70.4072,230.992,2494.25,-101.982,279.048,2528.11,-73.4225,267.306,2536.38,-64.9865,239.486,2533.68,-73.2551,230.971,2510.75,-103.812,274.631,2547.03,-76.3478,259.146,2552.55,-72.7416,237.673,2546.16,-84.3765,233.804,2522.23,-113.464,269.503,2552.9,-92.5205,273.947,2536.97,-119.148,277.521,2515.99,-142.157,263.899,2491.99,-171.068,257.031,2463.7,-175.134,304.743,2312.65,-382.537,358.089,2281.19,-670.259,455.863,2365.37,-736.253,475.701,2868.38,-255.626,520.366,2878.61,-204.047,508.366,2888.39,-209.189,499.385,2893.78,-221.698,493.046,2892.4,-253.673,506.224,2866.66,-191.073,494.125,2877.85,-190.586,478.925,2889.5,-212.158,481.183,2883.47,-248.684,488.992,2854.82,-180.4,476.548,2865.89,-180.649,462.969,2878.89,-202.926,468.296,2875.77,-241.576,472.419,2846.69,-175.331,461.31,2857.04,-182.585,453.344,2865.79,-204.884,459.164,2863.57,-242.234,462.078,2846.2,-200.173,472.345,2833.5,-226.628,484.08,2822.42,-253.205,487.229,2821.17,-292.758,503.415,2835.12,-312.948,581.038,2741.6,-543.899,555.581,2569.67,-781.404,503.742,2435.57,-763.203,494.051,2273.98,-1039.01,485.596,2349.04,-869.331,500.599,2374.27,-781.257,538.852,2379.49,-699.46,537.811,2435.88,-554.419,522.918,2482.25,-461.37,505.959,2523.86,-385.591,515.886,2562.08,-272.665,478.341,2606.74,-226.646,
60,304.264,2868.14,565.981,375.413,2830.19,568.647,494.804,2760.86,553.953,461.102,2627.91,199.305,410.489,2553.72,-174.08,408.918,3044.94,503.357,470.487,2993.05,508.553,571.669,2898.48,498.855,564.79,2779.96,137.619,516.576,2701.66,-235.244,235.709,2500.41,-116.651,277.174,2487.83,-60.6516,261.115,2489.64,-62.8804,247.333,2487.97,-71.4453,230.279,2478.35,-97.5452,280.179,2507.55,-64.9653,266.111,2513.2,-58.4918,239.656,2510.45,-69.6607,230.623,2493.53,-101.401,278.544,2530.12,-71.7271,265.81,2537.69,-64.1216,238.345,2533.57,-72.9666,230.097,2510.04,-103.133,273.547,2549.35,-75.7232,257.678,2554.13,-72.7998,236.565,2546.57,-84.3892,232.759,2521.66,-112.654,269.738,2553.51,-90.7828,274.306,2537.07,-117.077,278.272,2516.63,-140.505,265.076,2492.81,-169.762,259.235,2464.34,-174.144,303.075,2312.68,-381.96,356.516,2283.4,-669.893,454.969,2366.75,-735.942,475.334,2869.29,-254.447,520.661,2881.49,-204.017,508.506,2891.12,-209.082,499.264,2896.07,-221.577,492.547,2893.46,-253.398,506.381,2869.13,-190.984,494.272,2880.28,-190.21,478.664,2891.56,-211.688,480.74,2884.66,-248.068,488.344,2856.25,-180.19,475.776,2867.18,-179.98,462.032,2880.28,-202.095,467.905,2877.15,-240.666,471.756,2847.29,-174.681,460.418,2857.72,-181.46,452.384,2866.8,-203.602,458.84,2864.88,-240.864,460.957,2847.56,-197.978,471.727,2834.59,-224.102,483.76,2823.05,-250.346,487.081,2820.82,-289.843,503.164,2834.11,-310.551,580.435,2744.58,-543.193,555.735,2570.6,-779.288,504.214,2436.21,-762.321,492.157,2275.71,-1039.41,484.206,2350.63,-869.648,499.582,2375.18,-781.449,538.716,2378.24,-699.96,540.802,2432.19,-554.002,527.246,2478.1,-460.526,510.989,2519.91,-384.704,520.061,2559.27,-272.098,482.375,2604.88,-227.141,
80,306.34,2867.92,566.55,377.128,2829.26,568.679,495.728,2758.62,553.818,460.097,2629.25,198.039,412.33,2553.69,-175.446,410.069,3043.26,504.574,471.916,2991.6,508.677,573.843,2898,497.467,562.07,2779.91,136.217,520.715,2699.75,-237.075,235.193,2500.26,-116.141,276.014,2488.21,-59.4871,259.961,2489.6,-62.0326,246.386,2487.65,-70.8659,229.997,2477.88,-97.333,279.158,2508.46,-62.9933,264.537,2513.42,-57.2193,238.501,2509.88,-69.1268,229.95,2493.09,-101.073,277.644,2531.85,-69.7104,263.967,2538.53,-62.946,236.964,2533.2,-72.5376,228.939,2509.59,-102.703,272.183,2551.54,-74.9016,255.964,2555.44,-72.6801,235.283,2546.87,-84.3413,231.463,2521.36,-112.072,269.827,2554.11,-88.9227,274.561,2537.37,-114.994,278.906,2517.61,-138.942,266.111,2494.01,-168.544,261.298,2465.39,-173.271,301.463,2312.6,-380.991,355.344,2285.33,-669.04,454.429,2367.79,-735.241,475.73,2870.63,-253.327,521.269,2882.5,-203.664,509.335,2892.54,-208.463,500.144,2897.61,-220.949,493.552,2894.36,-252.738,506.774,2870.34,-190.867,495.027,2881.84,-189.676,479.504,2893.51,-211.008,481.497,2885.99,-247.273,487.91,2857.09,-180.148,475.581,2868.26,-179.407,462.113,2882.05,-201.268,468.437,2878.99,-239.772,471.033,2847.66,-174.364,459.845,2858.56,-180.64,452.079,2868.4,-202.549,459.061,2866.95,-239.738,459.602,2849.22,-196.259,470.651,2836,-222.137,482.773,2823.94,-248.108,486.406,2821.06,-287.535,502.927,2833.45,-308.454,578.79,2747.64,-542.949,556.013,2571.15,-777.37,504.981,2436.48,-761.185,491.078,2276.23,-1039.15,483.28,2351.55,-869.559,498.893,2375.71,-781.292,538.864,2376.75,-700.159,544.041,2428.36,-553.435,531.671,2473.93,-459.63,515.909,2516.04,-383.87,523.591,2556.78,-271.652,485.545,2603.41,-228.058,
100,306.595,2867.45,567.028,377.187,2828.41,568.627,495.315,2757.01,553.631,459.08,2630.75,196.799,413.598,2553.05,-176.533,410.503,3041.97,505.636,472.514,2990.45,508.749,575.088,2897.71,496.336,559.351,2780.72,134.88,523.779,2697.67,-238.376,235.218,2500.08,-115.703,276.397,2489.2,-59.1957,260.297,2490.1,-61.6627,246.771,2487.74,-70.4714,230.716,2477.5,-96.9645,279.421,2509.81,-62.0386,264.433,2514.07,-56.6617,238.634,2509.6,-68.7703,230.146,2492.71,-100.679,277.834,2533.43,-68.3331,263.439,2539.07,-62.1393,236.803,2532.62,-72.0585,228.554,2509.16,-102.287,271.752,2553.6,-74.6854,255.272,2556.47,-72.8401,234.906,2546.9,-84.2815,230.711,2521.04,-111.62,270.564,2554.74,-87.9398,275.121,2537.85,-113.953,279.478,2518.72,-138.398,266.648,2495.05,-167.931,262.891,2466.29,-172.735,300.27,2312.32,-380.107,354.762,2286.5,-668.175,454.177,2368.54,-734.411,476.407,2871.43,-251.777,522.029,2880.93,-202.605,510.595,2891.76,-206.876,501.641,2897.44,-219.274,495.334,2894.29,-251.13,507.316,2869.21,-190.231,496.211,2881.26,-188.44,481.097,2894.02,-209.435,482.869,2886.51,-245.712,487.775,2856.08,-179.765,475.979,2867.76,-178.373,463.056,2882.79,-199.742,469.457,2880.14,-238.264,470.407,2846.5,-173.873,459.682,2858.16,-179.572,452.376,2869.17,-201.08,459.52,2868.57,-238.262,458.336,2849.81,-194.59,469.26,2836.54,-220.502,481.091,2824.19,-246.465,484.87,2821.37,-285.882,502.057,2832.93,-306.737,577.508,2751.1,-542.786,555.986,2571.79,-775.17,505.511,2436.8,-759.951,491.377,2276.42,-1038.66,482.922,2352.26,-869.328,498.472,2376.24,-780.999,539.149,2375.64,-700.214,546.867,2424.99,-552.824,535.383,2470.11,-458.687,519.936,2512.37,-382.947,526.318,2554.25,-271.068,487.898,2601.66,-228.659,
120,306.771,2867.94,567.145,377.02,2828.28,568.282,494.473,2755.77,553.306,458.525,2632.2,195.501,414.493,2551.96,-177.467,410.691,3041.43,507.393,472.839,2990.02,509.515,575.967,2898.05,496.009,556.067,2781.86,134.5,526.568,2695.46,-238.525,235.486,2500.16,-115.382,276.841,2489.91,-59.0753,260.707,2490.58,-61.3904,247.19,2488,-70.1506,231.384,2477.47,-96.6785,279.928,2510.79,-61.3553,264.718,2514.61,-56.2764,239.081,2509.6,-68.5195,230.514,2492.66,-100.382,278.582,2534.2,-66.8526,263.682,2539,-61.168,237.336,2532,-71.4833,228.59,2509.08,-101.981,272.123,2554.85,-74.127,255.488,2556.92,-72.6213,235.349,2546.82,-84.0134,230.535,2521.01,-111.297,271.953,2554.91,-87.1044,276.192,2538.13,-113.236,280.315,2519.45,-138.068,267.195,2495.81,-167.504,264.046,2466.99,-172.346,299.423,2311.59,-379.008,354.96,2286.89,-666.974,453.989,2369.14,-733.539,476.818,2871.67,-250.811,522.3,2880.42,-202.255,511.085,2891.64,-206.068,502.205,2897.58,-218.396,496.179,2894.17,-250.281,507.855,2868.82,-190.029,497.06,2881.08,-187.819,481.996,2894.3,-208.565,483.569,2886.66,-244.823,488.428,2855.6,-179.571,476.893,2867.48,-177.751,464.001,2883.05,-198.748,470.039,2880.59,-237.341,470.871,2845.61,-173.442,460.349,2857.6,-178.813,453.089,2869.2,-200.028,459.882,2869.2,-237.28,458.135,2849.88,-193.309,468.979,2836.63,-219.26,480.6,2824.13,-245.247,484.314,2821.29,-284.67,501.715,2832.42,-305.585,576.901,2754.3,-542.971,556.911,2572.01,-773.166,505.652,2437.22,-758.894,492.171,2275.89,-1037.88,482.691,2352.61,-869.002,498.059,2376.73,-780.682,539.413,2375.07,-700.256,549.288,2422.64,-552.411,538.501,2467.28,-457.966,523.268,2509.5,-382.156,528.547,2551.85,-270.396,489.87,2599.76,-228.796,
140,307.16,2868.05,567.624,377.097,2827.82,568.072,493.933,2754.41,552.706,458.117,2633.02,194.143,414.701,2550.61,-178.425,410.791,3040.9,507.748,472.909,2989.44,509.425,576.323,2897.81,495.788,554.729,2781.68,134.355,528.198,2693.42,-238.457,235.953,2500.04,-114.906,278.064,2490.6,-59.1481,261.883,2490.96,-61.1862,248.317,2488.1,-69.783,232.558,2477.23,-96.2056,280.969,2511.78,-61.019,265.616,2515.1,-56.0207,240.049,2509.45,-68.1267,231.282,2492.41,-99.8799,279.611,2534.73,-65.4874,264.334,2538.66,-60.1429,238.224,2531.1,-70.6635,228.937,2508.77,-101.44,272.537,2555.63,-73.2101,255.799,2556.81,-71.905,235.885,2546.24,-83.2653,230.514,2520.76,-110.752,272.985,2554.99,-86.4471,276.894,2538.6,-112.874,280.758,2520.23,-137.98,267.37,2496.56,-167.268,264.906,2467.67,-172.13,299.117,2310.59,-377.706,355.78,2286.88,-665.537,453.49,2370.21,-732.7,477.351,2872.44,-250.448,522.172,2880.69,-201.843,511.252,2892.23,-205.538,502.624,2898.33,-217.968,497.169,2894.53,-249.911,507.802,2869.31,-189.695,497.286,2881.81,-187.483,482.62,2895.29,-208.345,484.342,2887.33,-244.53,488.601,2856.34,-179.317,477.363,2868.5,-177.529,464.787,2884.31,-198.538,470.601,2881.63,-237.151,470.796,2846.31,-173.095,460.631,2858.54,-178.598,453.664,2870.34,-199.8,460.209,2870.45,-237.097,457.852,2851.08,-192.686,468.626,2837.49,-218.492,480.189,2824.63,-244.329,484.195,2821.56,-283.706,502.07,2832.12,-304.521,576.926,2757.17,-543.033,558.439,2572.26,-771.257,505.686,2437.95,-757.863,492.164,2276.06,-1037.18,482.059,2353.45,-868.649,497.358,2377.59,-780.321,539.312,2374.79,-700.237,551.249,2420.66,-552.007,541.12,2464.85,-457.274,526.016,2506.95,-381.377,530.073,2549.67,-269.708,490.99,2597.9,-228.863,
160,307.05,2868.77,567.762,376.72,2828.08,567.526,493.068,2753.99,551.721,458.027,2633.93,192.633,414.055,2549.36,-179.385,410.141,3041.2,507.219,472.151,2989.6,508.761,575.671,2898.04,495.488,554.481,2782.11,133.967,528.458,2691.87,-238.406,236.771,2500.09,-114.769,279.153,2490.42,-59.2244,262.962,2490.77,-61.1917,249.362,2487.94,-69.7432,233.493,2477.2,-96.1505,282.217,2511.82,-60.7829,266.792,2514.98,-55.9064,241.242,2509.28,-68.0227,232.157,2492.38,-99.7639,281.213,2534.38,-64.1677,265.681,2537.81,-59.234,239.718,2530.29,-70.1367,229.75,2508.74,-101.256,273.954,2555.38,-71.9118,257.167,2556.07,-70.9473,237.37,2545.58,-82.5763,231.267,2520.77,-110.525,274.782,2554.42,-85.8159,278.336,2538.51,-112.59,281.866,2520.27,-137.836,268.1,2496.92,-167.204,265.729,2468.04,-172.172,299.103,2309.66,-376.891,357.263,2285.88,-664.417,453.153,2370.8,-732.203,477.981,2872.84,-250.413,522.055,2880.63,-201.439,511.397,2892.41,-205.139,503.046,2898.64,-217.695,498.161,2894.6,-249.7,507.666,2869.38,-189.322,497.354,2882.08,-187.272,483.163,2895.75,-208.338,485.129,2887.66,-244.478,488.86,2856.78,-179.069,477.889,2869.21,-177.51,465.649,2885.12,-198.643,471.179,2882.23,-237.283,470.866,2846.94,-172.856,461.068,2859.33,-178.679,454.387,2871.13,-199.971,460.599,2871.23,-237.324,457.97,2851.89,-192.521,468.531,2837.9,-218.2,480.102,2824.8,-243.909,484.482,2821.64,-283.24,502.859,2831.76,-303.834,577.18,2759.12,-543.225,559.931,2572.16,-769.875,505.58,2438.42,-757.223,493.221,2275.62,-1036.62,481.94,2353.76,-868.508,496.909,2378.08,-780.176,539.226,2374.63,-700.31,552.471,2419.3,-551.827,542.649,2463.14,-456.898,527.484,2505.12,-380.944,530.476,2548.05,-269.323,490.996,2596.43,-229.038,
180,307.601,2868.62,568.824,376.996,2827.48,567.738,492.844,2752.79,551.075,458.059,2634.1,191.51,413.869,2547.77,-180.078,410.255,3040.84,507.48,472.032,2988.96,508.827,575.345,2897.13,495.781,555.387,2782.62,133.737,528.932,2690.18,-238.064,236.979,2500.11,-114.773,279.04,2490.63,-58.7637,262.88,2490.85,-60.9872,249.384,2487.95,-69.6804,233.671,2477.2,-96.1776,282.084,2512.22,-60.2495,266.539,2515.2,-55.6523,241.165,2509.3,-68.0417,232.258,2492.37,-99.8149,281.197,2534.51,-62.7924,265.403,2537.5,-58.4313,239.746,2529.83,-69.942,229.742,2508.72,-101.344,273.738,2555.29,-70.4282,256.915,2555.5,-70.0203,237.446,2544.99,-82.1793,231.269,2520.75,-110.603,274.884,2554.19,-85.111,278.643,2538.69,-112.101,282.394,2520.4,-137.272,268.911,2497.15,-166.856,266.816,2468.25,-171.832,299.311,2309.11,-376.101,358.253,2285.14,-663.451,452.224,2371.66,-731.899,478.571,2873.02,-250.167,521.868,2880.73,-200.701,511.21,2892.54,-204.326,502.986,2898.84,-216.929,498.636,2894.87,-249.021,507.596,2869.24,-188.671,497.208,2881.88,-186.711,483.212,2895.64,-207.857,485.557,2887.84,-244.041,489.531,2856.66,-178.633,478.566,2869.12,-177.249,466.304,2884.99,-198.396,471.521,2882.31,-237.095,471.594,2846.83,-172.525,461.888,2859.16,-178.615,455.195,2870.89,-199.943,460.994,2871.27,-237.361,458.761,2851.63,-192.413,469.178,2837.57,-218.116,481.038,2824.77,-243.845,485.823,2822.03,-283.159,504.473,2832.34,-303.408,577.751,2760.21,-543.274,561.807,2571.85,-768.849,504.881,2439.12,-756.85,492.705,2275.87,-1036.43,480.891,2354.46,-868.561,495.794,2378.84,-780.232,538.557,2374.73,-700.634,553.202,2418.29,-551.953,543.834,2461.73,-456.798,528.754,2503.49,-380.705,531.031,2546.37,-269.046,491.277,2594.77,-229.063,
