Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.662609,0.402722,0.674658,0.404541,0.695482,0.404538,0.692124,0.339515,0.67383,0.273644,0.643569,0.418192,0.657282,0.418544,0.680995,0.415504,0.676349,0.350616,0.657469,0.281554,0.667403,0.271959,0.676247,0.280407,0.674288,0.279872,0.67271,0.278094,0.671043,0.272905,0.673702,0.281121,0.671969,0.282465,0.66902,0.280004,0.668769,0.273588,0.670577,0.281844,0.668939,0.283654,0.665992,0.281462,0.666348,0.274686,0.667481,0.283076,0.665496,0.283724,0.663483,0.280789,0.664433,0.27427,0.664502,0.280873,0.665448,0.275699,0.667544,0.270588,0.668133,0.26378,0.671234,0.260629,0.68586,0.21678,0.679153,0.166599,0.672578,0.162702,0.627597,0.291543,0.634317,0.302628,0.631208,0.302284,0.628551,0.300487,0.625781,0.295101,0.635508,0.303133,0.632568,0.303705,0.627783,0.30073,0.62636,0.294442,0.636243,0.30326,0.633224,0.30364,0.628453,0.300626,0.626807,0.294204,0.636018,0.302574,0.632868,0.301774,0.62935,0.298581,0.627715,0.29245,0.633482,0.297561,0.634549,0.292488,0.635504,0.287585,0.633147,0.281205,0.631106,0.280067,0.638436,0.233198,0.64683,0.172713,0.664354,0.164129,0.670727,0.0976998,0.669427,0.136883,0.672957,0.155418,0.681497,0.171133,0.681177,0.202449,0.678055,0.222719,0.674588,0.239112,0.677278,0.261773,0.669596,0.272337,0.642851,0.127712,0.646164,0.121569,0.651538,0.121404,0.658369,0.125294,0.673086,0.124659,0.679348,0.429288,0.682549,0.426249,0.69904,0.412142,0.694025,0.417453,0.655531,0.425419,0.659016,0.422506,0.677733,0.406505,0.672622,0.411612,0.641641,0.422737,0.645285,0.419901,0.665416,0.402822,0.660255,0.407809,0.64683,0.172713,0.638436,0.233198,0.631106,0.280067,0.679153,0.166599,0.68586,0.21678,0.671234,0.260629,0.657469,0.281554,0.676349,0.350616,0.680995,0.415504,0.657282,0.418544,0.67383,0.273644,0.692124,0.339515,0.695482,0.404538,0.674658,0.404541,
20,0.662475,0.402655,0.674531,0.404485,0.695389,0.404475,0.691939,0.339394,0.673694,0.273602,0.643389,0.418076,0.657117,0.418435,0.680846,0.415407,0.676473,0.350436,0.65768,0.281445,0.667537,0.272073,0.67665,0.280413,0.674636,0.279871,0.672983,0.278105,0.671136,0.272947,0.674054,0.281271,0.672288,0.282558,0.669271,0.280077,0.66889,0.273667,0.670746,0.282074,0.669023,0.283807,0.666086,0.281568,0.6665,0.274803,0.667597,0.283257,0.665557,0.283869,0.66356,0.280936,0.664606,0.274425,0.66491,0.281137,0.665891,0.275929,0.667883,0.270774,0.668273,0.263951,0.6713,0.260741,0.685862,0.21684,0.678983,0.166756,0.672433,0.1627,0.627598,0.291643,0.634094,0.302807,0.631013,0.302432,0.628387,0.300586,0.625643,0.295084,0.635444,0.303231,0.632538,0.303833,0.627753,0.300845,0.626288,0.294494,0.636309,0.303228,0.633337,0.303662,0.628521,0.300703,0.626798,0.294329,0.636223,0.302565,0.633069,0.301841,0.62948,0.298707,0.627776,0.292635,0.633655,0.297805,0.634713,0.29272,0.635653,0.287792,0.633287,0.281359,0.631168,0.280082,0.638373,0.233325,0.646864,0.172846,0.664469,0.164112,0.671035,0.0975898,0.669477,0.136793,0.672958,0.155346,0.681634,0.171003,0.681512,0.202326,0.678411,0.222626,0.674912,0.239041,0.677488,0.261724,0.669689,0.272269,0.642882,0.127448,0.64629,0.121317,0.651591,0.121192,0.658598,0.125118,0.673095,0.124593,0.679237,0.429205,0.682402,0.426079,0.698878,0.412204,0.693841,0.417409,0.655394,0.425341,0.658845,0.422342,0.677581,0.406532,0.672447,0.411535,0.641483,0.422657,0.645095,0.419736,0.665271,0.402824,0.660087,0.407708,0.646864,0.172846,0.638373,0.233325,0.631168,0.280082,0.678983,0.166756,0.685862,0.21684,0.6713,0.260741,0.65768,0.281445,0.676473,0.350436,0.680846,0.415407,0.657117,0.418435,0.673694,0.273602,0.691939,0.339394,0.695389,0.404475,0.674531,0.404485,
40,0.662709,0.403099,0.674797,0.404783,0.695718,0.404533,0.691381,0.3394,0.673878,0.273568,0.64371,0.418076,0.657371,0.418408,0.680973,0.415377,0.676331,0.350192,0.658233,0.281223,0.667686,0.27217,0.676834,0.280593,0.674818,0.279991,0.673162,0.278196,0.671287,0.273029,0.674172,0.281579,0.672372,0.28274,0.669408,0.280155,0.669027,0.273746,0.670642,0.282409,0.668824,0.283986,0.666025,0.281613,0.666618,0.274873,0.667371,0.283457,0.665306,0.283952,0.663456,0.280975,0.664723,0.274501,0.665088,0.28138,0.666192,0.276159,0.668149,0.270993,0.668498,0.264163,0.671575,0.260944,0.685749,0.216873,0.678684,0.16693,0.672197,0.16272,0.627447,0.291928,0.633706,0.303168,0.630635,0.30276,0.628052,0.300859,0.625436,0.29524,0.635105,0.303517,0.632207,0.304152,0.627439,0.301135,0.626071,0.294719,0.636012,0.30337,0.633067,0.303856,0.628226,0.300944,0.626557,0.294624,0.636018,0.302706,0.632854,0.302061,0.629223,0.298989,0.627562,0.292995,0.633418,0.298248,0.634585,0.293189,0.635645,0.288269,0.633434,0.281773,0.631399,0.280348,0.638045,0.233711,0.646895,0.173296,0.664508,0.16415,0.670922,0.097517,0.669271,0.136721,0.672803,0.155263,0.681764,0.170764,0.682153,0.202088,0.679193,0.222444,0.675704,0.238908,0.678107,0.261634,0.670139,0.272153,0.64265,0.127322,0.64611,0.121189,0.651361,0.121088,0.658489,0.125003,0.672838,0.124546,0.679409,0.429202,0.682681,0.425958,0.699186,0.412414,0.694188,0.417521,0.655643,0.425354,0.659194,0.422241,0.677827,0.406922,0.672728,0.411831,0.641788,0.422703,0.645495,0.419671,0.665492,0.403341,0.66034,0.408134,0.646895,0.173296,0.638045,0.233711,0.631399,0.280348,0.678684,0.16693,0.685749,0.216873,0.671575,0.260944,0.658233,0.281223,0.676331,0.350192,0.680973,0.415377,0.657371,0.418408,0.673878,0.273568,0.691381,0.3394,0.695718,0.404533,0.674797,0.404783,
60,0.663066,0.403427,0.67519,0.404988,0.696202,0.40455,0.691104,0.33939,0.674225,0.273523,0.644311,0.418316,0.657902,0.418535,0.681354,0.415403,0.676067,0.349941,0.659005,0.280951,0.667768,0.272232,0.676854,0.280786,0.674879,0.280091,0.673262,0.27824,0.671424,0.273037,0.674139,0.281936,0.672336,0.28292,0.669488,0.280172,0.669125,0.27376,0.670409,0.282818,0.668545,0.284177,0.665948,0.28161,0.666674,0.274886,0.666975,0.283714,0.664939,0.28403,0.663292,0.280972,0.664749,0.274541,0.665128,0.2817,0.666336,0.27649,0.66823,0.271321,0.668574,0.264464,0.67176,0.261208,0.685603,0.216942,0.678204,0.167181,0.671902,0.162899,0.627351,0.292192,0.633281,0.303465,0.630225,0.303047,0.627685,0.301096,0.62524,0.295367,0.634739,0.303776,0.631865,0.304453,0.627122,0.301398,0.625885,0.294915,0.635741,0.303512,0.632838,0.304053,0.627978,0.30117,0.626366,0.294887,0.635904,0.30284,0.63274,0.302268,0.629064,0.299251,0.62742,0.293328,0.633248,0.298683,0.634527,0.293678,0.635709,0.288784,0.633676,0.282215,0.631702,0.280641,0.63754,0.234113,0.646908,0.173781,0.664515,0.164371,0.670395,0.0976317,0.668839,0.136816,0.672529,0.155313,0.681915,0.170557,0.683108,0.201856,0.680384,0.222285,0.676928,0.23881,0.679034,0.261591,0.670818,0.272033,0.642154,0.1275,0.645633,0.121347,0.650836,0.121256,0.658096,0.125099,0.672301,0.124672,0.679928,0.429273,0.683283,0.425844,0.6996,0.412624,0.694628,0.417587,0.656217,0.425549,0.659845,0.422254,0.678182,0.40725,0.673104,0.41202,0.64241,0.423022,0.64619,0.419808,0.665831,0.40377,0.660697,0.408426,0.646908,0.173781,0.63754,0.234113,0.631702,0.280641,0.678204,0.167181,0.685603,0.216942,0.67176,0.261208,0.659005,0.280951,0.676067,0.349941,0.681354,0.415403,0.657902,0.418535,0.674225,0.273523,0.691104,0.33939,0.696202,0.40455,0.67519,0.404988,
80,0.663322,0.403615,0.675487,0.405021,0.696608,0.404384,0.69073,0.339275,0.674338,0.273363,0.644733,0.418406,0.658257,0.418517,0.681571,0.415318,0.675693,0.349569,0.659615,0.280618,0.66777,0.272279,0.676752,0.280955,0.674819,0.280176,0.673246,0.278269,0.671474,0.27302,0.674025,0.282274,0.672224,0.283075,0.669487,0.280165,0.669139,0.273751,0.670195,0.283238,0.668317,0.284362,0.665892,0.281596,0.66665,0.274876,0.666582,0.28398,0.664596,0.284103,0.663131,0.280963,0.664701,0.274563,0.665162,0.282032,0.666443,0.276837,0.668245,0.271661,0.668579,0.26478,0.671866,0.261487,0.685502,0.217065,0.677842,0.167491,0.671723,0.163118,0.627256,0.292518,0.633204,0.303647,0.630123,0.303321,0.627569,0.301383,0.625238,0.295603,0.634595,0.303928,0.63173,0.304721,0.626944,0.301729,0.625801,0.295203,0.635571,0.30358,0.63269,0.30424,0.627766,0.301475,0.62619,0.295228,0.635798,0.302895,0.632612,0.302454,0.628858,0.299558,0.627194,0.293716,0.632977,0.29906,0.634337,0.294086,0.635627,0.289196,0.63373,0.282594,0.631929,0.280918,0.636878,0.234417,0.646984,0.174194,0.664634,0.164604,0.670204,0.0977516,0.668592,0.136923,0.672377,0.155391,0.682159,0.170384,0.684125,0.201642,0.681595,0.222135,0.678127,0.238707,0.679836,0.261539,0.671323,0.271851,0.64188,0.127589,0.645403,0.121426,0.650556,0.121366,0.657937,0.125161,0.671992,0.124822,0.680294,0.429229,0.683706,0.425576,0.69992,0.412653,0.69499,0.417465,0.656628,0.425609,0.660307,0.422093,0.67843,0.407408,0.673388,0.412032,0.642868,0.423205,0.646696,0.419772,0.666065,0.404064,0.660964,0.408578,0.646984,0.174194,0.636878,0.234417,0.631929,0.280918,0.677842,0.167491,0.685502,0.217065,0.671866,0.261487,0.659615,0.280618,0.675693,0.349569,0.681571,0.415318,0.658257,0.418517,0.674338,0.273363,0.69073,0.339275,0.696608,0.404384,0.675487,0.405021,
100,0.663437,0.403653,0.675607,0.404941,0.69678,0.404179,0.690333,0.339178,0.674499,0.273175,0.645022,0.418461,0.658487,0.41846,0.681678,0.415219,0.675195,0.349291,0.660176,0.280315,0.667822,0.27233,0.67667,0.281095,0.674804,0.280284,0.673294,0.278348,0.671618,0.273064,0.673917,0.282541,0.672156,0.28321,0.66956,0.280198,0.669234,0.273783,0.670072,0.283586,0.668237,0.28451,0.665986,0.281612,0.666697,0.27489,0.666264,0.284175,0.664376,0.284145,0.663094,0.280962,0.664701,0.274579,0.665203,0.282257,0.66649,0.277053,0.668177,0.271856,0.668521,0.264977,0.671929,0.261688,0.685469,0.217164,0.677656,0.167739,0.671632,0.163334,0.627302,0.292874,0.6336,0.303701,0.630478,0.303558,0.627857,0.301703,0.625531,0.295932,0.634869,0.303946,0.63202,0.304916,0.627123,0.3021,0.625958,0.295563,0.635741,0.303541,0.632877,0.304375,0.627844,0.301829,0.626209,0.295624,0.635951,0.302838,0.63273,0.30258,0.628867,0.299879,0.627087,0.294126,0.632879,0.299332,0.634229,0.294347,0.635536,0.289423,0.633646,0.282839,0.632046,0.281122,0.636181,0.234754,0.647032,0.174667,0.664725,0.16486,0.67024,0.0978585,0.668453,0.137033,0.672265,0.155494,0.682366,0.170274,0.685025,0.201473,0.682676,0.222012,0.679204,0.238616,0.680566,0.261481,0.671803,0.271667,0.641802,0.127557,0.645344,0.121422,0.650505,0.121368,0.657841,0.125244,0.671921,0.124918,0.680571,0.429163,0.684001,0.425241,0.700018,0.412638,0.695086,0.417286,0.656933,0.425638,0.660626,0.421859,0.678517,0.407454,0.67347,0.411919,0.643217,0.423368,0.647056,0.419673,0.666174,0.404211,0.661068,0.408568,0.647032,0.174667,0.636181,0.234754,0.632046,0.281122,0.677656,0.167739,0.685469,0.217164,0.671929,0.261688,0.660176,0.280315,0.675195,0.349291,0.681678,0.415219,0.658487,0.41846,0.674499,0.273175,0.690333,0.339178,0.69678,0.404179,0.675607,0.404941,
120,0.663392,0.403725,0.67559,0.404871,0.696847,0.40396,0.689988,0.339092,0.674695,0.272958,0.645226,0.418664,0.658627,0.418549,0.681702,0.41527,0.674647,0.34916,0.660805,0.280181,0.667856,0.272392,0.676622,0.281188,0.674794,0.280379,0.673317,0.278431,0.671704,0.273124,0.673869,0.282744,0.672131,0.283323,0.669617,0.28025,0.669294,0.273834,0.670124,0.283898,0.668327,0.284657,0.666157,0.281662,0.666729,0.27493,0.666155,0.284379,0.664348,0.284222,0.663163,0.28101,0.664707,0.274619,0.665362,0.282443,0.666598,0.277218,0.668175,0.271994,0.668491,0.265123,0.671968,0.261838,0.685548,0.217265,0.677693,0.16798,0.671575,0.163543,0.627369,0.293071,0.633732,0.30372,0.6306,0.3037,0.627949,0.301884,0.625689,0.296094,0.634996,0.303965,0.632172,0.305037,0.627224,0.302306,0.626063,0.29575,0.635892,0.303554,0.63305,0.304487,0.627961,0.302054,0.626258,0.295839,0.636163,0.302842,0.632932,0.302676,0.629002,0.300079,0.627089,0.294359,0.632935,0.299535,0.634273,0.294545,0.635581,0.289597,0.633688,0.283011,0.632174,0.281252,0.635574,0.235018,0.647238,0.175068,0.664745,0.165093,0.670471,0.0979454,0.668394,0.137127,0.67216,0.155598,0.682485,0.170214,0.685704,0.201357,0.683521,0.221932,0.680073,0.238561,0.681227,0.261435,0.672296,0.271533,0.641886,0.127424,0.64543,0.121329,0.650644,0.121291,0.657801,0.125284,0.672038,0.124997,0.680747,0.429234,0.684192,0.425085,0.700002,0.412578,0.695108,0.41709,0.657141,0.425795,0.660847,0.421794,0.678452,0.40749,0.673439,0.411823,0.643476,0.42366,0.647326,0.419743,0.666111,0.404373,0.661036,0.408602,0.647238,0.175068,0.635574,0.235018,0.632174,0.281252,0.677693,0.16798,0.685548,0.217265,0.671968,0.261838,0.660805,0.280181,0.674647,0.34916,0.681702,0.41527,0.658627,0.418549,0.674695,0.272958,0.689988,0.339092,0.696847,0.40396,0.67559,0.404871,
140,0.663441,0.403823,0.675648,0.404807,0.696947,0.403713,0.689748,0.338946,0.674858,0.272692,0.645333,0.41867,0.658713,0.418486,0.681762,0.415241,0.674522,0.349047,0.661299,0.280057,0.667945,0.272468,0.676642,0.281277,0.674869,0.280479,0.673436,0.278529,0.671878,0.273209,0.673854,0.282914,0.672165,0.283433,0.669755,0.280326,0.669433,0.27391,0.67023,0.284182,0.668499,0.284801,0.666416,0.281735,0.666837,0.274994,0.66614,0.284596,0.664435,0.28433,0.663339,0.281088,0.664772,0.274678,0.66549,0.282582,0.666622,0.277335,0.668113,0.272088,0.668417,0.265228,0.671969,0.261953,0.685737,0.217382,0.677872,0.168227,0.671406,0.16379,0.627325,0.293224,0.633705,0.303808,0.630559,0.303851,0.6279,0.302044,0.625752,0.29623,0.634937,0.304063,0.632103,0.305171,0.627143,0.302463,0.626049,0.295895,0.635811,0.303672,0.632951,0.304641,0.627852,0.30224,0.626161,0.295992,0.636072,0.30296,0.632827,0.302812,0.628894,0.300247,0.626937,0.294521,0.632764,0.299737,0.634157,0.294737,0.635525,0.289778,0.6337,0.283191,0.632332,0.281412,0.635096,0.235287,0.647498,0.175455,0.6647,0.16535,0.67049,0.0980963,0.668211,0.137274,0.671968,0.155743,0.682519,0.170192,0.686272,0.201269,0.684247,0.221873,0.680827,0.238521,0.681775,0.261392,0.672694,0.271387,0.641775,0.127418,0.645343,0.121348,0.650563,0.121328,0.657675,0.125387,0.671928,0.125146,0.680898,0.429209,0.684311,0.424879,0.700073,0.412464,0.695207,0.416866,0.657279,0.425783,0.660953,0.421604,0.678489,0.407513,0.6735,0.41174,0.643638,0.423734,0.647456,0.419641,0.666158,0.404546,0.661105,0.408672,0.647498,0.175455,0.635096,0.235287,0.632332,0.281412,0.677872,0.168227,0.685737,0.217382,0.671969,0.261953,0.661299,0.280057,0.674522,0.349047,0.681762,0.415241,0.658713,0.418486,0.674858,0.272692,0.689748,0.338946,0.696947,0.403713,0.675648,0.404807,
160,0.663341,0.403898,0.675545,0.404732,0.696858,0.403478,0.689518,0.338801,0.674916,0.272407,0.645197,0.418579,0.658575,0.418354,0.68164,0.415173,0.674406,0.349015,0.661572,0.279927,0.668026,0.272516,0.676771,0.281285,0.675002,0.280497,0.673563,0.278554,0.671978,0.273242,0.673985,0.282994,0.672303,0.283479,0.669901,0.280364,0.669528,0.273951,0.670516,0.284401,0.668802,0.284908,0.666704,0.281792,0.66693,0.275044,0.666389,0.284816,0.664726,0.284454,0.663614,0.281181,0.664856,0.274736,0.665783,0.282686,0.666792,0.277417,0.668225,0.272147,0.668441,0.265289,0.671996,0.262,0.685916,0.217434,0.678252,0.168336,0.671309,0.163932,0.627323,0.293293,0.633731,0.303863,0.630572,0.303939,0.627911,0.302136,0.625851,0.296312,0.634938,0.304126,0.632081,0.305234,0.627122,0.302531,0.626077,0.295966,0.635785,0.303765,0.632892,0.304734,0.6278,0.302337,0.626112,0.296052,0.635995,0.303061,0.632741,0.302892,0.628827,0.300325,0.626835,0.294574,0.632661,0.299845,0.634104,0.294819,0.63552,0.289859,0.633747,0.283286,0.632514,0.281521,0.634784,0.235448,0.647774,0.175711,0.664656,0.16551,0.670722,0.0981439,0.668158,0.137328,0.671848,0.155816,0.68253,0.170163,0.686641,0.20119,0.684714,0.221808,0.681304,0.238458,0.682094,0.261316,0.672908,0.271222,0.641848,0.127239,0.645428,0.121218,0.650685,0.121201,0.657659,0.125405,0.672026,0.125169,0.680815,0.429135,0.684184,0.424683,0.699985,0.412316,0.695141,0.41665,0.657172,0.425683,0.660803,0.421384,0.67838,0.407493,0.67341,0.411655,0.643546,0.423689,0.647321,0.419477,0.666064,0.404669,0.66103,0.408733,0.647774,0.175711,0.634784,0.235448,0.632514,0.281521,0.678252,0.168336,0.685916,0.217434,0.671996,0.262,0.661572,0.279927,0.674406,0.349015,0.68164,0.415173,0.658575,0.418354,0.674916,0.272407,0.689518,0.338801,0.696858,0.403478,0.675545,0.404732,
180,0.663473,0.404061,0.675667,0.404724,0.696966,0.403261,0.689432,0.338652,0.675089,0.272149,0.645276,0.418589,0.658661,0.418293,0.681757,0.415102,0.674411,0.349079,0.661909,0.27984,0.668043,0.272524,0.676758,0.281368,0.674995,0.280531,0.673567,0.278565,0.671993,0.273244,0.673947,0.283103,0.672262,0.283527,0.669889,0.280362,0.669536,0.273946,0.670577,0.284617,0.668867,0.284991,0.666781,0.281783,0.666928,0.275028,0.666469,0.285022,0.664837,0.284534,0.663727,0.281193,0.664854,0.274723,0.665868,0.282775,0.666825,0.277516,0.668293,0.272259,0.668508,0.265385,0.672093,0.2621,0.686063,0.217516,0.678531,0.168439,0.671092,0.164062,0.627367,0.293374,0.633748,0.303985,0.630591,0.304076,0.627927,0.302278,0.6259,0.296469,0.634999,0.304214,0.632137,0.305299,0.627178,0.3026,0.626119,0.296072,0.635899,0.303853,0.63299,0.304796,0.627899,0.302392,0.626144,0.296104,0.636106,0.303135,0.63285,0.302921,0.628943,0.30034,0.626865,0.294587,0.632784,0.29987,0.634223,0.294827,0.63562,0.289903,0.633821,0.283385,0.632608,0.281707,0.634657,0.23556,0.648104,0.175882,0.664492,0.165641,0.670634,0.0982146,0.667925,0.13739,0.671598,0.155876,0.682416,0.170111,0.686878,0.201083,0.685077,0.221716,0.681715,0.238377,0.682433,0.261222,0.67319,0.271073,0.641706,0.127186,0.64528,0.121188,0.65057,0.12118,0.657428,0.125443,0.671894,0.125228,0.680976,0.429061,0.684287,0.424543,0.700149,0.412139,0.695335,0.416457,0.657293,0.42564,0.66087,0.421276,0.678518,0.407506,0.673576,0.411654,0.643669,0.423726,0.647392,0.419447,0.666212,0.404849,0.661205,0.408901,0.648104,0.175882,0.634657,0.23556,0.632608,0.281707,0.678531,0.168439,0.686063,0.217516,0.672093,0.2621,0.661909,0.27984,0.674411,0.349079,0.681757,0.415102,0.658661,0.418293,0.675089,0.272149,0.689432,0.338652,0.696966,0.403261,0.675667,0.404724,
