Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,-668.191,4646.43,-65.5401,-692.732,4702.31,-106.943,-732.193,4789.79,-189.984,-692.015,4633.12,-542.153,-642.458,4439.32,-892.849,-924.103,4513.23,-16.0699,-895.475,4568.44,-55.7143,-843.449,4651.27,-136.57,-822.513,4453.43,-469.138,-812.252,4389.18,-867.599,-514.466,4380.54,-846.934,-538.448,4430.83,-812.872,-525.15,4423.61,-811.033,-513.143,4416.62,-817.311,-498.697,4407.17,-842.448,-551.187,4419.16,-803.016,-538.876,4412.83,-795.772,-516.442,4400.33,-805.154,-505.336,4392.95,-837.681,-560.886,4403.83,-794.175,-548.347,4397.32,-786.647,-524.819,4385.24,-795.89,-511.449,4378.55,-830.412,-562.575,4386.42,-789.666,-548.584,4379.09,-785.231,-529.331,4369.3,-797.026,-519.489,4364.79,-832.317,-544.175,4377.05,-802.871,-552.641,4369.19,-830.884,-557.009,4369.69,-860.865,-543.435,4368.67,-897.009,-528.693,4385.31,-914.653,-536.823,4436.43,-1153.61,-611.663,4321.53,-1390.46,-718.832,4283.06,-1404.49,-904.08,4295.02,-794.133,-909.942,4343.55,-761.168,-915.482,4332.17,-752.678,-922.71,4319.44,-756.959,-930.114,4309.69,-784.883,-889.872,4341.74,-747.645,-895.576,4329.99,-739.07,-908.867,4308.11,-748.673,-916.076,4301.55,-782.449,-870.948,4335.45,-736.709,-877.622,4322.26,-730.558,-891.756,4300.99,-742.062,-901.818,4293.22,-777.47,-857.01,4325.78,-741.515,-864.365,4311.88,-736.82,-877.103,4293.82,-747.638,-888.368,4285.62,-781.823,-866.007,4312.85,-759.521,-862.673,4308.21,-789.004,-866.691,4307.79,-818.763,-885.229,4295.76,-850.094,-910.041,4300.54,-863.016,-965.77,4335.57,-1098.49,-902.569,4264.44,-1355.1,-794.643,4257.91,-1393.46,-738.455,4175.69,-1661.98,-753.113,4235.18,-1505.57,-765.094,4279.8,-1435.45,-775.977,4337.48,-1378.46,-767.616,4372.01,-1242.25,-758.045,4384.91,-1148.63,-748.928,4392.79,-1069.86,-748.744,4440.17,-972.582,-734.485,4422.89,-911.01,
20,-668.508,4645.05,-66.1373,-692.878,4701.31,-107.122,-732.143,4789.52,-189.475,-692.087,4631.77,-541.171,-643.131,4442.69,-894.522,-923.986,4513.4,-15.7284,-895.165,4568.24,-55.7325,-842.919,4650.37,-137.161,-823.858,4452.35,-469.738,-812.904,4392.68,-868.891,-514.646,4380.14,-847.299,-536.003,4431.95,-814.444,-523.049,4424.34,-811.868,-511.323,4416.69,-817.898,-497.954,4406.28,-843.251,-549.825,4420.45,-803.901,-537.725,4413.83,-796.555,-515.727,4400.48,-805.798,-505.007,4392.33,-838.27,-561.165,4404.23,-794.741,-548.761,4397.36,-787.311,-525.384,4384.93,-796.472,-511.513,4378.21,-830.792,-563.633,4386.98,-790.218,-549.839,4379.28,-785.794,-530.617,4369.2,-797.395,-520.025,4364.71,-832.472,-545.104,4377.75,-802.819,-553.754,4370.04,-830.82,-558.085,4370.48,-860.808,-544.545,4368.75,-896.938,-529.456,4384.73,-914.905,-536.518,4435.42,-1153.99,-612.289,4321.82,-1391.17,-719.476,4283.25,-1404.79,-904.458,4295.56,-793.943,-911.379,4344.75,-761.858,-916.791,4333.44,-753.184,-923.745,4320.49,-757.22,-930.772,4309.87,-784.924,-890.642,4342.79,-748.389,-896.132,4331.11,-739.586,-909.263,4308.94,-748.753,-916.694,4301.84,-782.369,-870.458,4336.11,-737.732,-876.89,4322.94,-731.289,-891.309,4301.55,-742.226,-902.433,4293.58,-777.27,-855.999,4326.41,-741.973,-863.28,4312.48,-737.265,-876.374,4294.48,-747.768,-888.844,4286.17,-781.503,-865.62,4314.46,-759.376,-861.662,4309.47,-788.725,-865.831,4309.06,-818.463,-884.765,4297.13,-849.596,-909.424,4301.83,-862.841,-965.616,4335.77,-1098.36,-902.985,4264.21,-1354.99,-795.071,4257.63,-1393.38,-739.438,4176.13,-1662.69,-753.79,4234.96,-1506,-765.83,4279.44,-1435.8,-777.008,4337.5,-1379.25,-768.719,4373.53,-1243.44,-759.047,4387.22,-1149.93,-749.844,4395.62,-1071.23,-749.526,4443.34,-974.112,-735.187,4426.23,-912.508,
40,-669.968,4644.87,-66.2247,-693.929,4701.56,-106.862,-732.637,4790.55,-188.645,-693.215,4629.8,-539.058,-643.861,4447.88,-896.093,-926.543,4515,-15.743,-896.647,4569.22,-55.7982,-842.664,4650.02,-137.428,-824.264,4451.84,-469.947,-814,4399.32,-870.122,-514.22,4380.36,-847.574,-535.473,4432.27,-815.938,-522.387,4425.16,-812.674,-510.557,4417.56,-818.568,-498.13,4406.98,-844.326,-549.559,4420.33,-804.379,-537.179,4414.21,-797.07,-514.966,4401.31,-806.437,-504.652,4392.91,-838.977,-561.507,4402.7,-794.649,-548.694,4396.26,-787.53,-524.881,4384.86,-796.909,-510.549,4378.72,-831.147,-563.855,4385.46,-790.039,-549.702,4378.27,-785.894,-530.067,4369.06,-797.522,-518.739,4364.98,-832.417,-544.764,4377.64,-802.164,-553.59,4369.28,-829.921,-558.298,4369.35,-859.855,-545.253,4367.57,-896.164,-531.14,4383.72,-914.756,-536.157,4434.59,-1153.85,-612.72,4320.59,-1390.59,-720.004,4282.22,-1404.01,-905.151,4295.19,-793.859,-914.723,4344.15,-762.012,-919.929,4332.68,-753.435,-926.282,4319.45,-757.569,-932.209,4308.38,-785.357,-893.601,4342.21,-748.15,-898.806,4330.34,-739.431,-911.15,4307.82,-748.818,-918.002,4300.68,-782.55,-872.375,4335.44,-737.504,-878.423,4322.06,-731.129,-892.44,4300.46,-742.165,-903.7,4292.65,-777.202,-856.944,4326.06,-741.014,-863.991,4311.88,-736.742,-876.884,4293.9,-747.531,-889.742,4285.8,-781.17,-866.753,4315.63,-758.196,-861.077,4310.76,-787.282,-864.915,4310.96,-817.067,-883.419,4299.43,-848.607,-907.689,4303.91,-862.623,-965.533,4336.81,-1097.89,-903.908,4265.24,-1354.76,-795.864,4257.42,-1392.55,-740.743,4175.96,-1662.69,-754.599,4234.04,-1505.67,-766.347,4278.52,-1435.42,-777.197,4337.35,-1379.62,-769.237,4375.5,-1244.36,-759.766,4390.36,-1151.02,-750.682,4399.66,-1072.4,-750.165,4448.42,-975.804,-736.009,4431.87,-914.006,
60,-673.918,4646.23,-64.9643,-696.777,4703.39,-105.577,-733.716,4793.21,-187.266,-693.533,4627.85,-535.436,-645.81,4455.35,-897.337,-930.404,4516.83,-16.9437,-899.207,4570.46,-56.8106,-843.051,4649.87,-138.341,-822.974,4451.63,-470.731,-816.791,4409.36,-872.202,-513.818,4380.48,-847.849,-535.164,4432.03,-817.094,-521.935,4425.51,-813.226,-509.955,4418.09,-819.041,-498.403,4407.57,-845.226,-549.359,4419.73,-804.605,-536.702,4414.1,-797.38,-514.259,4401.77,-806.963,-504.336,4393.34,-839.617,-561.624,4400.98,-794.396,-548.385,4395,-787.67,-524.233,4384.62,-797.363,-509.558,4379.02,-831.547,-563.992,4383.64,-789.804,-549.455,4377.01,-786.083,-529.476,4368.72,-797.815,-517.385,4365.04,-832.499,-544.444,4377.44,-801.491,-553.483,4368.34,-828.943,-558.537,4368.27,-858.82,-546.066,4366.6,-895.336,-533.049,4383.07,-914.44,-535.734,4434.52,-1153.45,-612.819,4319.08,-1389.32,-719.844,4279.85,-1402.35,-905.635,4295.74,-793.6,-915.499,4345.31,-763.081,-920.787,4334.09,-754.217,-927.124,4320.76,-758.042,-932.814,4308.98,-785.588,-894.1,4343.02,-748.959,-899.345,4331.37,-739.972,-911.838,4308.75,-748.924,-918.737,4301.13,-782.54,-872.359,4335.85,-738.343,-878.44,4322.64,-731.649,-892.837,4301.03,-742.166,-904.635,4292.91,-776.956,-856.27,4326.17,-741.128,-863.549,4312.1,-736.881,-876.922,4294.33,-747.416,-890.625,4286.03,-780.672,-866.839,4317.44,-757.862,-859.679,4311.6,-786.438,-863.672,4311.91,-816.202,-882.456,4300.7,-847.69,-906.323,4305.58,-862.256,-965.495,4337.88,-1097.28,-904.459,4266.36,-1354.3,-796.202,4256.57,-1391,-741.439,4174.13,-1661.83,-754.792,4231.74,-1504.59,-766.117,4276.46,-1434.43,-776.323,4336.47,-1379.77,-768.91,4377.64,-1245.37,-760.011,4394.3,-1152.28,-751.505,4405.02,-1073.78,-751.288,4455.64,-978.14,-737.963,4440.12,-915.893,
80,-676.78,4647.88,-64.2916,-698.979,4705.3,-104.908,-734.856,4795.57,-186.576,-693.583,4625.76,-532.473,-646.904,4462.25,-898.656,-934.722,4519.04,-18.4658,-901.936,4572.01,-57.9353,-843.225,4649.99,-139.04,-821.487,4452.32,-471.661,-818.806,4419.53,-874.056,-513.584,4380.82,-848.004,-535.793,4431.71,-818.112,-522.385,4425.91,-813.742,-510.158,4418.83,-819.463,-499.103,4408.47,-845.926,-549.817,4419.04,-804.837,-536.881,4414.01,-797.668,-514.092,4402.44,-807.389,-504.331,4394.05,-840.101,-561.862,4399.67,-794.205,-548.209,4394.27,-787.817,-523.739,4384.91,-797.739,-508.769,4379.57,-831.839,-564.174,4382.15,-789.604,-549.244,4376.21,-786.291,-528.943,4368.83,-798.083,-516.103,4365.32,-832.514,-544.365,4377.6,-800.836,-553.44,4367.44,-827.904,-558.72,4367.23,-857.742,-546.759,4365.61,-894.43,-534.957,4382.47,-913.969,-535.082,4435.13,-1152.73,-612.621,4317.58,-1387.4,-719.173,4277.01,-1400.17,-905.693,4296.09,-793.641,-915.998,4345.79,-764.143,-921.197,4334.78,-754.968,-927.467,4321.35,-758.511,-933.046,4309.13,-785.886,-894.489,4343.44,-749.816,-899.625,4331.93,-740.579,-912.079,4309.16,-749.18,-919.006,4301.26,-782.725,-872.611,4336.28,-739.227,-878.579,4323.17,-732.249,-893.007,4301.39,-742.379,-904.985,4292.97,-777.034,-855.849,4326.57,-741.518,-863.173,4312.52,-737.281,-876.712,4294.76,-747.635,-890.894,4286.19,-780.619,-866.944,4319.4,-758.068,-858.324,4312.63,-786.028,-862.671,4313.14,-815.739,-881.562,4302.06,-847.21,-905.175,4307.14,-862.114,-965.707,4338.69,-1096.89,-904.667,4267.79,-1354.09,-796.151,4255.63,-1389.28,-741.025,4172.74,-1660.91,-754.251,4229.37,-1503.31,-765.239,4274.17,-1433.14,-774.695,4335.32,-1379.62,-768.069,4379.42,-1246.11,-759.858,4397.83,-1153.28,-751.907,4409.98,-1074.93,-751.688,4462.55,-980.355,-739.133,4448.11,-917.689,
100,-676.739,4648.53,-64.5067,-698.926,4705.99,-105.07,-734.876,4796.33,-186.624,-694.339,4623,-530.857,-645.744,4466.67,-899.913,-938.156,4521.05,-19.4052,-903.987,4573.34,-58.6111,-843.203,4649.85,-139.584,-821.12,4451.94,-472.042,-818.438,4427.45,-875.027,-513.599,4380.65,-847.91,-535.807,4431.18,-818.475,-522.411,4425.67,-813.729,-510.083,4418.67,-819.347,-499.312,4408.41,-845.961,-549.894,4418.45,-804.788,-536.894,4413.58,-797.622,-514.006,4402.24,-807.38,-504.292,4393.91,-840.121,-561.926,4399.28,-794.058,-548.118,4394.04,-787.88,-523.611,4384.86,-797.885,-508.429,4379.34,-831.861,-564.624,4381.64,-789.591,-549.551,4375.91,-786.559,-529.149,4368.76,-798.317,-515.653,4365.02,-832.472,-544.94,4377.98,-800.312,-554.052,4367.14,-827.102,-559.311,4367.17,-856.944,-547.627,4365.44,-893.717,-536.39,4382.53,-913.393,-534.18,4435.87,-1151.99,-612.648,4316.86,-1385.62,-718.484,4274.35,-1398.02,-905.138,4296.9,-793.655,-915.15,4346.98,-765.568,-920.229,4336.36,-755.881,-926.594,4322.85,-758.937,-932.452,4310.08,-786,-893.593,4344.71,-751.204,-898.619,4333.52,-741.529,-911.246,4310.59,-749.433,-918.459,4302.15,-782.786,-871.917,4337.78,-740.63,-877.806,4324.9,-733.17,-892.341,4302.89,-742.616,-904.494,4293.8,-777.041,-854.774,4328.05,-742.624,-862.141,4314.12,-738.083,-875.856,4296.22,-747.949,-890.424,4286.95,-780.574,-866.298,4321.92,-759.052,-856.735,4313.78,-786.332,-861.655,4314.07,-815.957,-880.815,4302.69,-847.157,-904.359,4307.87,-862.14,-966.347,4339.27,-1096.56,-904.828,4269.32,-1353.9,-796.142,4255.2,-1387.82,-740.547,4172.9,-1660.5,-753.693,4227.87,-1502.3,-764.261,4272.46,-1431.94,-772.692,4334.46,-1379.23,-766.643,4380.7,-1246.42,-758.912,4400.33,-1153.8,-751.195,4413.5,-1075.59,-750.342,4467.54,-981.848,-738.174,4453.89,-918.93,
120,-675.571,4648.46,-65.4238,-697.991,4705.9,-105.873,-734.407,4796.2,-187.266,-695.016,4621.17,-530.765,-643.412,4469.42,-901.324,-939.331,4522.68,-19.5858,-904.52,4574.59,-58.7306,-843.018,4650.22,-139.983,-821.682,4451.8,-472.177,-816.716,4433.66,-875.477,-513.972,4380.57,-847.376,-536.625,4430.66,-818.164,-523.312,4425.26,-813.062,-510.841,4418.37,-818.488,-499.798,4408.36,-845.089,-550.859,4417.77,-804.51,-537.922,4412.93,-797.208,-514.845,4401.8,-806.756,-504.692,4393.76,-839.435,-562.798,4399.15,-794.065,-548.991,4393.94,-787.859,-524.395,4384.76,-797.639,-508.734,4379.05,-831.366,-565.845,4381.49,-789.904,-550.748,4375.84,-786.863,-530.183,4368.71,-798.349,-515.899,4364.72,-832.152,-546.443,4378.32,-799.926,-555.202,4367.05,-826.655,-560.037,4367.51,-856.565,-548.111,4365.86,-893.263,-537.023,4383.27,-912.738,-533.467,4436.38,-1151.37,-612.802,4316.32,-1384.16,-717.959,4272.05,-1396.21,-904.486,4297.74,-793.531,-914.004,4347.87,-766.165,-918.835,4337.53,-756.051,-925.293,4323.98,-758.711,-931.675,4310.98,-785.544,-892.332,4345.71,-752.052,-897.127,4334.74,-742.013,-909.918,4311.71,-749.326,-917.658,4303.02,-782.499,-870.911,4339.12,-741.684,-876.627,4326.39,-733.835,-891.204,4304.17,-742.716,-903.639,4294.66,-776.924,-853.668,4329.61,-743.803,-860.94,4315.73,-738.936,-874.714,4297.64,-748.335,-889.628,4287.77,-780.628,-865.498,4324.05,-760.168,-855.608,4314.87,-786.998,-861.216,4315.01,-816.502,-880.83,4303.43,-847.342,-904.551,4308.64,-862.031,-967.233,4339.09,-1096.39,-905.046,4270.21,-1353.86,-796.191,4254.98,-1386.74,-739.843,4173.53,-1660.34,-753.135,4226.83,-1501.59,-763.394,4271.13,-1430.99,-770.866,4333.74,-1378.86,-765.274,4381.52,-1246.58,-757.845,4402.04,-1154.13,-750.106,4415.96,-1076.05,-748.212,4471.13,-982.987,-736.113,4458.07,-919.93,
140,-672.668,4648.6,-66.296,-695.979,4705.72,-106.698,-733.938,4795.45,-188.021,-695.408,4619.89,-531.354,-640.739,4469.73,-902.118,-938.858,4523.27,-19.4303,-903.977,4575.13,-58.5887,-842.773,4650.49,-140.315,-822.332,4451.41,-472.17,-814.648,4437.58,-875.598,-513.984,4380.63,-847.116,-537.097,4430.39,-818.07,-523.797,4425.13,-812.791,-511.22,4418.35,-818.119,-499.999,4408.51,-844.706,-551.301,4417.37,-804.392,-538.359,4412.62,-797.037,-515.139,4401.71,-806.491,-504.747,4393.82,-839.134,-562.873,4399.4,-794.095,-549.04,4394.28,-787.872,-524.414,4385.07,-797.544,-508.626,4379.03,-831.154,-565.991,4381.89,-790.164,-550.875,4376.32,-787.062,-530.247,4369.1,-798.375,-515.691,4364.65,-832.005,-547.077,4378.83,-799.659,-555.589,4367.08,-826.262,-560.264,4367.71,-856.195,-548.324,4366.03,-892.887,-537.497,4383.68,-912.298,-532.74,4436.81,-1150.91,-612.792,4316.58,-1383.36,-717.323,4270.76,-1395.06,-904.203,4298.68,-793.417,-912.343,4349.22,-766.803,-917.242,4339.23,-756.388,-924.04,4325.78,-758.728,-931.014,4312.61,-785.33,-890.715,4346.82,-752.872,-895.604,4336.17,-742.537,-908.956,4313.3,-749.325,-917.15,4304.37,-782.325,-869.734,4340.21,-742.507,-875.632,4327.76,-734.352,-890.62,4305.63,-742.757,-903.269,4295.76,-776.785,-852.846,4330.69,-744.735,-860.323,4317.04,-739.537,-874.372,4298.93,-748.496,-889.451,4288.52,-780.54,-864.809,4325.33,-761.106,-854.967,4314.93,-787.505,-860.806,4314.74,-816.964,-880.934,4303.24,-847.503,-904.67,4308.82,-862.031,-967.965,4338.31,-1096.35,-904.965,4270.37,-1353.87,-795.92,4255.15,-1386.12,-739.072,4174.82,-1660.52,-752.454,4226.62,-1501.28,-762.496,4270.56,-1430.43,-769.27,4333.5,-1378.6,-763.916,4382.15,-1246.63,-756.599,4403.1,-1154.26,-748.746,4417.34,-1076.25,-745.706,4473.01,-983.518,-733.698,4460.11,-920.411,
160,-670.3,4648.79,-66.7922,-694.3,4705.56,-107.289,-733.426,4794.65,-188.762,-695.041,4619.3,-532.216,-638.598,4468.9,-902.622,-938.369,4523.8,-19.4781,-903.443,4575.67,-58.5764,-842.598,4650.98,-140.626,-822.277,4451.03,-471.973,-812.954,4439.88,-875.449,-514.449,4381.13,-846.885,-537.987,4430.58,-817.946,-524.711,4425.44,-812.496,-512.041,4418.76,-817.729,-500.659,4409.08,-844.308,-552.303,4417.45,-804.355,-539.375,4412.78,-796.927,-516.007,4402.07,-806.241,-505.309,4394.34,-838.823,-563.573,4400.03,-794.258,-549.749,4394.98,-787.953,-525.063,4385.75,-797.45,-509.091,4379.47,-830.929,-566.627,4382.74,-790.631,-551.534,4377.23,-787.316,-530.812,4369.9,-798.379,-516.056,4365.05,-831.866,-548.151,4379.53,-799.578,-556.292,4367.48,-826.16,-560.771,4368.14,-856.122,-548.659,4366.54,-892.761,-537.941,4384.38,-912.065,-531.878,4437.23,-1150.71,-612.97,4317.55,-1383.09,-716.84,4270.16,-1394.37,-903.96,4298.62,-793.569,-911.895,4349.24,-766.798,-916.884,4339.19,-756.479,-923.732,4325.78,-758.894,-930.726,4312.66,-785.514,-890.405,4346.76,-752.932,-895.373,4336.11,-742.631,-908.777,4313.29,-749.474,-916.899,4304.37,-782.493,-869.734,4340.32,-742.452,-875.739,4327.87,-734.37,-890.667,4305.74,-742.864,-903.06,4295.69,-776.937,-853.167,4331.15,-744.816,-860.689,4317.52,-739.643,-874.569,4299.28,-748.608,-889.266,4288.4,-780.675,-864.91,4325.64,-761.402,-854.884,4314.69,-787.508,-860.401,4314.35,-817.027,-880.598,4303.12,-847.621,-904.291,4308.79,-862.18,-968.653,4337.48,-1096.31,-904.861,4270.46,-1353.87,-795.717,4255.68,-1385.99,-738.04,4176.08,-1660.75,-751.749,4226.89,-1501.22,-761.719,4270.59,-1430.21,-768.023,4333.67,-1378.5,-763.01,4382.65,-1246.63,-755.831,4403.7,-1154.28,-747.865,4418,-1076.29,-743.76,4473.82,-983.686,-731.771,4460.87,-920.586,
180,-668.461,4649.18,-66.6653,-693.121,4705.53,-107.349,-733.339,4793.87,-189.11,-694.517,4619.11,-532.815,-637.381,4467.39,-902.576,-937.321,4523.18,-19.4082,-902.694,4575.33,-58.396,-842.765,4651.06,-140.725,-821.986,4450.69,-471.787,-812.086,4440.67,-875.279,-514.448,4381.54,-846.904,-537.977,4430.73,-817.807,-524.689,4425.69,-812.284,-511.992,4419.1,-817.558,-500.833,4409.58,-844.289,-552.482,4417.54,-804.236,-539.507,4412.94,-796.85,-516.085,4402.4,-806.225,-505.372,4394.79,-838.831,-563.51,4400.45,-794.243,-549.647,4395.47,-787.966,-524.958,4386.27,-797.487,-509.035,4379.88,-830.968,-566.396,4383.38,-790.952,-551.315,4377.93,-787.476,-530.562,4370.52,-798.431,-515.908,4365.41,-831.924,-548.292,4379.85,-799.531,-556.225,4367.65,-826.11,-560.768,4368.23,-856.064,-548.691,4366.86,-892.724,-538.144,4384.82,-912.009,-531.579,4437.4,-1150.7,-613.131,4318.88,-1383.51,-716.45,4270.16,-1394.2,-904.229,4298.04,-793.849,-911.586,4348.95,-766.541,-916.961,4338.7,-756.611,-923.962,4325.43,-759.33,-930.87,4312.45,-786.041,-890.333,4346.04,-752.658,-895.656,4335.33,-742.602,-909.297,4312.76,-749.797,-917.203,4303.94,-782.896,-869.988,4339.41,-741.984,-876.363,4326.96,-734.196,-891.452,4305.08,-743.04,-903.557,4295.04,-777.218,-853.862,4330.35,-744.396,-861.673,4316.79,-739.468,-875.551,4298.66,-748.653,-889.833,4287.56,-780.83,-865.311,4324.76,-761.362,-855.107,4313.28,-787.169,-859.973,4312.87,-816.802,-880.208,4302.36,-847.625,-903.651,4308.44,-862.424,-968.858,4336.51,-1096.39,-904.771,4269.84,-1353.97,-795.499,4256.4,-1386.25,-737.388,4177.25,-1661.12,-751.237,4227.52,-1501.43,-761.118,4271.07,-1430.31,-767.128,4334.12,-1378.54,-762.346,4382.94,-1246.6,-755.288,4403.83,-1154.2,-747.304,4417.99,-1076.19,-742.529,4473.71,-983.561,-730.666,4460.59,-920.472,
