Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.382045,0.515435,0.376481,0.524915,0.366643,0.538566,0.377175,0.435729,0.39084,0.314413,0.311393,0.498903,0.318592,0.505706,0.332579,0.513157,0.335139,0.409171,0.334445,0.312012,0.428134,0.310737,0.422141,0.329142,0.425874,0.327794,0.429361,0.32475,0.433892,0.316996,0.417642,0.329028,0.421011,0.329069,0.427462,0.324057,0.431188,0.315212,0.414008,0.327877,0.417433,0.327945,0.424192,0.323076,0.428616,0.31396,0.412834,0.325246,0.416695,0.324474,0.422276,0.319634,0.425712,0.31086,0.418243,0.320167,0.415903,0.312523,0.415101,0.305967,0.419853,0.29732,0.425384,0.296412,0.430303,0.245932,0.403821,0.152387,0.3633,0.140071,0.30583,0.310415,0.304199,0.327971,0.302679,0.327509,0.300393,0.324002,0.29753,0.315879,0.310892,0.330225,0.309293,0.329697,0.305058,0.32324,0.302168,0.314537,0.317093,0.330957,0.315132,0.329623,0.310612,0.322943,0.306869,0.313731,0.321429,0.327664,0.319217,0.325905,0.315138,0.320044,0.311093,0.311034,0.318377,0.3212,0.319017,0.313688,0.317303,0.306963,0.310881,0.297552,0.302521,0.295804,0.276581,0.243001,0.294113,0.151372,0.334616,0.138687,0.353515,0.0297548,0.349312,0.0968209,0.345631,0.128375,0.342403,0.15759,0.346888,0.207773,0.351035,0.237909,0.354666,0.261247,0.355636,0.296677,0.360337,0.307867,0.367229,0.0822633,0.354802,0.0704596,0.373965,0.0732691,0.324874,0.0726442,0.381669,0.0810236,0.321007,0.530548,0.335157,0.529302,0.373486,0.555791,0.358174,0.553431,0.309779,0.513408,0.323475,0.512482,0.38334,0.532882,0.368879,0.530701,0.303495,0.503368,0.316932,0.502617,0.388829,0.520393,0.374832,0.518306,0.294113,0.151372,0.276581,0.243001,0.302521,0.295804,0.403821,0.152387,0.430303,0.245932,0.425384,0.296412,0.334445,0.312012,0.335139,0.409171,0.332579,0.513157,0.318592,0.505706,0.39084,0.314413,0.377175,0.435729,0.366643,0.538566,0.376481,0.524915,
20,0.381935,0.515016,0.376422,0.524632,0.366653,0.538562,0.37712,0.435566,0.390728,0.314763,0.31143,0.498986,0.318679,0.505643,0.332726,0.512814,0.334728,0.408849,0.33423,0.312472,0.428072,0.310578,0.422961,0.328995,0.426557,0.327732,0.429927,0.324607,0.434097,0.316621,0.418119,0.329086,0.421411,0.329092,0.427695,0.323938,0.431275,0.31495,0.413947,0.327842,0.417321,0.327816,0.424023,0.322895,0.428591,0.313809,0.412543,0.325259,0.416337,0.32441,0.421898,0.319553,0.425553,0.310818,0.417989,0.320334,0.415596,0.312726,0.414799,0.306154,0.419514,0.297367,0.42513,0.296243,0.430369,0.24562,0.403614,0.152198,0.363063,0.139993,0.305709,0.310572,0.303712,0.328098,0.302238,0.327689,0.300047,0.32418,0.297315,0.315916,0.310628,0.330297,0.309101,0.329829,0.304925,0.323401,0.301969,0.314622,0.317231,0.330866,0.315348,0.329595,0.310746,0.323017,0.306675,0.313858,0.321738,0.32768,0.319548,0.325916,0.315361,0.320141,0.310945,0.311222,0.318497,0.32156,0.319339,0.313995,0.317579,0.307281,0.311032,0.29794,0.302715,0.296101,0.276637,0.243077,0.293959,0.151363,0.334454,0.138662,0.353128,0.029494,0.349046,0.09662,0.345343,0.128185,0.341998,0.157316,0.346486,0.20771,0.350695,0.23801,0.354378,0.261474,0.355404,0.296995,0.360151,0.308244,0.367741,0.0819637,0.355188,0.0701819,0.374239,0.0729682,0.3249,0.0724523,0.381329,0.0807706,0.32126,0.530292,0.335409,0.52899,0.373608,0.555653,0.358281,0.553381,0.309911,0.5134,0.323608,0.512416,0.383332,0.532522,0.368856,0.530423,0.303555,0.503496,0.316994,0.502686,0.38875,0.519917,0.374738,0.517908,0.293959,0.151363,0.276637,0.243077,0.302715,0.296101,0.403614,0.152198,0.430369,0.24562,0.42513,0.296243,0.33423,0.312472,0.334728,0.408849,0.332726,0.512814,0.318679,0.505643,0.390728,0.314763,0.37712,0.435566,0.366653,0.538562,0.376422,0.524632,
40,0.381534,0.515014,0.376128,0.524776,0.366519,0.538998,0.376714,0.435491,0.390646,0.315538,0.310722,0.499453,0.318261,0.50593,0.332796,0.512673,0.334603,0.408703,0.333878,0.313636,0.428215,0.310555,0.423165,0.328725,0.426807,0.327718,0.430208,0.324631,0.434098,0.31653,0.418204,0.328952,0.421599,0.329051,0.42797,0.323959,0.431421,0.314907,0.413789,0.327545,0.417306,0.327538,0.424179,0.322779,0.428907,0.31382,0.412423,0.324986,0.416344,0.324179,0.422058,0.319488,0.425946,0.310866,0.418075,0.32045,0.415604,0.312768,0.414679,0.306142,0.419239,0.297316,0.424565,0.296093,0.430451,0.245486,0.403403,0.152175,0.362847,0.140078,0.305492,0.310526,0.302635,0.327991,0.301233,0.327523,0.299237,0.323924,0.296858,0.315531,0.309691,0.330276,0.30826,0.329744,0.304335,0.323182,0.301558,0.31436,0.316632,0.330806,0.314873,0.329469,0.310399,0.322822,0.306281,0.3137,0.321455,0.327831,0.319335,0.325915,0.315207,0.320082,0.31067,0.311232,0.318155,0.322078,0.319542,0.314574,0.317888,0.307974,0.311473,0.29862,0.303271,0.296556,0.276661,0.243418,0.293594,0.151606,0.334163,0.138896,0.352608,0.0294307,0.348726,0.096583,0.345138,0.128156,0.34192,0.157164,0.346307,0.20781,0.350467,0.238342,0.354132,0.262005,0.355244,0.297697,0.359957,0.309127,0.36767,0.0816979,0.355049,0.0699723,0.374057,0.0727344,0.324646,0.0724158,0.380927,0.0806653,0.321484,0.530318,0.335557,0.528869,0.373652,0.555933,0.358283,0.553833,0.309567,0.513801,0.32321,0.512675,0.383124,0.53256,0.36861,0.530619,0.30289,0.504054,0.316287,0.503106,0.388405,0.519824,0.374356,0.517968,0.293594,0.151606,0.276661,0.243418,0.303271,0.296556,0.403403,0.152175,0.430451,0.245486,0.424565,0.296093,0.333878,0.313636,0.334603,0.408703,0.332796,0.512673,0.318261,0.50593,0.390646,0.315538,0.376714,0.435491,0.366519,0.538998,0.376128,0.524776,
60,0.380476,0.515677,0.37535,0.525553,0.366233,0.540007,0.376558,0.435674,0.390223,0.316913,0.309637,0.499856,0.317527,0.506185,0.332675,0.512514,0.334981,0.408479,0.332961,0.315378,0.428347,0.310513,0.423272,0.328414,0.42697,0.327664,0.430422,0.324629,0.434061,0.316455,0.418247,0.328773,0.421745,0.328953,0.428211,0.323929,0.431548,0.314849,0.413691,0.327241,0.417357,0.327239,0.424371,0.322621,0.429224,0.313779,0.412317,0.324663,0.416377,0.323876,0.422226,0.319346,0.426353,0.310842,0.418152,0.320551,0.415587,0.312791,0.414551,0.30616,0.418938,0.297322,0.423942,0.296058,0.430583,0.24558,0.403292,0.152332,0.362866,0.140244,0.305338,0.310701,0.302353,0.328013,0.300928,0.327663,0.298944,0.324108,0.296652,0.315613,0.309512,0.33028,0.308072,0.329853,0.304108,0.323363,0.301318,0.314467,0.316623,0.33071,0.314857,0.329479,0.310271,0.322945,0.305987,0.313822,0.321665,0.327819,0.31947,0.325924,0.315196,0.320194,0.310398,0.311401,0.318128,0.322526,0.319995,0.314914,0.318296,0.308349,0.311793,0.299079,0.303712,0.296968,0.276672,0.243808,0.293377,0.151946,0.33405,0.139269,0.352311,0.0295317,0.348632,0.096625,0.345214,0.128167,0.34225,0.156964,0.346443,0.207921,0.350417,0.238787,0.353906,0.262761,0.354942,0.298721,0.359419,0.310512,0.367633,0.0815749,0.35498,0.0699144,0.373949,0.0726389,0.324574,0.072508,0.380726,0.0806472,0.321496,0.530326,0.335468,0.528728,0.373507,0.556799,0.358046,0.554939,0.308902,0.514172,0.322473,0.512903,0.382428,0.533218,0.367831,0.531495,0.301844,0.504548,0.315183,0.503462,0.387407,0.520381,0.373282,0.518731,0.293377,0.151946,0.276672,0.243808,0.303712,0.296968,0.403292,0.152332,0.430583,0.24558,0.423942,0.296058,0.332961,0.315378,0.334981,0.408479,0.332675,0.512514,0.317527,0.506185,0.390223,0.316913,0.376558,0.435674,0.366233,0.540007,0.37535,0.525553,
80,0.379722,0.516294,0.374758,0.526239,0.365924,0.540834,0.376488,0.435693,0.390063,0.318142,0.308416,0.50032,0.316742,0.506508,0.332618,0.512451,0.33542,0.408429,0.332297,0.317207,0.428434,0.310545,0.423087,0.328131,0.42686,0.327643,0.4304,0.324695,0.433904,0.316495,0.418087,0.328583,0.421693,0.328873,0.428297,0.323974,0.431589,0.314887,0.413571,0.327012,0.417386,0.327054,0.424537,0.322591,0.429488,0.313817,0.412209,0.3244,0.416416,0.323663,0.422393,0.319304,0.426747,0.310877,0.41817,0.320725,0.415552,0.312839,0.414442,0.306195,0.418673,0.297339,0.423319,0.296069,0.430817,0.245902,0.40328,0.152708,0.363065,0.140509,0.305316,0.310765,0.302165,0.327891,0.300775,0.327653,0.298819,0.324134,0.296569,0.31558,0.30937,0.330188,0.307969,0.329845,0.304023,0.323396,0.301227,0.314455,0.316528,0.330615,0.314802,0.329463,0.310212,0.322977,0.305874,0.313822,0.321791,0.327811,0.319581,0.325918,0.315256,0.320233,0.310313,0.311449,0.318087,0.322891,0.320428,0.315198,0.31862,0.308693,0.312084,0.299456,0.304079,0.297307,0.276588,0.244083,0.293281,0.152263,0.334084,0.139688,0.35246,0.0297441,0.348821,0.0967452,0.345536,0.128251,0.342871,0.156825,0.34677,0.208043,0.350509,0.239219,0.353824,0.263492,0.354886,0.299704,0.359138,0.311863,0.367785,0.0814273,0.355143,0.0698249,0.374087,0.0725838,0.324788,0.0725681,0.380853,0.080809,0.321672,0.530467,0.335516,0.528602,0.373286,0.557548,0.357765,0.555833,0.308232,0.51466,0.321712,0.513136,0.381887,0.533837,0.367238,0.532245,0.30069,0.505155,0.313957,0.503821,0.386692,0.520935,0.372517,0.519409,0.293281,0.152263,0.276588,0.244083,0.304079,0.297307,0.40328,0.152708,0.430817,0.245902,0.423319,0.296069,0.332297,0.317207,0.33542,0.408429,0.332618,0.512451,0.316742,0.506508,0.390063,0.318142,0.376488,0.435693,0.365924,0.540834,0.374758,0.526239,
100,0.379747,0.516425,0.374786,0.526396,0.36593,0.541048,0.376187,0.435311,0.390576,0.318806,0.307445,0.500789,0.316153,0.506814,0.332619,0.512332,0.335525,0.408263,0.332436,0.318726,0.428421,0.31053,0.42307,0.32794,0.426842,0.327594,0.430414,0.324686,0.433838,0.316477,0.418041,0.328469,0.421672,0.328793,0.428314,0.323932,0.431596,0.314852,0.413536,0.326963,0.417406,0.32699,0.424576,0.322547,0.429581,0.313759,0.412057,0.324304,0.416319,0.323549,0.422334,0.319242,0.426869,0.310821,0.418002,0.320925,0.415343,0.312963,0.414247,0.30637,0.418387,0.29748,0.422866,0.296233,0.431143,0.246254,0.403217,0.153169,0.363275,0.140793,0.305487,0.310921,0.302401,0.327816,0.301052,0.327772,0.299075,0.324343,0.296747,0.315744,0.309625,0.33014,0.308261,0.329957,0.304271,0.323625,0.301393,0.314618,0.316722,0.330616,0.315024,0.329615,0.310409,0.323224,0.306024,0.313984,0.322112,0.327864,0.319889,0.326061,0.315513,0.32045,0.310458,0.311607,0.31827,0.323189,0.320924,0.315345,0.31894,0.308821,0.312324,0.299588,0.30434,0.297439,0.276351,0.244299,0.293202,0.152588,0.334103,0.140108,0.352654,0.0299427,0.349023,0.0968936,0.345901,0.128401,0.34364,0.156822,0.347314,0.2082,0.350878,0.23958,0.354118,0.26405,0.355417,0.300423,0.359544,0.312833,0.367774,0.081091,0.355165,0.069562,0.374128,0.0724023,0.32492,0.0725482,0.381037,0.0810282,0.322025,0.530581,0.335762,0.528363,0.373411,0.557714,0.357878,0.556091,0.307807,0.515168,0.321214,0.513303,0.381968,0.533951,0.367308,0.532446,0.299809,0.505804,0.313022,0.50414,0.386749,0.521025,0.372563,0.519584,0.293202,0.152588,0.276351,0.244299,0.30434,0.297439,0.403217,0.153169,0.431143,0.246254,0.422866,0.296233,0.332436,0.318726,0.335525,0.408263,0.332619,0.512332,0.316153,0.506814,0.390576,0.318806,0.376187,0.435311,0.36593,0.541048,0.374786,0.526396,
120,0.380069,0.516235,0.375052,0.526223,0.36607,0.540897,0.375938,0.434878,0.391432,0.319045,0.307109,0.501196,0.315997,0.507127,0.33267,0.512365,0.335355,0.408219,0.333033,0.319976,0.428294,0.310639,0.422793,0.327909,0.426538,0.327668,0.430154,0.324823,0.433669,0.316669,0.417718,0.328402,0.42133,0.328764,0.428032,0.32399,0.431454,0.31498,0.413268,0.326949,0.417141,0.326989,0.424334,0.322592,0.429468,0.313815,0.41169,0.324225,0.415965,0.323486,0.422026,0.31924,0.426777,0.310833,0.417559,0.321101,0.414986,0.313059,0.414031,0.306535,0.418246,0.297675,0.422686,0.296545,0.431395,0.246527,0.403119,0.15355,0.363428,0.141021,0.305691,0.311112,0.302752,0.327855,0.301487,0.327961,0.299486,0.324611,0.296998,0.316022,0.310008,0.330146,0.308719,0.330085,0.304685,0.32386,0.301647,0.314851,0.31702,0.330654,0.315379,0.329765,0.310757,0.32345,0.306291,0.314172,0.322442,0.327917,0.320249,0.326193,0.315859,0.320639,0.310704,0.311751,0.318501,0.323376,0.321271,0.315405,0.31907,0.308886,0.312312,0.299696,0.304273,0.297625,0.276033,0.244314,0.293105,0.152753,0.334095,0.14043,0.352942,0.0301039,0.349228,0.0970063,0.346225,0.128523,0.34434,0.156834,0.347833,0.208314,0.351284,0.239832,0.354533,0.264435,0.356208,0.300911,0.360303,0.313494,0.367781,0.0807432,0.355217,0.0692696,0.374206,0.0722165,0.325073,0.0724586,0.381258,0.0812512,0.322485,0.530816,0.336193,0.528209,0.373644,0.557538,0.35812,0.555956,0.307829,0.515677,0.321224,0.513437,0.382272,0.533756,0.367619,0.532291,0.299564,0.506396,0.312775,0.504366,0.387091,0.520814,0.372912,0.519412,0.293105,0.152753,0.276033,0.244314,0.304273,0.297625,0.403119,0.15355,0.431395,0.246527,0.422686,0.296545,0.333033,0.319976,0.335355,0.408219,0.33267,0.512365,0.315997,0.507127,0.391432,0.319045,0.375938,0.434878,0.36607,0.540897,0.375052,0.526223,
140,0.380869,0.516039,0.375622,0.525977,0.366201,0.540548,0.375792,0.434455,0.392328,0.318883,0.307238,0.501345,0.316151,0.507262,0.33274,0.512377,0.335159,0.408147,0.333747,0.320791,0.428287,0.31071,0.422637,0.32788,0.42638,0.327708,0.43003,0.324907,0.433606,0.316788,0.417567,0.328349,0.421183,0.328742,0.427935,0.324033,0.431433,0.315061,0.413254,0.326997,0.417138,0.327058,0.424338,0.322676,0.429495,0.313855,0.411664,0.324253,0.415947,0.323544,0.422022,0.319315,0.426833,0.310849,0.417382,0.321275,0.414865,0.313159,0.413963,0.306662,0.41818,0.297798,0.422546,0.296736,0.431653,0.24674,0.40312,0.153856,0.363641,0.141198,0.305777,0.311325,0.303266,0.327976,0.301978,0.328221,0.29987,0.324967,0.297199,0.3164,0.310505,0.330177,0.309186,0.330249,0.304978,0.324177,0.301802,0.315161,0.317377,0.330687,0.315679,0.329924,0.310932,0.323733,0.306403,0.314423,0.322687,0.327928,0.320432,0.326325,0.315959,0.320864,0.310757,0.31192,0.318702,0.323427,0.321467,0.315295,0.319196,0.30872,0.312277,0.299621,0.304232,0.297664,0.275781,0.244171,0.293134,0.152778,0.334205,0.140668,0.353264,0.0302142,0.349488,0.0970996,0.346565,0.128637,0.344955,0.156895,0.348346,0.208425,0.351748,0.240006,0.355032,0.264661,0.357109,0.301164,0.361152,0.313795,0.368024,0.0804384,0.355474,0.0690097,0.374468,0.0720454,0.32534,0.0723757,0.38153,0.0814308,0.322978,0.530982,0.336711,0.527983,0.373811,0.557253,0.358345,0.555588,0.308159,0.515985,0.321584,0.513367,0.382844,0.533554,0.368241,0.532019,0.299781,0.506718,0.313024,0.504318,0.387884,0.520655,0.373751,0.519189,0.293134,0.152778,0.275781,0.244171,0.304232,0.297664,0.40312,0.153856,0.431653,0.24674,0.422546,0.296736,0.333747,0.320791,0.335159,0.408147,0.33274,0.512377,0.316151,0.507262,0.392328,0.318883,0.375792,0.434455,0.366201,0.540548,0.375622,0.525977,
160,0.381522,0.51593,0.376098,0.525784,0.366345,0.540188,0.375899,0.43413,0.393014,0.318546,0.307369,0.501449,0.316299,0.50738,0.332789,0.512451,0.335176,0.408096,0.334331,0.321314,0.428162,0.310869,0.42237,0.327963,0.426109,0.327853,0.429791,0.325092,0.433422,0.317007,0.417264,0.328391,0.42088,0.328816,0.427683,0.324176,0.431279,0.315244,0.413067,0.327103,0.416952,0.327197,0.424168,0.322846,0.429369,0.314001,0.411509,0.324338,0.415786,0.323687,0.421884,0.319484,0.426737,0.310965,0.417084,0.321452,0.414665,0.313271,0.413822,0.306773,0.418094,0.297936,0.422431,0.296939,0.431963,0.246877,0.403087,0.154111,0.363809,0.141335,0.305852,0.311277,0.303411,0.327974,0.302092,0.328187,0.299966,0.324926,0.297287,0.316365,0.310604,0.330146,0.309258,0.330214,0.305032,0.324139,0.301879,0.315119,0.317377,0.330722,0.315645,0.329945,0.310915,0.323733,0.306467,0.314374,0.322585,0.328011,0.320315,0.326406,0.315895,0.320914,0.310814,0.311864,0.318665,0.32343,0.321493,0.315245,0.319325,0.308619,0.312384,0.299564,0.304354,0.297619,0.275547,0.244017,0.293172,0.152794,0.334285,0.1408,0.35369,0.030308,0.349762,0.0971751,0.346863,0.128728,0.345438,0.156972,0.34869,0.208522,0.352034,0.240121,0.355352,0.264783,0.357802,0.301277,0.361818,0.313894,0.368241,0.0802727,0.355726,0.0688549,0.374735,0.0719806,0.325619,0.0722933,0.381851,0.0816134,0.323448,0.531184,0.337199,0.527788,0.373944,0.556979,0.358526,0.555228,0.308485,0.516267,0.321933,0.513266,0.383304,0.533415,0.368744,0.531806,0.300002,0.506989,0.313271,0.504217,0.388521,0.520589,0.374428,0.519055,0.293172,0.152794,0.275547,0.244017,0.304354,0.297619,0.403087,0.154111,0.431963,0.246877,0.422431,0.296939,0.334331,0.321314,0.335176,0.408096,0.332789,0.512451,0.316299,0.50738,0.393014,0.318546,0.375899,0.43413,0.366345,0.540188,0.376098,0.525784,
180,0.382031,0.515978,0.376431,0.525722,0.366359,0.53991,0.376061,0.433954,0.393371,0.318203,0.307663,0.501272,0.316514,0.507293,0.33274,0.512466,0.335263,0.408045,0.33463,0.321518,0.428179,0.310949,0.422375,0.328025,0.426122,0.327954,0.429816,0.3252,0.433389,0.317117,0.417211,0.328439,0.420844,0.328868,0.427673,0.324248,0.431278,0.315337,0.4131,0.327193,0.417,0.327295,0.42422,0.322945,0.429403,0.314075,0.411604,0.324396,0.415879,0.323794,0.421982,0.319596,0.426797,0.311024,0.417052,0.32153,0.41469,0.313316,0.413825,0.306803,0.418095,0.298009,0.422385,0.297044,0.432073,0.246911,0.403082,0.154198,0.363953,0.141394,0.305765,0.311098,0.303519,0.327962,0.302069,0.328056,0.299886,0.324759,0.297231,0.316206,0.310636,0.330051,0.309174,0.330059,0.304865,0.323966,0.301777,0.314945,0.317307,0.330636,0.315454,0.329803,0.310669,0.32357,0.306309,0.314185,0.322373,0.327946,0.320011,0.326309,0.315589,0.320792,0.310637,0.311666,0.318541,0.323261,0.321429,0.315033,0.319469,0.308361,0.312514,0.299404,0.304562,0.297481,0.27549,0.243796,0.293214,0.152653,0.334367,0.140837,0.353964,0.0303238,0.349964,0.0972037,0.347096,0.128778,0.345786,0.157048,0.348941,0.208588,0.352233,0.240167,0.355551,0.264804,0.358231,0.301268,0.362188,0.313843,0.36842,0.0801648,0.355918,0.0687517,0.37494,0.0719222,0.325816,0.0722354,0.382085,0.0816875,0.323782,0.531269,0.337578,0.527512,0.373915,0.55681,0.358548,0.554956,0.308859,0.516307,0.322347,0.512961,0.383607,0.533421,0.369092,0.531721,0.300375,0.506949,0.313683,0.50384,0.389005,0.520692,0.374954,0.519072,0.293214,0.152653,0.27549,0.243796,0.304562,0.297481,0.403082,0.154198,0.432073,0.246911,0.422385,0.297044,0.33463,0.321518,0.335263,0.408045,0.33274,0.512466,0.316514,0.507293,0.393371,0.318203,0.376061,0.433954,0.366359,0.53991,0.376431,0.525722,
