Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,617.141,4599.2,532.15,665.599,4654.4,508.232,746.87,4741.44,449.185,791.494,4571.58,101.795,816.775,4453.85,-305.908,334.047,4854.83,439.666,409.799,4841.76,432.071,535.474,4809.81,402.853,566.072,4663.65,43.3727,739.414,4591.48,-338.026,895.421,4569.75,-343.179,916.59,4595.77,-335.495,911.182,4608.79,-327.763,898.451,4602.35,-320.356,900.947,4572.1,-330.978,923.279,4629.3,-338.513,910.793,4632.05,-328.543,892.594,4611.49,-321.407,896.08,4577.5,-334.191,915.455,4659.96,-330.903,904.645,4648.48,-326.596,893.178,4622.27,-326.456,890.561,4585.21,-336.234,907.63,4659.36,-332.186,902.837,4643.69,-333.946,896.288,4620.05,-337.093,887.434,4584.45,-342.568,901.049,4625.66,-358.151,907.957,4596.7,-368.553,912.075,4568.88,-382.82,902.79,4530.47,-389.982,913.076,4507.22,-374.859,1001.49,4348.31,-499.205,892.143,4285.92,-748.269,837.868,4377.89,-808.23,643.081,4778.42,-323.232,633.592,4813.21,-260.859,637.181,4807.53,-275.467,640.778,4801.85,-290.071,647.984,4790.47,-319.273,622.784,4810.81,-239.857,626.905,4805.91,-254.75,634.119,4797.32,-280.813,643.396,4786.28,-314.321,614.328,4803.65,-229.751,618.984,4799.59,-244.887,627.148,4792.46,-271.366,638.135,4782.88,-306.913,613.01,4796.1,-236.047,617.686,4792,-251.315,624.73,4785.83,-274.203,635.339,4776.55,-308.514,642.115,4759.71,-271.743,649.947,4750.21,-300.505,657.771,4740.71,-329.264,652.241,4737.98,-368.715,661.277,4756.72,-389.741,715.761,4694.01,-593.782,737.842,4547.44,-830.243,800.722,4442.38,-827.922,866.697,4323.5,-1073.22,836.282,4376.56,-924.953,839.746,4411.07,-852.674,870.873,4448.02,-791.298,864.733,4483.98,-661.954,847.457,4499.27,-574.244,828.961,4508.18,-500.987,832.69,4534.85,-401.251,796.293,4526.73,-348.395,
20,614.375,4595.75,531.449,662.322,4651.52,507.82,742.855,4739.61,449.313,789.706,4571.88,101.179,815.47,4453.88,-306.414,331.733,4854.17,438.552,407.361,4840.19,431.35,532.829,4806.89,402.753,563.263,4662.06,42.7221,737.976,4591.47,-338.346,895.87,4570.12,-342.694,919.13,4595.13,-334.588,914.347,4607.99,-326.207,901.306,4602.03,-318.932,901.438,4572,-330.432,925.64,4628.57,-336.666,913.233,4631.52,-326.657,894.347,4611.42,-320,896.756,4577.63,-333.529,917.862,4658.08,-330.819,906.037,4648.1,-325.548,893.407,4622.44,-324.793,891.494,4585.56,-335.403,909.174,4659.54,-331.069,903.239,4644.19,-332.08,896.156,4620.69,-335.078,888.359,4585.05,-341.759,901.889,4626.69,-357.85,908.24,4597.71,-368.528,911.891,4569.96,-383.051,902.082,4531.7,-390.377,911.574,4507.79,-375.776,1001.52,4348.69,-498.78,891.837,4286.29,-747.694,837.478,4377.85,-808.195,643.76,4776.09,-323.28,636.31,4813.45,-261.55,639.387,4807.13,-276.012,642.473,4800.81,-290.47,648.661,4788.16,-319.378,623.988,4808.53,-239.803,628.01,4803.62,-254.721,635.057,4795.02,-280.825,644.129,4783.95,-314.382,613.683,4797.96,-229.394,618.612,4794.56,-244.607,627.271,4788.59,-271.214,638.943,4780.55,-306.924,612.438,4790.59,-235.681,617.392,4787.16,-251.027,624.869,4782,-274.026,636.153,4774.21,-308.493,643.173,4757.26,-271.736,650.821,4747.81,-300.559,658.461,4738.35,-329.381,652.648,4735.62,-368.791,661.445,4754.36,-389.918,715.803,4693.53,-594.56,736.515,4546.72,-830.996,800.65,4442.42,-828.205,869.674,4326.25,-1074.14,837.206,4377.27,-925.589,839.871,4410.95,-852.889,870.7,4447.9,-791.364,864.27,4484.28,-662.15,846.693,4499.71,-574.525,827.973,4508.6,-501.322,831.445,4535.12,-401.536,794.964,4526.82,-348.765,
40,623.184,4599.49,533.632,670.106,4655.53,508.651,748.761,4743.73,447.798,792.91,4572.41,101.064,818.496,4455.33,-306.808,338.827,4858.36,440.977,414.294,4843.83,433.203,539.246,4809.64,403.427,564.625,4664.46,43.1429,740.802,4593.18,-337.122,897.695,4572.33,-344.147,924.681,4594.73,-335.202,920.737,4607.72,-326.591,906.754,4603.32,-319.984,902.76,4573.6,-331.592,932.623,4627.38,-336.257,920.12,4631.6,-326.841,899.01,4613.49,-321.222,898.781,4579.66,-334.858,926.148,4655.77,-332.644,912.591,4648.71,-326.845,897.041,4624.72,-325.738,894.371,4588.05,-336.906,916.73,4660.25,-332.262,908.376,4646.04,-332.347,899.347,4623.19,-335.202,891.541,4587.87,-343.421,907.682,4628.9,-359.786,912.326,4599.53,-370.282,914.773,4571.49,-384.508,902.87,4533.85,-391.907,909.357,4509.07,-377.124,1003.44,4349.71,-496.649,891.812,4286.05,-744.379,836.868,4376.73,-805.674,646.627,4773,-322.726,640.984,4813.53,-262.148,643.564,4806.45,-276.35,646.151,4799.36,-290.548,651.341,4785.18,-318.938,626.931,4805.58,-239.284,630.917,4800.65,-254.208,637.912,4792.03,-280.319,646.929,4780.93,-313.878,614.705,4790.72,-228.646,619.994,4788.15,-243.9,629.302,4783.61,-270.571,641.87,4777.48,-306.355,613.656,4783.53,-234.886,618.975,4780.93,-250.273,627.019,4777.01,-273.326,639.183,4771.08,-307.863,646.712,4754.33,-271.046,654.315,4744.89,-299.884,661.911,4735.43,-328.721,655.857,4732.43,-368.074,664.129,4751.2,-389.387,716.122,4693,-595.406,731.76,4542.77,-830.074,799.245,4440.64,-826.345,869.583,4325.73,-1072.77,836.218,4375.45,-923.975,838.653,4409.02,-851.216,869.804,4447.34,-790.697,865.064,4486.14,-662.118,848.338,4502.43,-574.482,830.245,4511.51,-501.145,834.037,4537.48,-401.226,797.778,4528.67,-348.385,
60,623.339,4597.66,536.117,668.76,4654.15,509.425,744.765,4742.69,445.756,786.954,4567.83,100.545,819.186,4455.14,-308.091,336.248,4858.09,439.627,411.575,4842.55,432.464,536.239,4806.86,403.238,561.571,4663.6,42.1865,741.096,4593.14,-336.663,894.882,4573.38,-344.38,924.294,4592.76,-331.036,919.785,4605.89,-322.924,904.432,4603.24,-318.957,897.632,4574.25,-331.092,933.055,4624.39,-330.088,919.648,4630.12,-322.997,896.08,4614.42,-321.285,894.864,4580.62,-334.958,927.337,4651.41,-328.934,911.939,4647.74,-324.847,893.515,4625.88,-325.9,891.651,4589.36,-337.676,917.509,4658.75,-329.543,906.549,4646.45,-330.058,895.896,4624.51,-334.125,890.069,4589.4,-344.603,910.156,4629.48,-358.593,914.617,4599.89,-368.519,917.942,4571.54,-381.924,905.44,4534.43,-390.855,906.916,4509.23,-375.448,1003,4350.11,-493.702,890.449,4285.33,-740.72,835.783,4375.28,-803.325,646.332,4766.43,-322.44,642.109,4810.25,-263.381,644.288,4802.37,-277.223,646.474,4794.48,-291.063,650.86,4778.71,-318.737,626.089,4799.28,-239.237,630.149,4794.32,-254.129,637.288,4785.62,-280.177,646.507,4774.42,-313.649,611.936,4779.92,-228.659,617.681,4778.19,-243.867,627.805,4775.12,-270.45,641.494,4770.95,-306.105,611.117,4772.92,-234.841,616.899,4771.18,-250.182,625.652,4768.53,-273.158,638.903,4764.5,-307.568,646.578,4748.06,-270.612,654.368,4738.54,-299.377,662.153,4729.02,-328.14,656.208,4725.67,-367.482,664.218,4744.4,-388.925,715.169,4690.97,-596.491,727.468,4538.63,-829.994,798.736,4439.16,-825.085,872.139,4325.55,-1071.59,836.352,4373.56,-922.802,838.076,4406.64,-849.792,869.587,4445.81,-790.01,866.079,4487.3,-662.234,849.589,4504.62,-574.749,831.591,4513.79,-501.401,834.802,4538.75,-401.205,798.361,4529.01,-348.653,
80,631.579,4597.02,538.447,674.68,4654.32,509.711,746.672,4743.73,442.687,787.924,4566.19,98.7349,822.438,4455.32,-310.213,340.283,4863,439.351,415.117,4845.09,432.558,538.69,4805.81,403.315,560.693,4665.45,40.9077,744.815,4594.2,-335.582,893.491,4575.02,-343.755,924.444,4592.42,-326.684,918.967,4605.65,-319.38,903.044,4604.19,-317.693,894.234,4575.91,-330.207,932.317,4623.29,-324.624,918.558,4630.19,-319.53,893.896,4616.24,-321.034,892.39,4582.36,-334.472,926.484,4648.89,-325.313,910.332,4648.04,-322.933,890.326,4627.83,-326.077,890.045,4591.21,-337.678,916.371,4657.9,-327.165,903.417,4647.77,-328.345,891.88,4626.5,-333.46,889.535,4591.25,-344.765,910.603,4630.66,-356.697,915.857,4601.03,-366.114,920.716,4572.34,-378.272,909.105,4535.13,-387.945,907.029,4510.05,-372.401,1002.77,4350.42,-490.231,887.33,4284.54,-735.62,832.802,4373.51,-799.727,647.633,4760.95,-321.666,645.082,4808.09,-264.481,646.843,4799.39,-277.885,648.611,4790.68,-291.286,652.16,4773.26,-318.081,626.914,4794.82,-238.992,631.052,4789.68,-253.803,638.336,4780.67,-279.702,647.76,4769.05,-312.974,610.726,4771.52,-228.635,616.933,4770.41,-243.719,627.876,4768.42,-270.079,642.682,4765.69,-305.426,610.043,4764.69,-234.72,616.296,4763.58,-249.934,625.762,4761.86,-272.715,640.089,4759.22,-306.828,647.435,4743.21,-269.614,655.427,4733.33,-298.2,663.414,4723.44,-326.784,657.758,4719.61,-366.125,665.969,4738.06,-387.737,715.88,4690.08,-596.881,723.168,4535.27,-828.964,796.415,4437.31,-822.788,870.153,4322.68,-1069.13,833.372,4370.21,-920.431,835.206,4403.35,-847.456,868.028,4443.83,-789.268,867.668,4489.33,-662.816,852.406,4508.25,-575.441,835.199,4517.68,-501.936,838.362,4541.03,-401.349,801.872,4530.18,-349.048,
100,634.989,4594.67,538.894,676.307,4652.67,508.95,745.348,4742.77,439.782,788.882,4565.31,96.0698,821.846,4452.93,-312.593,341.438,4867.14,437.85,415.761,4846.93,431.994,538.465,4804.32,403.767,560.908,4666.29,40.491,745.425,4592.92,-335.396,893.411,4576.38,-343.261,926.008,4592.48,-323.95,919.711,4605.8,-317.503,903.65,4605.11,-317.226,892.95,4577.47,-329.716,932.653,4622.66,-321.817,919.007,4630.52,-317.95,893.791,4617.93,-321.243,891.716,4583.9,-334.222,926.429,4647.14,-323.732,910.192,4648.49,-322.384,889.182,4629.58,-326.777,889.968,4592.77,-337.755,916.071,4656.63,-326.673,901.645,4648.81,-328.24,889.307,4628.13,-333.89,890.105,4592.71,-344.859,910.066,4631.36,-355.829,916.186,4601.78,-364.879,922.239,4572.79,-375.699,911.633,4535.25,-385.27,907.321,4510.52,-369.623,1002.22,4350.57,-487.704,885.299,4283.89,-732.175,830.692,4372.15,-797.189,648.244,4757.14,-321.279,646.978,4807.25,-266.106,648.434,4797.81,-279.037,649.898,4788.36,-291.964,652.838,4769.46,-317.811,626.528,4792.51,-239.494,630.847,4787.1,-254.156,638.455,4777.61,-279.791,648.303,4765.38,-312.717,608.314,4766.1,-229.514,615.064,4765.37,-244.386,626.962,4764.04,-270.371,643.056,4762.19,-305.208,607.75,4759.4,-235.48,614.559,4758.66,-250.476,624.854,4757.51,-272.931,640.419,4755.73,-306.553,646.961,4740.3,-268.97,655.35,4729.86,-297.244,663.731,4719.42,-325.516,658.718,4714.98,-364.881,667.51,4733,-386.634,717.041,4689.69,-596.885,720.506,4533.05,-827.83,794.825,4435.94,-821.08,870.844,4323.37,-1068.07,831.933,4368.56,-919.178,833.289,4400.97,-845.866,866.989,4442.19,-788.711,869.035,4490.33,-663.255,854.394,4510.09,-575.961,837.321,4519.38,-502.406,839.416,4540.77,-401.358,802.229,4528.87,-349.782,
120,638.06,4593.36,539.021,678.337,4651.65,508.253,745.639,4741.87,437.543,790.615,4566.36,93.0171,821.5,4450.33,-314.787,344.128,4873.3,436.599,417.619,4850,431.789,538.908,4802.94,404.531,561.552,4669.11,39.7007,746.688,4591.57,-335.044,893.571,4577.45,-343.031,927.148,4592.52,-321.272,920.057,4605.81,-315.652,904.012,4605.59,-316.672,892.084,4578.66,-329.569,932.797,4621.9,-319.073,919.366,4630.52,-316.204,893.884,4619.11,-321.257,891.411,4585.09,-334.19,926.358,4645.65,-321.686,910.29,4648.65,-321.324,888.679,4630.84,-327.2,890.226,4593.97,-337.892,915.914,4654.85,-325.725,900.56,4649.27,-327.945,887.552,4629.26,-334.426,890.917,4593.86,-344.963,909.075,4631.71,-354.627,916.154,4602.3,-363.52,923.28,4573.18,-373.292,913.725,4535.47,-383.276,907.422,4511,-367.897,1001.36,4349.96,-485.264,882.454,4283.44,-728.82,828.548,4371.53,-794.644,647.92,4755.44,-320.915,647.287,4808.49,-268.145,648.579,4798.33,-280.539,649.88,4788.17,-292.929,652.499,4767.83,-317.7,624.962,4793.07,-240.488,629.505,4787.26,-254.925,637.505,4777.06,-280.164,647.855,4763.91,-312.581,605.249,4764.37,-230.55,612.484,4763.73,-245.197,625.23,4762.57,-270.785,642.458,4760.95,-305.087,604.819,4757.68,-236.327,612.127,4757.04,-251.09,623.161,4756.03,-273.198,639.82,4754.46,-306.304,645.665,4740.11,-268.213,654.512,4728.86,-296.03,663.352,4717.6,-323.846,659.019,4712.07,-363.153,668.281,4729.45,-385.223,717.337,4689.95,-596.332,718.119,4531.68,-826.189,793.853,4435.68,-819.281,871.312,4324.44,-1066.75,830.58,4367.72,-917.778,831.659,4399.4,-844.14,866.52,4440.86,-787.864,871.151,4491.19,-663.339,857.124,4511.72,-576.122,840.129,4520.85,-502.529,841.075,4540.21,-401.055,803.087,4527.37,-350.296,
140,637.839,4593.82,538.585,678.038,4651.85,507.224,745.121,4741.12,435.117,790.025,4566.7,90.0267,820.829,4447.65,-316.913,345.053,4877.94,434.774,417.803,4852.27,430.904,538.016,4802.01,404.608,562.43,4671.52,38.6831,747.818,4590.11,-335.116,893.884,4578.51,-343.491,927.805,4592.9,-319.605,920.196,4606.24,-314.843,904.257,4606.37,-316.951,891.596,4579.93,-330.163,933.016,4621.4,-317.711,919.918,4630.74,-315.683,894.304,4620.39,-322.154,891.443,4586.32,-334.881,926.78,4644.76,-320.982,911.008,4649.04,-321.471,888.99,4632.2,-328.553,890.807,4595.2,-338.739,916.457,4653.38,-326.081,900.619,4649.79,-328.916,886.985,4630.43,-336.058,891.938,4594.97,-345.75,908.269,4631.88,-354.665,916.031,4602.48,-363.018,923.834,4573.19,-371.686,915.038,4535.37,-381.958,906.919,4511.32,-366.767,999.911,4349.65,-484.018,879.754,4283.21,-726.981,826.17,4371.2,-793.206,646.546,4757.2,-321.623,646.424,4813.04,-271.52,647.614,4802.19,-283.33,648.815,4791.34,-295.135,651.234,4769.63,-318.734,622.214,4798.02,-243.18,627.023,4791.63,-257.28,635.478,4780.41,-281.934,646.399,4765.97,-313.602,600.959,4768.2,-233.048,608.711,4767.27,-247.412,622.351,4765.62,-272.508,640.766,4763.35,-306.15,600.601,4761.44,-238.587,608.438,4760.5,-253.061,620.251,4759.07,-274.738,638.059,4756.87,-307.203,642.761,4743.89,-268.497,652.118,4731.48,-295.648,661.476,4719.08,-322.798,658.046,4712.18,-361.978,668.143,4728.61,-384.405,717.424,4690.63,-595.742,717.635,4532.17,-825.462,793.129,4435.99,-818.431,872.032,4325.9,-1066.22,829.405,4367.5,-917.303,830.143,4398.36,-843.314,866.107,4439.51,-787.51,872.923,4491.21,-663.649,859.339,4512.32,-576.499,842.334,4521.33,-502.894,842.368,4539.04,-401.114,803.672,4525.6,-351.048,
160,638.095,4593.3,538.586,678.237,4651.19,506.894,745.101,4739.72,433.681,789.689,4566.81,87.7942,820.496,4445.16,-318.375,345.974,4881.31,433.314,418.192,4854.09,430.058,537.664,4801.88,404.182,563.096,4672.97,37.7698,748.471,4588.28,-335.306,894.483,4579.11,-342.922,928.673,4593.13,-318.201,920.822,4606.41,-313.653,904.934,4606.63,-316.107,891.971,4580.5,-329.63,933.491,4620.8,-316.406,920.718,4630.59,-314.438,894.97,4620.89,-321.362,891.997,4586.92,-334.315,927.28,4644.06,-319.622,911.727,4649.06,-320.231,889.465,4632.77,-327.823,891.562,4595.82,-338.135,916.926,4652.2,-325.094,900.87,4649.86,-328.017,886.831,4630.95,-335.546,892.818,4595.62,-345.125,906.864,4632.13,-353.598,915.256,4602.89,-361.885,923.675,4573.7,-370.35,915.713,4535.87,-381.232,906.967,4511.87,-366.325,998.771,4349.25,-483.215,877.948,4282.66,-725.803,824.819,4370.82,-792.166,644.978,4760.95,-323.062,645.175,4819.44,-275.918,646.336,4807.93,-287.088,647.505,4796.42,-298.252,649.86,4773.39,-320.569,619.164,4805.74,-247.306,624.268,4798.62,-260.946,633.226,4786.13,-284.799,644.779,4770.06,-315.443,596.397,4775.81,-236.749,604.68,4774.29,-250.761,619.232,4771.58,-275.245,638.85,4767.91,-308.075,596.076,4768.91,-241.995,604.451,4767.36,-256.11,617.056,4765.01,-277.255,636.027,4761.45,-308.931,639.231,4750.15,-269.562,649.141,4736.31,-295.812,659.059,4722.49,-322.066,656.717,4713.92,-360.994,667.91,4729.11,-383.775,718.022,4691.2,-594.928,718.297,4532.91,-824.768,792.946,4436.07,-817.697,873.119,4327.48,-1065.92,828.958,4367.42,-916.998,829.367,4397.53,-842.697,866.145,4438.36,-787.184,874.658,4490.81,-663.745,861.378,4512.22,-576.622,844.296,4521.08,-503.017,843.418,4537.6,-401.041,804.128,4523.68,-351.574,
180,636.6,4594.93,539.013,677.449,4652.1,506.913,745.31,4738.93,432.597,787.979,4565.2,86.8806,821.351,4443.46,-319.06,346.593,4883.05,432.748,418.363,4854.63,429.863,537.254,4801.08,404.066,563.798,4675.13,36.7003,749.549,4586.76,-335.334,894.984,4579,-342.173,930.004,4592.97,-318.784,922.379,4606.27,-313.93,906.409,4606.52,-315.776,892.942,4580.39,-328.802,934.513,4619.95,-317.491,922.183,4630.14,-314.867,896.03,4620.81,-320.689,892.766,4586.8,-333.492,928.124,4643.46,-320.349,912.675,4648.8,-320.281,890.036,4632.65,-326.999,892.147,4595.7,-337.304,917.487,4651.51,-325.465,901.263,4649.6,-327.683,886.866,4630.75,-334.669,893.154,4595.49,-344.334,904.998,4631.95,-353.423,913.73,4602.8,-361.691,922.507,4573.77,-370.33,915.061,4535.82,-381.169,906.982,4511.79,-365.932,998.403,4349.04,-482.926,877.116,4282.22,-725.222,823.841,4370.41,-791.435,643.582,4765.1,-325.033,643.931,4826.26,-281.315,645.114,4814.08,-291.751,646.303,4801.9,-302.183,648.693,4777.54,-323.037,616.379,4814.54,-252.727,621.765,4806.56,-265.773,631.204,4792.59,-288.595,643.356,4774.62,-317.924,592.296,4785.27,-241.442,601.062,4782.88,-255.033,616.436,4778.68,-278.793,637.127,4773.01,-310.665,591.993,4778.14,-246.316,600.853,4775.72,-260.007,614.166,4772.07,-280.524,634.172,4766.58,-311.274,635.76,4757.33,-271.254,646.191,4741.87,-296.365,656.637,4726.42,-321.483,655.403,4715.82,-359.962,667.748,4729.49,-383.112,718.503,4691.23,-594.049,718.279,4533.02,-823.941,792.679,4435.98,-817.029,873.4,4328.68,-1065.78,828.379,4367.34,-916.777,828.649,4396.88,-842.247,866.083,4437.41,-786.96,876.025,4490.22,-663.778,863.125,4511.8,-576.64,846.129,4520.58,-503.006,844.793,4536.47,-400.935,805.231,4522.23,-351.776,
