Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.24514,0.407534,0.227603,0.409151,0.196689,0.407994,0.204155,0.332805,0.198794,0.23625,0.220187,0.374803,0.214417,0.37874,0.205142,0.382277,0.208563,0.30902,0.176334,0.231735,0.157589,0.235153,0.148662,0.23902,0.147089,0.241291,0.151245,0.242318,0.157109,0.238479,0.139403,0.240019,0.14163,0.242104,0.14997,0.242221,0.156365,0.237734,0.134113,0.242936,0.138957,0.243051,0.146968,0.241477,0.155279,0.237356,0.13547,0.242273,0.139796,0.240961,0.146149,0.238893,0.155463,0.235648,0.142399,0.23413,0.147247,0.230521,0.152023,0.225863,0.162049,0.222038,0.167129,0.225122,0.182329,0.187679,0.19505,0.11707,0.176146,0.106514,0.150931,0.239269,0.149381,0.253905,0.149031,0.250652,0.148679,0.247382,0.14797,0.240789,0.152865,0.257913,0.152272,0.254679,0.151225,0.248973,0.149863,0.24155,0.156221,0.259461,0.155375,0.256245,0.15388,0.25057,0.151847,0.242855,0.157532,0.257768,0.156684,0.254517,0.155404,0.249605,0.15346,0.242155,0.158566,0.249811,0.157457,0.243422,0.156339,0.23696,0.154946,0.227879,0.148171,0.224198,0.13858,0.175507,0.150189,0.110754,0.164966,0.105208,0.163718,0.0299429,0.167541,0.0751889,0.164341,0.0963255,0.155219,0.114036,0.15787,0.149917,0.163833,0.17302,0.170186,0.191504,0.170944,0.217284,0.182003,0.228504,0.195285,0.0636372,0.183755,0.0556628,0.193538,0.0579602,0.156767,0.0580472,0.184836,0.0648414,0.195316,0.391901,0.20666,0.39593,0.198607,0.423865,0.196485,0.418989,0.207184,0.381836,0.218017,0.385722,0.229194,0.417372,0.226635,0.412738,0.213905,0.37575,0.224454,0.379556,0.24683,0.413172,0.244031,0.40868,0.150189,0.110754,0.13858,0.175507,0.148171,0.224198,0.19505,0.11707,0.182329,0.187679,0.167129,0.225122,0.176334,0.231735,0.208563,0.30902,0.205142,0.382277,0.214417,0.37874,0.198794,0.23625,0.204155,0.332805,0.196689,0.407994,0.227603,0.409151,
20,0.246062,0.407036,0.228514,0.40867,0.197574,0.40757,0.204277,0.33255,0.198931,0.236081,0.220474,0.374417,0.214919,0.378376,0.205991,0.381953,0.209166,0.308668,0.176516,0.231611,0.157469,0.235306,0.14847,0.239317,0.146882,0.241769,0.15097,0.24277,0.157095,0.238628,0.139328,0.24054,0.141499,0.242646,0.149813,0.242634,0.156278,0.237929,0.134156,0.242974,0.138898,0.243349,0.147022,0.241901,0.155113,0.237612,0.135258,0.242619,0.139759,0.241458,0.146178,0.239411,0.155238,0.235908,0.142041,0.234281,0.146965,0.230582,0.15178,0.225847,0.161838,0.221971,0.167156,0.224867,0.182262,0.187813,0.195049,0.117249,0.176217,0.106528,0.151319,0.23919,0.148893,0.253874,0.148758,0.250604,0.148623,0.247319,0.14835,0.240699,0.15317,0.257888,0.15259,0.254643,0.151568,0.248918,0.150239,0.241473,0.157507,0.259296,0.156483,0.256099,0.154676,0.25046,0.152218,0.242791,0.158772,0.257614,0.157744,0.254383,0.156192,0.249502,0.153834,0.242098,0.158928,0.249759,0.157834,0.243348,0.156732,0.236864,0.155382,0.22778,0.148635,0.224068,0.138622,0.175301,0.150507,0.110549,0.164944,0.105138,0.162456,0.0296779,0.16717,0.0750242,0.164332,0.0962595,0.15527,0.114015,0.157857,0.14988,0.163826,0.172961,0.170212,0.191421,0.171047,0.21719,0.182144,0.228376,0.194335,0.0628285,0.182658,0.0550274,0.19262,0.0572154,0.155803,0.0579212,0.184408,0.0644022,0.196225,0.391697,0.207657,0.395572,0.199516,0.423411,0.197511,0.418498,0.207688,0.381564,0.218606,0.385304,0.230085,0.416891,0.227636,0.41222,0.214175,0.375446,0.224806,0.379111,0.247717,0.412684,0.245024,0.408154,0.150507,0.110549,0.138622,0.175301,0.148635,0.224068,0.195049,0.117249,0.182262,0.187813,0.167156,0.224867,0.176516,0.231611,0.209166,0.308668,0.205991,0.381953,0.214919,0.378376,0.198931,0.236081,0.204277,0.33255,0.197574,0.40757,0.228514,0.40867,
40,0.244557,0.408389,0.226906,0.409697,0.195891,0.407972,0.203744,0.332779,0.198155,0.236161,0.219146,0.37549,0.213631,0.379352,0.204785,0.382689,0.208553,0.308917,0.175827,0.232061,0.156548,0.235113,0.147606,0.239368,0.145866,0.241923,0.149705,0.242791,0.156419,0.238464,0.138468,0.240872,0.14032,0.242887,0.148481,0.242614,0.155377,0.237769,0.133147,0.242761,0.137559,0.243326,0.145826,0.241915,0.153955,0.237463,0.133722,0.242666,0.138451,0.241681,0.145063,0.239616,0.153942,0.235743,0.140409,0.234116,0.145724,0.230373,0.150831,0.225649,0.161085,0.221711,0.167095,0.224512,0.181873,0.188474,0.195368,0.118132,0.176777,0.107151,0.151593,0.239293,0.14816,0.253937,0.148273,0.250669,0.148387,0.247386,0.148616,0.240776,0.153401,0.258011,0.152829,0.254759,0.151818,0.249023,0.150504,0.241566,0.158908,0.259225,0.157665,0.256064,0.15547,0.250487,0.152481,0.242903,0.160113,0.257568,0.158863,0.254372,0.156973,0.249545,0.154101,0.242224,0.159091,0.249935,0.158001,0.243512,0.156901,0.237015,0.155647,0.227913,0.14895,0.22414,0.138625,0.175079,0.152231,0.110664,0.165731,0.10556,0.162713,0.0300435,0.1679,0.0753981,0.165126,0.0966348,0.155608,0.114178,0.157285,0.149979,0.162931,0.173117,0.169205,0.19164,0.170138,0.217445,0.181353,0.228639,0.194939,0.062927,0.18321,0.0552237,0.193136,0.0573295,0.156445,0.0583716,0.184938,0.0646175,0.194994,0.39258,0.206492,0.396387,0.197427,0.423926,0.195663,0.418913,0.206375,0.382621,0.217353,0.386296,0.228241,0.418001,0.226016,0.413221,0.212823,0.376576,0.223511,0.380177,0.24604,0.41411,0.24356,0.409469,0.152231,0.110664,0.138625,0.175079,0.14895,0.22414,0.195368,0.118132,0.181873,0.188474,0.167095,0.224512,0.175827,0.232061,0.208553,0.308917,0.204785,0.382689,0.213631,0.379352,0.198155,0.236161,0.203744,0.332779,0.195891,0.407972,0.226906,0.409697,
60,0.245048,0.408826,0.227378,0.409677,0.196471,0.407137,0.205466,0.332062,0.198013,0.235872,0.21938,0.375053,0.214109,0.378971,0.205644,0.382321,0.209021,0.308514,0.175828,0.232176,0.156731,0.234996,0.148465,0.240302,0.146744,0.242712,0.150181,0.242945,0.157121,0.238415,0.139596,0.242296,0.141053,0.243754,0.148734,0.242519,0.155768,0.237635,0.134269,0.24354,0.138053,0.24375,0.146116,0.241784,0.154024,0.237226,0.134159,0.243304,0.138841,0.242188,0.145404,0.239801,0.153727,0.235464,0.139954,0.234531,0.145401,0.230912,0.150507,0.226408,0.160623,0.222083,0.167568,0.224856,0.182078,0.189279,0.196035,0.119099,0.177477,0.107718,0.153036,0.239087,0.148595,0.253588,0.148959,0.250349,0.149325,0.247096,0.150061,0.240548,0.154827,0.257746,0.154258,0.254502,0.153253,0.248782,0.151946,0.241347,0.161516,0.258698,0.160048,0.255598,0.157453,0.250128,0.153919,0.24269,0.162653,0.257071,0.161175,0.253936,0.158938,0.249203,0.155538,0.242022,0.160456,0.249782,0.159366,0.243377,0.158267,0.236898,0.157072,0.227785,0.150416,0.223972,0.139141,0.174721,0.153855,0.11055,0.166259,0.105824,0.162429,0.0302326,0.16843,0.0756134,0.165907,0.096906,0.156071,0.114287,0.156835,0.150007,0.162199,0.173165,0.168451,0.191705,0.169732,0.217529,0.181173,0.228609,0.194828,0.0624595,0.18298,0.0549331,0.193089,0.0569696,0.156388,0.0585836,0.185428,0.064632,0.196039,0.392452,0.207675,0.395968,0.197491,0.423152,0.19604,0.418031,0.206896,0.382418,0.218007,0.385818,0.22841,0.418047,0.22648,0.413148,0.213056,0.376292,0.223874,0.379627,0.246302,0.414618,0.244107,0.40985,0.153855,0.11055,0.139141,0.174721,0.150416,0.223972,0.196035,0.119099,0.182078,0.189279,0.167568,0.224856,0.175828,0.232176,0.209021,0.308514,0.205644,0.382321,0.214109,0.378971,0.198013,0.235872,0.205466,0.332062,0.196471,0.407137,0.227378,0.409677,
80,0.244476,0.410026,0.226714,0.410302,0.195821,0.406735,0.205578,0.331675,0.197374,0.235491,0.218078,0.375445,0.213276,0.379336,0.205577,0.382503,0.208673,0.308268,0.175143,0.232598,0.156614,0.23517,0.148867,0.241375,0.147216,0.243546,0.150281,0.24324,0.157338,0.238573,0.14042,0.243577,0.141494,0.244569,0.148681,0.242572,0.155791,0.237735,0.135299,0.244291,0.138403,0.244168,0.146165,0.241697,0.153847,0.237244,0.134742,0.243807,0.139188,0.24254,0.145644,0.239893,0.153368,0.235485,0.139753,0.23507,0.145118,0.231607,0.150152,0.227456,0.160102,0.222963,0.167591,0.225659,0.182317,0.190224,0.197087,0.120469,0.178639,0.108632,0.154055,0.239088,0.148539,0.253385,0.149167,0.250189,0.149797,0.246981,0.151064,0.240526,0.15565,0.257664,0.155115,0.254432,0.154171,0.248735,0.152941,0.24133,0.163414,0.258335,0.16177,0.255303,0.158863,0.249954,0.1549,0.242677,0.164504,0.256741,0.162848,0.253676,0.16034,0.249046,0.156527,0.242021,0.161421,0.249846,0.160397,0.243471,0.159364,0.237023,0.15823,0.227895,0.151593,0.224036,0.139198,0.174597,0.15537,0.110713,0.167234,0.106371,0.163684,0.0308759,0.169908,0.0761734,0.167341,0.0974242,0.156869,0.114407,0.156045,0.149956,0.160845,0.173192,0.166955,0.191817,0.16866,0.217699,0.180376,0.228683,0.195894,0.0627425,0.184033,0.0552993,0.194251,0.0573228,0.157579,0.0591454,0.186948,0.0651565,0.196165,0.39307,0.20805,0.396131,0.196181,0.422851,0.195238,0.417573,0.206083,0.383088,0.217431,0.386058,0.227329,0.418774,0.225877,0.4137,0.211718,0.376939,0.222766,0.379858,0.245402,0.415925,0.243666,0.410973,0.15537,0.110713,0.139198,0.174597,0.151593,0.224036,0.197087,0.120469,0.182317,0.190224,0.167591,0.225659,0.175143,0.232598,0.208673,0.308268,0.205577,0.382503,0.213276,0.379336,0.197374,0.235491,0.205578,0.331675,0.195821,0.406735,0.226714,0.410302,
100,0.244622,0.410359,0.226823,0.410255,0.195996,0.405988,0.205469,0.331128,0.197833,0.234797,0.217135,0.375385,0.212838,0.379337,0.205916,0.382524,0.208454,0.308225,0.175355,0.232608,0.156348,0.235349,0.148811,0.242122,0.147207,0.244047,0.150005,0.24342,0.157213,0.238712,0.140736,0.244262,0.141467,0.244993,0.148287,0.24259,0.155556,0.237838,0.135848,0.244604,0.138365,0.244317,0.14589,0.241556,0.153489,0.237291,0.13513,0.24386,0.139249,0.242539,0.14565,0.239757,0.15293,0.235547,0.139746,0.235296,0.144983,0.231961,0.15,0.228175,0.159879,0.223723,0.167648,0.226385,0.18257,0.1909,0.197814,0.121385,0.179484,0.109268,0.154796,0.239046,0.148327,0.253074,0.149186,0.249938,0.150049,0.246791,0.151785,0.240461,0.156149,0.257451,0.155656,0.254248,0.154786,0.248602,0.153653,0.241262,0.164801,0.257841,0.163024,0.254891,0.159881,0.249686,0.155595,0.242601,0.165857,0.256283,0.164067,0.253302,0.161356,0.248797,0.157231,0.241957,0.162143,0.249856,0.161206,0.243544,0.160261,0.237157,0.159164,0.228018,0.152527,0.224126,0.139102,0.174592,0.156374,0.110931,0.167937,0.106775,0.163484,0.0311804,0.170638,0.0764706,0.168345,0.0977677,0.157482,0.114488,0.155549,0.149892,0.160056,0.173168,0.166197,0.191818,0.168559,0.217717,0.180569,0.228464,0.196213,0.0624397,0.184242,0.0551938,0.194476,0.0570815,0.157981,0.0595548,0.18739,0.0651777,0.196842,0.393512,0.208967,0.396033,0.195896,0.422139,0.195348,0.416695,0.205728,0.383413,0.217308,0.385871,0.227134,0.418801,0.226056,0.413548,0.210771,0.377162,0.222046,0.379587,0.245308,0.416346,0.243933,0.411209,0.156374,0.110931,0.139102,0.174592,0.152527,0.224126,0.197814,0.121385,0.18257,0.1909,0.167648,0.226385,0.175355,0.232608,0.208454,0.308225,0.205916,0.382524,0.212838,0.379337,0.197833,0.234797,0.205469,0.331128,0.195996,0.405988,0.226823,0.410255,
120,0.244579,0.410632,0.226763,0.41028,0.196,0.405534,0.204813,0.330622,0.19832,0.234147,0.215687,0.375541,0.212066,0.379535,0.206176,0.382662,0.207765,0.3082,0.175498,0.232678,0.156089,0.235458,0.148829,0.242836,0.147295,0.24452,0.149877,0.243592,0.157085,0.238766,0.141112,0.244917,0.141546,0.245439,0.147997,0.242641,0.15533,0.237886,0.136375,0.245042,0.138396,0.244589,0.145644,0.241487,0.153156,0.23732,0.13565,0.24401,0.139343,0.242587,0.14563,0.239606,0.152523,0.235603,0.139925,0.235572,0.144974,0.232322,0.149927,0.228833,0.159651,0.224303,0.167652,0.226841,0.183057,0.191508,0.198603,0.122293,0.180157,0.109943,0.155226,0.239048,0.147881,0.252689,0.148951,0.249635,0.150025,0.24657,0.152184,0.240409,0.156184,0.257193,0.15576,0.254033,0.155011,0.248462,0.154035,0.241218,0.165504,0.257426,0.163661,0.25455,0.1604,0.249472,0.15595,0.242558,0.166551,0.255917,0.164694,0.25301,0.161882,0.248616,0.157599,0.241941,0.162416,0.249963,0.161621,0.243741,0.160818,0.237443,0.15986,0.228298,0.15327,0.224324,0.13904,0.174739,0.157178,0.111313,0.168287,0.107246,0.163244,0.0315903,0.171165,0.076847,0.169116,0.0981817,0.157949,0.114653,0.154991,0.149915,0.159225,0.173235,0.165413,0.191908,0.16846,0.217816,0.180749,0.228307,0.196322,0.0622992,0.184263,0.0552256,0.194539,0.0570032,0.158181,0.0600253,0.187713,0.0653331,0.197576,0.394181,0.209969,0.39599,0.195589,0.42171,0.19527,0.416159,0.205087,0.384025,0.216928,0.38581,0.226877,0.418873,0.226018,0.413505,0.209341,0.377685,0.220874,0.379459,0.245117,0.416675,0.243954,0.411419,0.157178,0.111313,0.13904,0.174739,0.15327,0.224324,0.198603,0.122293,0.183057,0.191508,0.167652,0.226841,0.175498,0.232678,0.207765,0.3082,0.206176,0.382662,0.212066,0.379535,0.19832,0.234147,0.204813,0.330622,0.196,0.405534,0.226763,0.41028,
140,0.244484,0.410541,0.226693,0.410056,0.196062,0.404969,0.204612,0.329936,0.198873,0.233499,0.214659,0.375421,0.211579,0.379456,0.206461,0.382575,0.207118,0.308128,0.175655,0.232639,0.155756,0.235403,0.148762,0.243295,0.147234,0.244745,0.149632,0.243568,0.156819,0.238657,0.141302,0.245243,0.141444,0.245601,0.14756,0.242494,0.154983,0.237772,0.136571,0.245195,0.138173,0.2446,0.145172,0.241228,0.152711,0.237188,0.135874,0.24388,0.139136,0.242374,0.145322,0.239236,0.152037,0.235497,0.140016,0.235539,0.144991,0.23245,0.149962,0.229256,0.159568,0.224673,0.167742,0.227121,0.183464,0.191797,0.199197,0.122803,0.180709,0.110343,0.155003,0.238912,0.146821,0.252093,0.148088,0.249135,0.149359,0.246169,0.151916,0.240206,0.155361,0.256687,0.155041,0.253589,0.154476,0.248127,0.153741,0.241022,0.165132,0.256859,0.163296,0.254055,0.160048,0.249104,0.155612,0.242356,0.166197,0.255403,0.164349,0.252571,0.161548,0.248287,0.157281,0.241773,0.16201,0.249934,0.161431,0.24384,0.160844,0.23767,0.160059,0.228534,0.153528,0.22447,0.138918,0.174911,0.157196,0.111525,0.168392,0.107494,0.162801,0.0317832,0.171443,0.0769995,0.169671,0.0983803,0.158373,0.114685,0.154673,0.149838,0.158703,0.173192,0.164934,0.191881,0.168532,0.217788,0.181013,0.228071,0.196144,0.0619392,0.184,0.05503,0.194347,0.0567148,0.158096,0.06025,0.187834,0.0652919,0.198414,0.394532,0.210987,0.395669,0.195428,0.421154,0.19513,0.415548,0.204788,0.384312,0.21681,0.385459,0.226705,0.41867,0.225865,0.413242,0.208376,0.377899,0.22009,0.379054,0.244976,0.416609,0.243833,0.411292,0.157196,0.111525,0.138918,0.174911,0.153528,0.22447,0.199197,0.122803,0.183464,0.191797,0.167742,0.227121,0.175655,0.232639,0.207118,0.308128,0.206461,0.382575,0.211579,0.379456,0.198873,0.233499,0.204612,0.329936,0.196062,0.404969,0.226693,0.410056,
160,0.244562,0.410549,0.226784,0.409989,0.19626,0.40463,0.20448,0.329426,0.199387,0.233029,0.213879,0.375328,0.211154,0.379387,0.206498,0.382462,0.206694,0.308032,0.175955,0.232542,0.155563,0.235593,0.148675,0.24369,0.147185,0.245074,0.149527,0.243815,0.156668,0.238827,0.141468,0.245561,0.141444,0.245936,0.147397,0.242737,0.154799,0.237958,0.13676,0.245523,0.138146,0.244936,0.145019,0.24145,0.152491,0.237393,0.136152,0.244091,0.139148,0.242608,0.145268,0.239377,0.151794,0.235712,0.140276,0.235761,0.145113,0.232722,0.149971,0.229609,0.159398,0.224901,0.167639,0.227257,0.183808,0.19197,0.199687,0.123109,0.181084,0.110618,0.154339,0.238686,0.145359,0.251329,0.14681,0.248485,0.148267,0.245632,0.151195,0.239899,0.153912,0.255965,0.153729,0.252952,0.153405,0.247637,0.152985,0.240718,0.163939,0.256168,0.162177,0.25344,0.159058,0.248619,0.154796,0.242042,0.165047,0.254772,0.163275,0.252018,0.160587,0.247847,0.156491,0.241499,0.16112,0.249805,0.160821,0.243882,0.160514,0.237884,0.159946,0.228782,0.153499,0.224625,0.13876,0.175136,0.156978,0.111724,0.168457,0.107692,0.162246,0.0318993,0.171555,0.0770915,0.170041,0.0985187,0.158673,0.114713,0.154478,0.149796,0.158391,0.17318,0.164679,0.191877,0.16871,0.217774,0.181346,0.227879,0.196017,0.0616204,0.183795,0.0548497,0.194126,0.0564422,0.158025,0.0604228,0.187707,0.0652025,0.198946,0.394744,0.211624,0.395347,0.195453,0.420826,0.195165,0.415191,0.204546,0.384524,0.216675,0.385164,0.226717,0.418617,0.225888,0.413156,0.207674,0.378066,0.219497,0.378728,0.245028,0.416632,0.243895,0.411282,0.156978,0.111724,0.13876,0.175136,0.153499,0.224625,0.199687,0.123109,0.183808,0.19197,0.167639,0.227257,0.175955,0.232542,0.206694,0.308032,0.206498,0.382462,0.211154,0.379387,0.199387,0.233029,0.20448,0.329426,0.19626,0.40463,0.226784,0.409989,
180,0.244414,0.410542,0.226689,0.409946,0.196328,0.404405,0.204988,0.329043,0.199611,0.232822,0.213472,0.375324,0.211026,0.37938,0.206693,0.382381,0.206112,0.30793,0.176135,0.23251,0.155568,0.235791,0.148449,0.243594,0.146941,0.245065,0.14934,0.243952,0.156603,0.239064,0.141413,0.245297,0.141272,0.245873,0.147298,0.242942,0.154768,0.238185,0.136702,0.245352,0.138044,0.244952,0.145018,0.241669,0.152491,0.237614,0.136189,0.243993,0.13917,0.242695,0.145377,0.239585,0.151831,0.235914,0.140643,0.235725,0.145402,0.23271,0.150148,0.229575,0.159519,0.224892,0.167685,0.227352,0.183944,0.192029,0.199961,0.123251,0.181387,0.110805,0.153529,0.238366,0.143741,0.250364,0.145377,0.247655,0.147018,0.244937,0.150318,0.239476,0.152118,0.255017,0.152107,0.252112,0.152086,0.246982,0.15206,0.240299,0.162244,0.255356,0.160617,0.252705,0.157735,0.248016,0.153795,0.24161,0.163418,0.254033,0.161783,0.251357,0.159302,0.2473,0.155519,0.241119,0.159988,0.249578,0.160031,0.243868,0.160067,0.238084,0.159802,0.229048,0.15349,0.224785,0.138743,0.175353,0.157019,0.111937,0.168571,0.107865,0.161909,0.0319912,0.171684,0.0771644,0.170346,0.0986201,0.15893,0.114726,0.154394,0.149761,0.158211,0.173175,0.164514,0.191892,0.168772,0.217792,0.181503,0.227805,0.19606,0.061452,0.183789,0.0547744,0.194064,0.05629,0.158106,0.0605762,0.187613,0.0651376,0.199649,0.39495,0.212392,0.395053,0.195397,0.420609,0.19495,0.414972,0.204618,0.384774,0.216815,0.384936,0.22661,0.418574,0.225632,0.413112,0.207364,0.378303,0.219256,0.3785,0.244921,0.416623,0.243643,0.411272,0.157019,0.111937,0.138743,0.175353,0.15349,0.224785,0.199961,0.123251,0.183944,0.192029,0.167685,0.227352,0.176135,0.23251,0.206112,0.30793,0.206693,0.382381,0.211026,0.37938,0.199611,0.232822,0.204988,0.329043,0.196328,0.404405,0.226689,0.409946,
