Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.546212,0.397112,0.549694,0.401703,0.555223,0.406277,0.551288,0.327111,0.55283,0.244122,0.467792,0.411352,0.477856,0.415381,0.496707,0.41844,0.50538,0.335368,0.51943,0.247873,0.558931,0.239689,0.556716,0.249334,0.557723,0.24931,0.559341,0.247822,0.562778,0.242873,0.553275,0.250334,0.553912,0.25103,0.556928,0.248302,0.560564,0.242173,0.550035,0.250709,0.550865,0.251122,0.554201,0.248148,0.558287,0.241811,0.547704,0.25129,0.549503,0.249985,0.552581,0.246379,0.556292,0.240225,0.551167,0.247052,0.55079,0.24196,0.551826,0.237409,0.555911,0.231229,0.561,0.230382,0.583362,0.192283,0.572202,0.130164,0.550262,0.125171,0.474527,0.254656,0.482436,0.261178,0.480729,0.263288,0.477421,0.263257,0.473835,0.258959,0.482556,0.261394,0.481126,0.2636,0.47527,0.263124,0.473461,0.257718,0.481723,0.261948,0.479445,0.263687,0.473745,0.262397,0.472834,0.256838,0.478968,0.263946,0.475708,0.26309,0.472801,0.260084,0.473149,0.254686,0.478475,0.258812,0.480551,0.254802,0.482667,0.250488,0.481694,0.244705,0.48163,0.244969,0.495992,0.199946,0.511083,0.132572,0.53442,0.125362,0.531541,0.0561601,0.539975,0.0973599,0.545604,0.117082,0.550068,0.134988,0.548281,0.168528,0.545447,0.18976,0.542671,0.206749,0.543616,0.231065,0.538752,0.24109,0.529884,0.0833536,0.524154,0.0796691,0.536416,0.0760867,0.518359,0.0895464,0.554008,0.0790886,0.488358,0.431596,0.496826,0.43189,0.563377,0.416246,0.552626,0.419607,0.471843,0.420972,0.480252,0.421401,0.556071,0.405161,0.545747,0.408362,0.462484,0.414393,0.470851,0.4149,0.551925,0.398412,0.541841,0.401523,0.511083,0.132572,0.495992,0.199946,0.48163,0.244969,0.572202,0.130164,0.583362,0.192283,0.561,0.230382,0.51943,0.247873,0.50538,0.335368,0.496707,0.41844,0.477856,0.415381,0.55283,0.244122,0.551288,0.327111,0.555223,0.406277,0.549694,0.401703,
20,0.546121,0.397055,0.549532,0.401686,0.555001,0.406324,0.551456,0.327094,0.553302,0.244091,0.467785,0.411326,0.477902,0.415316,0.496811,0.418296,0.505729,0.335202,0.519932,0.247858,0.558832,0.239471,0.557367,0.249222,0.558186,0.249197,0.55961,0.247664,0.562749,0.242589,0.553576,0.250244,0.554107,0.250883,0.556901,0.248091,0.560469,0.24192,0.549837,0.25052,0.550593,0.250815,0.553844,0.247824,0.558116,0.241587,0.547386,0.25102,0.5491,0.249682,0.552164,0.246103,0.556081,0.240035,0.550609,0.246986,0.550571,0.241915,0.551857,0.23735,0.556011,0.231117,0.561188,0.230202,0.583907,0.192267,0.572744,0.130371,0.550863,0.125218,0.474687,0.254527,0.482917,0.261319,0.481005,0.263364,0.477699,0.263225,0.473975,0.258802,0.482884,0.261267,0.481419,0.263481,0.47556,0.263011,0.4736,0.257576,0.48208,0.261748,0.479703,0.263382,0.474025,0.262101,0.472967,0.25671,0.479309,0.263644,0.476077,0.262761,0.473159,0.259837,0.473292,0.254572,0.479141,0.258912,0.481097,0.254762,0.483088,0.250397,0.481943,0.244617,0.481904,0.244838,0.49644,0.199948,0.511775,0.132628,0.535022,0.125401,0.532119,0.0562411,0.540578,0.0974129,0.546213,0.117127,0.550659,0.135034,0.548846,0.168566,0.545994,0.18979,0.543202,0.206767,0.544127,0.231075,0.539247,0.241078,0.530501,0.0833654,0.524764,0.0797035,0.537026,0.076105,0.518959,0.0896238,0.554608,0.0791203,0.488575,0.431525,0.497028,0.431707,0.562984,0.416441,0.552175,0.41961,0.47194,0.42097,0.480338,0.421289,0.55585,0.405258,0.545471,0.408275,0.462507,0.414425,0.470866,0.414825,0.551811,0.398458,0.541673,0.401389,0.511775,0.132628,0.49644,0.199948,0.481904,0.244838,0.572744,0.130371,0.583907,0.192267,0.561188,0.230202,0.519932,0.247858,0.505729,0.335202,0.496811,0.418296,0.477902,0.415316,0.553302,0.244091,0.551456,0.327094,0.555001,0.406324,0.549532,0.401686,
40,0.546304,0.397094,0.549607,0.401781,0.554965,0.406481,0.551738,0.327135,0.553912,0.244177,0.467883,0.41139,0.478021,0.415344,0.496918,0.418252,0.506201,0.335092,0.520518,0.247868,0.558901,0.239075,0.558194,0.249095,0.558891,0.248973,0.560141,0.247321,0.56293,0.242053,0.554139,0.250209,0.554637,0.250691,0.557224,0.247696,0.560601,0.241429,0.549892,0.250387,0.550663,0.250449,0.553853,0.247315,0.558201,0.241133,0.547407,0.250728,0.549067,0.249272,0.552091,0.245653,0.556108,0.239651,0.550272,0.246939,0.550506,0.241957,0.551913,0.237414,0.555985,0.23109,0.561179,0.230064,0.584765,0.192384,0.573612,0.130881,0.551621,0.125374,0.474749,0.254374,0.483216,0.261566,0.481016,0.263505,0.477717,0.263192,0.474025,0.258533,0.482906,0.261298,0.481323,0.26354,0.475476,0.262975,0.473595,0.25737,0.481983,0.261786,0.479433,0.263303,0.47384,0.261914,0.472885,0.256568,0.47904,0.263605,0.475885,0.262628,0.47309,0.259698,0.473213,0.254489,0.479492,0.259372,0.481477,0.255002,0.48349,0.250534,0.48238,0.244629,0.482552,0.244673,0.496956,0.200098,0.512637,0.132863,0.53571,0.125557,0.532636,0.0564681,0.541224,0.0975815,0.546889,0.117272,0.551298,0.135151,0.549535,0.168683,0.546704,0.189906,0.543906,0.206877,0.54476,0.23118,0.539856,0.241145,0.531265,0.0835666,0.525477,0.0799266,0.537738,0.0762937,0.51959,0.0898596,0.555243,0.0792582,0.488833,0.431585,0.497308,0.431597,0.562712,0.416812,0.551822,0.419707,0.47212,0.42109,0.480541,0.421245,0.555843,0.405518,0.545388,0.408272,0.462633,0.414576,0.471017,0.414815,0.551962,0.398642,0.541751,0.401317,0.512637,0.132863,0.496956,0.200098,0.482552,0.244673,0.573612,0.130881,0.584765,0.192384,0.561179,0.230064,0.520518,0.247868,0.506201,0.335092,0.496918,0.418252,0.478021,0.415344,0.553912,0.244177,0.551738,0.327135,0.554965,0.406481,0.549607,0.401781,
60,0.546407,0.397125,0.549656,0.401881,0.555021,0.406662,0.55195,0.327205,0.55461,0.244349,0.46792,0.411483,0.478089,0.415406,0.496972,0.418257,0.50677,0.335023,0.521121,0.247917,0.559201,0.238741,0.558614,0.248877,0.559354,0.248705,0.560595,0.246999,0.56327,0.24165,0.554432,0.25006,0.555037,0.250427,0.55766,0.247338,0.560962,0.241042,0.549812,0.250103,0.550762,0.249989,0.554109,0.246826,0.558598,0.240755,0.547459,0.250283,0.549215,0.24878,0.552333,0.245211,0.556488,0.239308,0.550023,0.246871,0.550491,0.241925,0.551924,0.237353,0.555949,0.230985,0.561064,0.229916,0.585641,0.192518,0.574637,0.13147,0.552501,0.12559,0.474895,0.254336,0.483704,0.261744,0.481289,0.263565,0.477998,0.263164,0.474282,0.258462,0.483082,0.261188,0.481441,0.263454,0.475602,0.262939,0.473744,0.257314,0.482004,0.261585,0.479325,0.263018,0.47381,0.261688,0.472911,0.256526,0.478933,0.263202,0.475855,0.262239,0.473145,0.259461,0.47318,0.254464,0.480004,0.259608,0.481932,0.25506,0.48389,0.250547,0.482717,0.244669,0.483169,0.244668,0.497403,0.200223,0.513602,0.133128,0.536488,0.125753,0.533417,0.0567094,0.54203,0.0977841,0.547666,0.117468,0.551987,0.135327,0.550243,0.168854,0.547428,0.190074,0.544629,0.207037,0.545402,0.231336,0.540502,0.241272,0.532196,0.0837707,0.526374,0.0801398,0.538641,0.076503,0.520401,0.0900757,0.556073,0.0794648,0.48909,0.431728,0.49759,0.431494,0.562456,0.417223,0.551491,0.419805,0.47227,0.421279,0.480718,0.421196,0.555776,0.405799,0.54525,0.408254,0.462711,0.414791,0.471124,0.414797,0.552013,0.398835,0.541733,0.401218,0.513602,0.133128,0.497403,0.200223,0.483169,0.244668,0.574637,0.13147,0.585641,0.192518,0.561064,0.229916,0.521121,0.247917,0.50677,0.335023,0.496972,0.418257,0.478089,0.415406,0.55461,0.244349,0.55195,0.327205,0.555021,0.406662,0.549656,0.401881,
80,0.546478,0.397076,0.549712,0.40191,0.555171,0.406785,0.552162,0.327225,0.555274,0.244547,0.46811,0.411405,0.478198,0.415343,0.49687,0.418224,0.507424,0.334947,0.521675,0.247986,0.559608,0.238581,0.558554,0.248637,0.559444,0.2485,0.560814,0.246831,0.563624,0.241531,0.55435,0.249817,0.555137,0.25016,0.55799,0.247134,0.561394,0.2409,0.549537,0.24968,0.550754,0.249502,0.554399,0.246469,0.559126,0.240587,0.547393,0.249726,0.549346,0.248281,0.552669,0.244871,0.557048,0.239119,0.549728,0.246752,0.550429,0.241781,0.551886,0.237128,0.555998,0.2308,0.560979,0.229783,0.586466,0.192657,0.575666,0.132112,0.553409,0.125837,0.475251,0.254315,0.484265,0.261827,0.481723,0.263564,0.47844,0.263103,0.474667,0.258371,0.483462,0.261101,0.481836,0.263418,0.475992,0.262955,0.474085,0.257263,0.482386,0.261489,0.479645,0.262886,0.47416,0.261598,0.473199,0.256517,0.479382,0.262925,0.476352,0.261983,0.473642,0.259329,0.473452,0.25449,0.480925,0.25992,0.482719,0.255188,0.48455,0.250614,0.48321,0.244717,0.483795,0.244613,0.497714,0.200291,0.514627,0.133388,0.537306,0.125959,0.53452,0.0569017,0.542965,0.0979814,0.548499,0.117683,0.552709,0.135532,0.550938,0.169052,0.548116,0.190265,0.545305,0.207219,0.545993,0.231514,0.541103,0.241421,0.53314,0.083932,0.527349,0.0802856,0.539619,0.0766929,0.521378,0.0902024,0.557057,0.0797197,0.489181,0.431817,0.497779,0.431317,0.562232,0.417581,0.551204,0.419822,0.472443,0.42134,0.480983,0.421,0.555687,0.406021,0.5451,0.408147,0.462922,0.414837,0.471422,0.41459,0.552013,0.39896,0.541674,0.401023,0.514627,0.133388,0.497714,0.200291,0.483795,0.244613,0.575666,0.132112,0.586466,0.192657,0.560979,0.229783,0.521675,0.247986,0.507424,0.334947,0.49687,0.418224,0.478198,0.415343,0.555274,0.244547,0.552162,0.327225,0.555171,0.406785,0.549712,0.40191,
100,0.546513,0.397104,0.549776,0.402017,0.555418,0.40699,0.552429,0.327323,0.556011,0.244903,0.468255,0.411369,0.478273,0.415334,0.496733,0.418262,0.508005,0.334952,0.522215,0.248113,0.559967,0.238392,0.558573,0.248483,0.559586,0.248327,0.561058,0.246646,0.563957,0.241349,0.554413,0.249681,0.555348,0.249949,0.558358,0.246893,0.561793,0.24069,0.549537,0.249425,0.550961,0.249142,0.554781,0.246124,0.559609,0.240342,0.547533,0.249315,0.549622,0.247861,0.553057,0.244526,0.557548,0.238869,0.549626,0.246718,0.550427,0.241766,0.551845,0.237083,0.555982,0.230789,0.560829,0.229826,0.587208,0.192848,0.576686,0.132845,0.554287,0.126184,0.475628,0.254442,0.484853,0.261892,0.482235,0.263594,0.478957,0.263139,0.475161,0.258466,0.483841,0.261054,0.482251,0.263427,0.476408,0.263082,0.474494,0.257382,0.482729,0.261436,0.479947,0.262844,0.474498,0.261663,0.473514,0.256662,0.479759,0.262659,0.476774,0.261796,0.47407,0.259311,0.473705,0.254653,0.481557,0.26014,0.483267,0.255295,0.485034,0.250695,0.48362,0.24484,0.484404,0.24468,0.49802,0.20044,0.51558,0.13373,0.538092,0.126269,0.535732,0.057159,0.543901,0.0982614,0.549291,0.11799,0.5534,0.135816,0.551635,0.16933,0.54882,0.190543,0.546005,0.207494,0.54658,0.231789,0.541723,0.241675,0.53399,0.0841843,0.528276,0.0805026,0.54054,0.0769828,0.522382,0.0903682,0.55804,0.0800957,0.489304,0.432004,0.497996,0.431158,0.562077,0.418006,0.551005,0.41991,0.472611,0.42149,0.48124,0.420814,0.555589,0.406313,0.544959,0.408115,0.463103,0.41496,0.47169,0.414384,0.551964,0.399157,0.541582,0.400903,0.51558,0.13373,0.49802,0.20044,0.484404,0.24468,0.576686,0.132845,0.587208,0.192848,0.560829,0.229826,0.522215,0.248113,0.508005,0.334952,0.496733,0.418262,0.478273,0.415334,0.556011,0.244903,0.552429,0.327323,0.555418,0.40699,0.549776,0.402017,
120,0.546536,0.397112,0.549861,0.402114,0.555731,0.407212,0.55272,0.327464,0.556818,0.245338,0.468438,0.41137,0.478367,0.415353,0.496568,0.418321,0.508497,0.334966,0.522786,0.248312,0.560361,0.23841,0.558407,0.248384,0.559534,0.248292,0.561143,0.246668,0.56425,0.241458,0.554287,0.249531,0.555349,0.249805,0.558575,0.246838,0.562172,0.240738,0.549513,0.249163,0.551103,0.248876,0.555108,0.245968,0.560086,0.240326,0.547622,0.248935,0.549849,0.24754,0.553423,0.244334,0.558079,0.238805,0.54957,0.246673,0.550459,0.241699,0.551896,0.236983,0.556177,0.230802,0.560896,0.229971,0.587849,0.193048,0.57761,0.133555,0.555094,0.126535,0.476261,0.254751,0.485737,0.261921,0.48313,0.263646,0.479848,0.26329,0.475933,0.258831,0.48462,0.26097,0.483148,0.263383,0.4773,0.263284,0.475206,0.257728,0.483617,0.261271,0.480858,0.262734,0.475388,0.261802,0.474171,0.256991,0.480816,0.262212,0.477822,0.261529,0.475005,0.259325,0.474292,0.254954,0.482479,0.260051,0.484026,0.255214,0.485644,0.250651,0.484049,0.244988,0.484913,0.244894,0.498296,0.200558,0.516486,0.134051,0.5388,0.126572,0.537093,0.0573506,0.544827,0.0985091,0.550006,0.11828,0.554002,0.136073,0.552252,0.169585,0.549462,0.190812,0.546667,0.207777,0.547167,0.23208,0.542376,0.241985,0.5348,0.0844017,0.529202,0.0806536,0.541461,0.0772559,0.523412,0.0904221,0.559048,0.0805012,0.489445,0.432218,0.49824,0.430987,0.562016,0.418397,0.550921,0.420012,0.472817,0.421679,0.481543,0.420632,0.555519,0.406561,0.544866,0.408085,0.463332,0.415136,0.472013,0.414195,0.551902,0.399307,0.541497,0.400779,0.516486,0.134051,0.498296,0.200558,0.484913,0.244894,0.57761,0.133555,0.587849,0.193048,0.560896,0.229971,0.522786,0.248312,0.508497,0.334966,0.496568,0.418321,0.478367,0.415353,0.556818,0.245338,0.55272,0.327464,0.555731,0.407212,0.549861,0.402114,
140,0.546652,0.397173,0.55003,0.402198,0.556087,0.407358,0.55295,0.327512,0.55779,0.245836,0.46863,0.411392,0.478483,0.415384,0.496431,0.418381,0.508903,0.334988,0.523429,0.248549,0.560794,0.238537,0.558428,0.248414,0.559609,0.248386,0.561315,0.24681,0.56459,0.241676,0.554324,0.249508,0.555456,0.249784,0.558836,0.246884,0.562578,0.240888,0.549738,0.24909,0.551411,0.248804,0.55551,0.245959,0.560565,0.240399,0.547896,0.248765,0.550198,0.247402,0.55385,0.244275,0.558608,0.238831,0.549751,0.246749,0.550657,0.241757,0.552112,0.237046,0.556521,0.230984,0.561149,0.230304,0.588386,0.193285,0.57838,0.134259,0.555763,0.126873,0.476876,0.255021,0.486499,0.261979,0.483883,0.263731,0.480606,0.263435,0.476677,0.259087,0.485294,0.261016,0.483874,0.263475,0.478035,0.263526,0.475878,0.258004,0.484342,0.261392,0.481565,0.262906,0.476115,0.26209,0.474769,0.257293,0.481602,0.26218,0.478612,0.261607,0.475737,0.259542,0.474824,0.255263,0.482942,0.260172,0.484497,0.255363,0.486126,0.25077,0.48457,0.245173,0.485574,0.24504,0.498609,0.200736,0.517254,0.134389,0.539368,0.126879,0.538412,0.0574959,0.545627,0.0987285,0.550567,0.118547,0.554476,0.136289,0.552807,0.16981,0.550084,0.191067,0.547347,0.208063,0.547797,0.232383,0.54312,0.242333,0.53545,0.0846002,0.529995,0.0807667,0.542244,0.0775176,0.52434,0.0904064,0.559938,0.0809132,0.489667,0.432436,0.49855,0.43078,0.562094,0.418668,0.55099,0.420073,0.473072,0.421893,0.48188,0.420433,0.555572,0.406755,0.544908,0.408076,0.463589,0.415348,0.472349,0.414002,0.551955,0.399473,0.541539,0.400747,0.517254,0.134389,0.498609,0.200736,0.485574,0.24504,0.57838,0.134259,0.588386,0.193285,0.561149,0.230304,0.523429,0.248549,0.508903,0.334988,0.496431,0.418381,0.478483,0.415384,0.55779,0.245836,0.55295,0.327512,0.556087,0.407358,0.55003,0.402198,
160,0.546569,0.397251,0.550044,0.402284,0.556336,0.407522,0.55312,0.327617,0.558713,0.246282,0.468781,0.411471,0.478581,0.415451,0.496309,0.418439,0.509247,0.334997,0.524059,0.248796,0.561244,0.238713,0.558575,0.248488,0.559754,0.248533,0.561522,0.247009,0.564947,0.241954,0.554448,0.249517,0.555598,0.249802,0.559087,0.246972,0.562983,0.24109,0.550093,0.249078,0.551776,0.248817,0.555911,0.246021,0.561017,0.240517,0.548253,0.248694,0.550585,0.247357,0.554278,0.244282,0.559108,0.238896,0.550069,0.246839,0.550976,0.241826,0.552478,0.237145,0.55702,0.231213,0.561603,0.230703,0.588654,0.193351,0.57913,0.134628,0.556302,0.127187,0.477525,0.255286,0.487362,0.261967,0.484737,0.263763,0.481473,0.263547,0.477526,0.259324,0.486064,0.261028,0.484659,0.263536,0.478847,0.263756,0.476618,0.258278,0.485075,0.261567,0.482258,0.263142,0.476865,0.262435,0.475399,0.257611,0.482278,0.262302,0.479303,0.261837,0.476401,0.259872,0.475351,0.255596,0.483188,0.260303,0.484808,0.255534,0.486488,0.250854,0.485053,0.245302,0.486264,0.245101,0.498948,0.200928,0.517872,0.134691,0.539823,0.12717,0.539773,0.0575809,0.546348,0.0989094,0.551012,0.118784,0.554857,0.136468,0.55329,0.170001,0.550643,0.191295,0.547974,0.208327,0.548398,0.232662,0.543836,0.242659,0.535995,0.0847415,0.530713,0.0808043,0.542949,0.0777394,0.52522,0.0902928,0.560771,0.0813294,0.489939,0.432646,0.498884,0.430554,0.562153,0.418885,0.551058,0.420183,0.473332,0.422145,0.482197,0.420262,0.555502,0.406894,0.544845,0.408109,0.463822,0.415619,0.472638,0.413858,0.551823,0.399607,0.541413,0.400776,0.517872,0.134691,0.498948,0.200928,0.486264,0.245101,0.57913,0.134628,0.588654,0.193351,0.561603,0.230703,0.524059,0.248796,0.509247,0.334997,0.496309,0.418439,0.478581,0.415451,0.558713,0.246282,0.55312,0.327617,0.556336,0.407522,0.550044,0.402284,
180,0.546468,0.397313,0.550008,0.402316,0.556452,0.407605,0.553325,0.327643,0.559456,0.246594,0.468839,0.411539,0.478612,0.415488,0.496164,0.418432,0.50956,0.33495,0.524597,0.248993,0.561739,0.238859,0.559018,0.248634,0.560166,0.248711,0.561948,0.24719,0.565412,0.242143,0.554862,0.249646,0.556006,0.249904,0.559526,0.247057,0.563467,0.241226,0.550738,0.249241,0.552382,0.248975,0.556476,0.246137,0.561521,0.240592,0.548877,0.248851,0.551189,0.247484,0.554846,0.244371,0.559627,0.238947,0.550659,0.247066,0.551468,0.242038,0.552948,0.237402,0.55751,0.231531,0.562071,0.231136,0.588802,0.193469,0.579745,0.134896,0.556749,0.12745,0.478234,0.255379,0.488154,0.262011,0.485503,0.263768,0.482242,0.263561,0.478221,0.259436,0.486931,0.261031,0.485507,0.263522,0.479694,0.263772,0.477316,0.258372,0.486075,0.26168,0.483198,0.263211,0.477814,0.262486,0.476099,0.257684,0.483357,0.262273,0.480355,0.261846,0.477349,0.259923,0.476058,0.255659,0.483823,0.260265,0.485493,0.255614,0.487186,0.250902,0.485802,0.245434,0.487018,0.245273,0.499249,0.201125,0.518415,0.134968,0.54016,0.127417,0.541014,0.0576063,0.546948,0.0990362,0.551325,0.118966,0.5551,0.136578,0.553669,0.170132,0.551117,0.191468,0.548516,0.208536,0.548919,0.232886,0.544434,0.242904,0.536549,0.0848512,0.531408,0.0807963,0.543642,0.0779312,0.525983,0.0901016,0.561521,0.081715,0.4902,0.432776,0.499174,0.430261,0.562165,0.418989,0.551077,0.420236,0.473535,0.422357,0.482429,0.420063,0.55542,0.40695,0.544769,0.408115,0.463973,0.415873,0.472817,0.413707,0.551698,0.3997,0.541293,0.400819,0.518415,0.134968,0.499249,0.201125,0.487018,0.245273,0.579745,0.134896,0.588802,0.193469,0.562071,0.231136,0.524597,0.248993,0.50956,0.33495,0.496164,0.418432,0.478612,0.415488,0.559456,0.246594,0.553325,0.327643,0.556452,0.407605,0.550008,0.402316,
